,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,815.0,815.0,815.0,808.0,808.0,809.0,809.0,815,97.0,97.0,94.0,51.0,0.0,1016.0,97.0,97.0,94.0,51.0,1016.0,1016.0,1016.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CRI,North America,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,721875.9151732378,737.5752688172043,739.7849173157578,6213.482078853047,5.598566308243727,5.615358897543439,142052.2045943847,145.1415567502987,145.5763660874775,1222.7015203106334,1.1016971326164875,1.104985020970641,0.9221533923303835,,,,,,,,,1178645.780368098,4512.300613496933,228.68754846625765,0.8754920245398773,4506.631188118812,0.8744059405940594,0.201593325092707,9.01433868974042,,6289890.06185567,2840505.680412371,2436150.1914893617,1710777.2352941176,,13359.01968503937,121.40659793814436,54.827422680412376,47.02265957446808,33.02156862745098,2578.549212598425,4577.81594488189,0.08831791338582677,43.465714285714284,96.07899999999998,33.60000000000001,9.468000000000002,5.694000000000002,15524.994999999997,1.3000000000000005,137.97299999999998,8.780000000000001,6.4,17.400000000000002,83.84100000000001,1.1299999999999994,80.27999999999999,0.8100000000000003,5180836.0,4973.371004020833,6.969374999999999,9.258541666666668,958.184013125
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,2.0,1.0,0.0,0.0,28.0,0.005,0.018,2.3,,55.0,55.0,55.0,17762.0,,240.0,0.0,0.0,0.0,0.34,46.0,0.0,0.0,0.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,-749.4,-5.71,-11.36,-146.27843
25%,,,,2021-02-26 06:00:00,201678.0,0.0,11.571,2763.0,0.0,0.0,39686.605,0.0,2.277,543.709,0.0,0.0,0.79,,,,,,,,,194167.5,1755.5,37.673500000000004,0.341,2197.0,0.426,0.095,3.4,,1251900.0,721882.0,656416.0,565222.5,,3293.0,24.16,13.93,12.6725,10.91,636.0,231.0,0.004,11.11,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,1254.574975,4.637499999999999,2.4299999999999997,243.69683
50%,,,,2022-04-20 12:00:00,846142.0,0.0,401.429,8365.0,0.0,2.286,166505.53,0.0,78.994,1646.082,0.0,0.45,1.01,,,,,,,,,751633.0,3218.0,145.836,0.624,3523.5,0.6835,0.185,5.4,,6878077.0,3821682.0,3179572.0,2131723.0,,7965.0,132.76,73.77,61.375,41.15,1537.0,1334.0,0.026,54.63,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,6092.8,9.67,6.865,1179.0609
75%,,,,2023-06-12 18:00:00,1230552.0,0.0,1068.286,9366.0,0.0,9.429,242150.52,0.0,210.219,1843.06,0.0,1.855,1.12,,,,,,,,,2052227.0,7108.5,398.18449999999996,1.379,7066.75,1.3715,0.298,10.5,,10698423.0,4413772.0,4116284.75,2607700.0,,19251.0,206.5,85.19,79.44999999999999,50.335,3716.0,5182.25,0.1,59.26,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,8210.8,11.375,15.4925,1582.434125
max,,,,2024-08-04 00:00:00,1234701.0,39491.0,5641.571,9372.0,240.0,34.286,242966.97,7771.118,1110.16,1844.241,47.228,6.747,1.47,,,,,,,,,3677525.0,16395.0,713.534,3.181,13516.0,2.622,0.427,55.6,,13576935.0,4650636.0,4369784.0,2986527.0,,87355.0,262.06,89.77,84.35,57.65,16861.0,84391.0,1.629,81.48,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,9702.401,12.63,49.06,1861.4869
