,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1019.0,0.0,0.0,859.0,859.0,0.0,0.0,122.0,122.0,633.0,529.0,633.0,529.0,836.0,836.0,836.0,836.0,843,682.0,673.0,581.0,1.0,560.0,1063.0,682.0,673.0,581.0,1.0,1063.0,1063.0,1063.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,HRV,Europe,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,781406.8864994026,786.8243727598566,789.1815224685441,11644.461768219833,11.201911589008363,11.235461354104254,200000.17595519713,201.3867741935484,201.99007489514676,2980.386308841099,2.8671176821983275,2.875737567405632,1.0473110893032385,,,933.091967403958,231.51572293364376,,,665.5409836065573,165.12623770491803,1514374.4107424961,5153.412098298677,372.9862195892575,1.2692684310018902,5881.578947368421,1.448620813397129,0.1660944976076555,53.044976076555024,,4140671.2961876835,1944489.4665676078,1790904.2512908778,594785.0,6813.157142857143,5051.497648165569,102.73692082111437,48.2461367013373,44.43537005163512,14.76,1253.3546566321731,2181.0065851364066,0.054116650987770465,33.52636446886447,73.726,44.0,19.723999999999997,13.053,22669.797000000002,0.7,253.78200000000004,5.590000000000001,34.300000000000004,39.899999999999984,,5.540000000000001,78.49000000000001,0.8509999999999999,4030361.0,13143.423192535885,9.169377990430622,11.906220095693781,3265.015681301435
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,,,4.0,0.992,,,0.0,0.0,247.0,8.0,0.061,0.002,17.0,0.004,0.0004,1.9,,7864.0,7864.0,11907.0,594785.0,1.0,1.0,0.2,0.2,0.3,14.76,0.0,0.0,0.0,0.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,-1079.2,-15.07,-17.54,-263.42047
25%,,,,2021-02-26 06:00:00,239685.0,0.0,26.143,5420.0,0.0,0.714,61347.094,0.0,6.691,1387.243,0.0,0.183,0.84,,,245.0,60.789,,,171.0,42.365,138647.0,1381.0,34.148,0.34,2945.25,0.72575,0.057725,3.8,,3294371.5,1738722.0,1576504.0,594785.0,305.75,134.5,81.74,43.14,39.12,14.76,33.0,10.0,0.0,11.11,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,5395.9004,8.88,1.04,1328.994
50%,,,,2022-04-20 12:00:00,1113135.0,0.0,213.286,15725.0,0.0,3.571,284905.6,0.0,54.59,4024.796,0.0,0.914,1.01,,,638.0,158.298,,,486.0,120.653,1156456.0,4954.0,284.832,1.22,5457.5,1.3445,0.12435,8.05,,5201832.5,2307645.0,2239688.0,594785.0,1525.5,535.0,129.065,57.26,55.57,14.76,133.0,37.0,0.001,31.86,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,16941.1,11.92,7.57,4203.37
75%,,,,2023-06-12 18:00:00,1273871.0,0.0,829.857,18266.0,0.0,12.143,326045.78,0.0,212.401,4675.161,0.0,3.108,1.21,,,1682.0,417.3325,,,1117.25,277.29225,2332341.0,8073.0,574.449,1.988,8708.75,2.145,0.2633,17.325,,5274833.5,2317728.0,2248690.0,594785.0,8990.25,6485.5,130.875,57.51,55.79,14.76,1609.0,2782.0,0.069,46.3,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,22586.295,14.98,17.78,5633.9897
max,,,,2024-08-04 00:00:00,1317144.0,59537.0,8505.286,18752.0,539.0,77.0,337121.47,15238.425,2176.918,4799.552,137.956,19.708,3.29,,,2976.0,738.395,,,2331.0,578.244,4922712.0,22524.0,1212.45,5.548,18413.0,4.535,0.529,2797.2,,5374628.0,2323025.0,2251809.0,594785.0,53059.0,35538.0,133.35,57.64,55.87,14.76,8818.0,26979.0,0.669,96.3,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,24025.896,17.01,84.89,5993.5654
std,,,,,533886.0789255927,4225.438275712509,1422.618421236473,7213.44120905834,52.281536777299536,16.832357721925685,136647.5159255409,1081.4959739849237,364.1175052108896,1846.2717571706153,13.381391561129334,4.308204154053787,0.3677895961257746,,,815.1723484838068,202.25788586146462,,,595.7328585887557,147.81028480001666,1462222.288226622,4003.5902325672514,360.1412892174449,0.9860575751165308,3863.50642137571,0.9515729296677492,0.13327804934329315,253.9125796302547,,1624581.2907248905,617604.3177871417,728723.7774122662,,9943.193167990728,8080.075802453447,40.30870905582347,15.323752238657514,18.080687765633886,,2004.8025989431571,4244.027752055852,0.105300420085247,20.884944894614684,0.0,0.0,3.553775299526064e-15,0.0,3.63906590671469e-12,0.0,2.8430202396208514e-14,8.88443824881516e-16,7.107550599052128e-15,1.4215101198104257e-14,,8.88443824881516e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,9481.605548679547,8.00139087042022,18.067111736772354,2361.62995803866
