,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1014.0,818.0,818.0,817.0,817.0,109.0,109.0,154.0,154.0,748.0,747.0,748.0,747.0,741.0,741.0,741.0,741.0,748,181.0,162.0,171.0,73.0,71.0,777.0,181.0,162.0,171.0,73.0,777.0,777.0,777.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CYP,Europe,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,356943.50298685784,416.01553166069294,417.26182144997006,800.5770609318996,0.8667861409796893,0.8693966446974235,268101.1989247312,312.47035782556753,313.40647034152187,601.3154880525688,0.6510412186379929,0.6530131815458358,1.0098816568047337,15.180929095354523,16.942863080684596,103.56670746634028,115.58693145654834,9.128440366972477,10.089935779816514,49.92857142857143,55.68292207792208,7851153.921122994,39485.74832663989,8762.380109625668,44.06857831325301,39539.531713900134,44.12860188933873,0.013448852901484478,256.0998650472335,,1041418.4917127072,480831.75925925927,429043.29824561405,270323.6712328767,6031.042253521126,2311.7554697554697,116.22883977900554,53.66407407407407,47.88409356725147,30.16945205479452,2580.057915057915,860.8906048906049,0.09603989703989704,45.26125457875458,127.65699999999998,37.300000000000004,13.415999999999999,8.563000000000002,32415.131999999998,,141.17100000000002,9.239999999999998,19.599999999999998,52.70000000000001,,3.399999999999999,80.98000000000002,0.8870000000000003,896007.0,1184.409068937799,7.801435406698564,9.185263157894736,944.3507573875597
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.0,1.105,1.0,1.105,5917.0,400.0,6.604,0.446,604.0,0.674,0.0005,16.5,,3901.0,3901.0,2057.0,12147.0,161.0,17.0,0.44,0.44,0.23,1.36,19.0,4.0,0.0,0.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,10.799997,0.71,-27.58,8.726989
25%,,,,2021-02-26 06:00:00,33665.0,0.0,9.714,234.0,0.0,0.0,25285.87,0.0,7.296,175.758,0.0,0.0,0.81,3.25,3.627,31.0,34.598,2.0,2.211,8.0,8.843,384345.5,3204.5,428.95349999999996,3.5765000000000002,3281.0,3.662,0.0031,47.8,,701370.0,405363.75,279102.0,61763.0,2538.0,42.0,78.28,45.2375,31.15,6.89,47.0,16.0,0.002,11.11,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,277.2,4.73,-0.92,222.79503
50%,,,,2022-04-20 12:00:00,464204.0,0.0,152.0,988.0,0.0,0.429,348664.84,0.0,114.168,742.089,0.0,0.322,0.99,12.0,13.393,86.0,95.981,8.0,8.843,29.0,32.055,3918680.5,38435.0,4373.493,42.896,42213.0,47.112,0.0073,137.3,,1085014.0,550725.5,504059.0,346434.0,5498.0,1095.0,121.09,61.465,56.26,38.66,1222.0,264.0,0.029,47.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,1265.5,9.19,6.52,1011.19305
75%,,,,2023-06-12 18:00:00,660854.0,0.0,418.857,1364.0,0.0,1.429,496369.16,0.0,314.605,1024.504,0.0,1.073,1.17,23.75,26.50675,168.0,187.499,14.0,15.475,71.75,80.41274999999999,13742878.5,61443.0,15337.91425,68.574,58154.0,64.904,0.0209,327.8,,1390192.0,605957.0,582301.0,432171.0,8516.5,3393.0,155.15,67.6275,64.99,48.23,3787.0,1071.0,0.12,63.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,2080.0996,10.74,17.42,1650.6841
max,,,,2024-08-04 00:00:00,696410.0,31886.0,4555.143,1451.0,43.0,6.143,523075.38,23949.658,3421.38,1089.85,32.297,4.614,1.83,57.0,63.616,301.0,335.935,28.0,30.949,245.0,273.017,29501771.0,169476.0,32925.826,189.146,132253.0,147.603,0.0606,2181.8,,1798610.0,671193.0,646142.0,481275.0,15365.0,12513.0,200.74,74.91,72.11,53.71,13965.0,8571.0,0.957,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,2289.7004,12.13,63.0,1817.0149
std,,,,,291652.3628315144,2233.0738530089716,751.7385236013683,555.9782752355125,3.642684889403669,1.1192231304436797,219060.8524764448,1677.2676249559695,564.6327943911822,417.5967226165429,2.7360222607301545,0.8406733354285023,0.28587716074453534,13.179173069950021,14.70876170416283,83.68377257395643,93.39634007194034,7.767573763708441,8.585788964022262,54.58567735040076,60.98932432624307,8786722.275897091,36510.03533828834,9806.533060529051,40.74748178044807,34794.43218324932,38.832777325687495,0.014237133191770902,299.89934660578433,,511093.4459748652,182094.92267161157,201956.88620532776,179630.890900623,3787.973579771416,2966.0302411065927,57.041126890864824,20.323026305293684,22.539345537565676,20.04753232877712,3310.281969020921,1435.848752059382,0.1602859468150004,25.964740916004185,1.4215101198104257e-14,7.107550599052128e-15,1.776887649763032e-15,1.776887649763032e-15,3.63906590671469e-12,,2.8430202396208514e-14,1.776887649763032e-15,3.553775299526064e-15,7.107550599052128e-15,,8.88443824881516e-16,1.4215101198104257e-14,3.331664343305685e-16,0.0,861.10618798111,3.258180067580489,15.272700288065264,683.809984486173
