,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1682,1682,1682,1682,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,1626.0,1626.0,1616.0,1616.0,1618.0,1618.0,1618.0,1618.0,752.0,752.0,752.0,752.0,745.0,745.0,746.0,746.0,752,1213.0,1213.0,1211.0,1182.0,1152.0,1312.0,1213.0,1213.0,1211.0,1182.0,1312.0,1312.0,1312.0,1092.0,1682.0,1682.0,1682.0,1682.0,1682.0,0.0,1682.0,1682.0,1682.0,1682.0,0.0,1682.0,1682.0,1682.0,1682.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CZE,Europe,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1682,1682,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-24 12:00:00,2899236.0692951013,2844.6350059737156,2852.8637231875377,30140.62246117085,25.991039426523297,26.068379269023367,271636.59723835124,266.5208853046595,267.2918621929299,2823.9494557945045,2.435163679808841,2.442420611144398,1.0416,216.53321033210332,20.6340221402214,1411.5946782178219,134.5145915841584,110.68232385661311,10.547218788627937,1287.2793572311496,122.66824907292956,25601244.952127658,72589.70478723405,2435.720066489362,6.906231382978723,73229.9812080537,6.967171812080537,0.09462868632707777,113.89812332439678,,14953890.61417972,6038577.596867271,5779342.850536747,3562884.5067681894,16530.565104166668,14522.60137195122,142.49966199505357,57.54281945589447,55.072741535920734,33.951319796954316,1383.8894817073171,5326.6463414634145,0.050731707317073174,39.631849816849815,137.17599999999996,43.300000000000004,19.026999999999997,11.58,32605.906000000003,,227.48500000000007,6.8199999999999985,30.5,38.300000000000004,,6.63,79.38000000000002,0.9000000000000002,10493990.0,30113.935664832537,11.070095693779903,9.435023923444977,2868.2142724851674
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,1.0,0.095,0.0,0.0,0.0,0.0,6528.0,986.0,0.621,0.094,2770.0,0.264,0.001,3.1,,1289.0,1289.0,1.0,1.0,1.0,2.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,-1521.4,-5.41,-12.7,-144.46939
25%,,,,2021-02-28 06:00:00,1164370.0,0.0,79.714,19686.0,0.0,0.714,109092.7,0.0,7.469,1844.43,0.0,0.067,0.8,10.0,0.953,72.0,6.861,8.0,0.762,67.0,6.385,3092159.5,15223.5,294.19,1.44825,19256.0,1.832,0.017,6.8,,12193332.0,6209530.0,6098789.0,604151.25,135.5,84.0,116.19,59.17,58.120000000000005,5.76,8.0,4.0,0.0,14.81,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,16196.4,9.67,-3.48,1540.937
50%,,,,2022-04-24 12:00:00,4154271.0,0.0,477.143,40102.0,0.0,3.714,389223.94,0.0,44.705,3757.256,0.0,0.348,1.02,42.0,4.002,385.0,36.688,37.0,3.526,439.0,41.833,27810205.0,48889.0,2645.8819999999996,4.651,59823.0,5.692,0.079,12.7,,17886180.0,6971675.0,6886830.0,4509199.0,3057.0,2839.5,170.44,66.43,65.63,42.97,270.5,56.0,0.001,38.89,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,41594.098,13.43,2.46,3963.6113
75%,,,,2023-06-18 18:00:00,4642454.0,0.0,3003.429,42810.0,0.0,15.429,434963.0,0.0,281.399,4010.975,0.0,1.446,1.22,160.25,15.2705,1469.25,140.0085,121.0,11.53,1561.5,148.79925,46172897.5,99422.0,4392.9215,9.459,105552.0,10.042,0.146,58.8,,18638112.0,6979642.0,6895554.0,5175020.25,15954.75,12803.75,177.61,66.51,65.71,49.31,1220.25,3826.25,0.036,55.0925,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,43475.48,16.45,10.58,4142.3774
max,,,,2024-08-12 00:00:00,4761919.0,286572.0,40938.857,43509.0,1552.0,221.714,446155.97,26849.639,3835.663,4076.466,145.411,20.773,2.26,1896.0,180.675,9552.0,910.235,764.0,72.804,7525.0,717.077,54587458.0,427124.0,5193.488,40.637,238826.0,22.722,0.321,1000.0,,19047108.0,6982006.0,6895763.0,5581388.0,122122.0,98393.0,181.5,66.53,65.71,53.19,9376.0,64329.0,0.613,82.41,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,47616.88,21.61,103.79,4536.973
