,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1028.0,1205.0,1205.0,1152.0,1152.0,0.0,0.0,1187.0,1187.0,856.0,856.0,856.0,856.0,865.0,865.0,841.0,841.0,872,146.0,146.0,143.0,136.0,0.0,1015.0,146.0,146.0,143.0,136.0,1015.0,1015.0,1015.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DNK,Europe,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1905117.3918757467,2052.376941457587,2058.5254571599758,5121.038231780167,5.790322580645161,5.807705811863392,322742.7253052569,347.68971505376345,348.73130976632706,867.546476702509,0.9809241338112306,0.983816656680647,1.0538424124513617,28.03402489626556,4.765784232365145,351.6041666666667,59.773631944444446,,,440.849199663016,74.9455804549284,27482511.04088785,75525.59929906542,4694.462654205608,12.90102686915888,74712.99537572254,12.7622,0.051059096313912006,130.7932223543401,,10614976.369863013,3925165.828767123,3827636.811188811,2478866.0661764704,,14737.64827586207,180.45760273972604,66.72863013698631,65.07111888111889,42.14147058823529,2505.4325123152707,4676.368472906404,0.07944532019704434,35.44125457875458,136.51999999999998,42.300000000000004,19.676999999999996,12.325,46682.51500000001,0.2,114.76700000000002,6.4099999999999975,19.300000000000008,18.800000000000008,,2.5,80.89999999999999,0.9399999999999997,5882259.0,1228.8067799904306,-0.30277511961722503,2.698468899521531,207.3951472995215
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,12.0,2.04,,,18.0,3.06,1.0,1.0,0.0,0.0,0.0,0.0,0.001,2.9,,2.0,2.0,6.0,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,-1795.5,-8.55,-20.33,-306.70047
25%,,,,2021-02-26 06:00:00,207081.0,0.0,40.571,2333.0,0.0,0.714,35081.242,0.0,6.873,395.23,0.0,0.121,0.88,9.0,1.53,125.0,21.25,,,156.0,26.52,3333538.75,16223.5,569.42275,2.7715,14693.0,2.51,0.0047,15.7,,8304616.75,4281232.25,4195690.5,162560.5,,330.0,141.18,72.785,71.33000000000001,2.7625,56.0,6.0,0.0,11.11,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,-1052.9999,-2.19,-1.39,-180.75272
50%,,,,2022-04-20 12:00:00,3097015.0,0.0,350.571,5985.0,0.0,2.857,524660.06,0.0,59.39,1013.909,0.0,0.484,1.06,17.0,2.89,256.0,43.521,,,268.0,45.561,25480782.5,56766.5,4352.535,9.6965,60506.0,10.335,0.0133,74.9,,12981214.0,4740341.0,4702910.0,3567020.5,,2028.0,220.68,80.58500000000001,79.95,60.64,345.0,49.0,0.001,34.03,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,971.9998,0.87,2.4,165.24261
75%,,,,2023-06-12 18:00:00,3414007.0,0.0,987.0,8730.0,0.0,7.286,578361.2,0.0,167.206,1478.935,0.0,1.234,1.2225,37.0,6.29,436.5,74.20599999999999,,,546.0,92.821,45920767.0,121881.0,7844.018749999999,20.819499999999998,121410.0,20.739,0.0638,211.8,,14944596.25,4745923.75,4711146.5,3615736.75,,18249.5,254.065,80.68,80.09,61.47,3102.5,3571.5,0.061,57.41,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,4044.6997,2.15,6.96,684.27686
max,,,,2024-08-04 00:00:00,3435679.0,322546.0,46078.0,9693.0,298.0,42.571,582032.56,54641.973,7805.996,1642.075,50.484,7.212,1.81,153.0,26.01,1762.0,299.545,,,2911.0,494.878,64649913.0,269142.0,11043.263,45.974,233440.0,39.875,0.3399,973.5,,14961517.0,4746522.0,4712002.0,3617006.0,,124721.0,254.35,80.69,80.11,61.49,21203.0,47326.0,0.805,72.22,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,5728.002,2.68,28.47,969.05566
