,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,23.0,8.0,57.0,57.0,57.0,55.0,64,102.0,100.0,85.0,19.0,8.0,603.0,102.0,100.0,85.0,19.0,603.0,603.0,603.0,1092.0,1674.0,0.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DMA,North America,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,8836.648745519713,9.586021505376344,9.614766327142002,41.948028673835125,0.04420549581839905,0.044348711803475126,132186.21989545994,143.3959844683393,143.82560275614142,627.494880525687,0.6612652329749105,0.6632510485320551,0.42438016528925615,,,,,,,,,194216.95652173914,504.0,2682.1101304347826,6.96025,336.17543859649123,4.642578947368421,0.10293684210526315,32.16909090909091,,46294.03921568627,24897.69,24268.36470588235,3700.7894736842104,802.125,113.20398009950249,63.62735294117647,34.2198,33.355058823529404,5.08578947368421,1555.8955223880596,55.708126036484245,0.07657048092868989,39.98703296703297,98.567,,,,9673.367,,227.37600000000006,11.620000000000003,,,,3.7999999999999994,75.0,0.7420000000000001,72758.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,183922.0,291.0,2539.938,4.019,68.0,0.939,0.0,2.6,,0.0,0.0,337.0,3646.0,270.0,1.0,0.0,0.0,0.46,5.01,14.0,0.0,0.0,0.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
25%,,,,2021-02-26 06:00:00,134.0,0.0,0.0,0.0,0.0,0.0,2004.488,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,187513.5,350.75,2589.5365,4.844,211.0,2.914,0.0299,6.4,,36970.5,19708.25,19661.0,3646.0,436.0,12.0,50.81,27.0875,27.02,5.01,165.0,4.5,0.006,29.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
50%,,,,2022-04-20 12:00:00,11988.0,0.0,0.0,63.0,0.0,0.0,179326.84,0.0,0.0,942.408,0.0,0.0,0.24,,,,,,,,,192785.0,412.0,2662.335,5.6895,356.0,4.916,0.0647,14.9,,54544.5,28398.5,27618.0,3646.0,952.0,45.0,74.97,39.03,37.96,5.01,618.0,19.0,0.026,32.41,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
75%,,,,2023-06-12 18:00:00,15817.0,0.0,1.571,74.0,0.0,0.0,236604.34,0.0,23.507,1106.956,0.0,0.0,0.9,,,,,,,,,200876.5,636.75,2774.0775,8.7935,444.0,6.132,0.1556,31.2,,61746.75,32157.5,29774.0,3646.0,1055.25,151.5,84.865,44.1975,40.92,5.01,2082.0,44.5,0.061,57.41,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
max,,,,2024-08-04 00:00:00,16047.0,968.0,138.286,74.0,7.0,1.0,240044.88,14480.18,2068.597,1106.956,104.712,14.959,1.11,,,,,,,,,205366.0,937.0,2836.077,12.94,638.0,8.811,0.3853,279.7,,67647.0,32995.0,30659.0,3993.0,1226.0,901.0,92.98,45.35,42.14,5.49,12384.0,832.0,1.144,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
std,,,,,7257.711957333801,67.30629647418336,23.870043024940497,33.94893037456675,0.4110901295653837,0.15008844125274964,108567.12076506593,1006.8256827133649,357.0685449968418,507.83746477308904,6.149438148115601,2.245228777847482,0.3967503707047007,,,,,,,,,7305.417065303234,220.11879909332077,100.88683614206037,3.039848762685407,149.49117542123366,2.06447391212255,0.10123166612065568,48.3175601570342,,19673.35534455926,8344.882980212145,7362.376616877154,129.99811064753914,365.93459114983926,160.86175690520986,27.039747015574655,11.469379170009793,10.119484932254094,0.1798244758236854,2210.938744122575,116.64630234517236,0.16032960109612346,20.112020710837488,0.0,,,,0.0,,5.686040479241703e-14,3.553775299526064e-15,,,,4.44221912440758e-16,0.0,1.110554781101895e-16,0.0,,,,
