,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,812.0,818.0,812.0,822.0,822.0,642.0,642.0,829,580.0,580.0,568.0,324.0,550.0,800.0,580.0,580.0,568.0,324.0,800.0,800.0,800.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ECU,South America,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,674750.4050179211,644.9725044829647,646.8252434052758,26767.18458781362,21.535244922341697,21.59980227681246,37856.496327359615,36.185821876867905,36.28979496402877,1501.7579790919954,1.2082216248506572,1.2118010784901139,0.998343137254902,,,,,,,,,1261060.1564792176,3516.2906403940888,70.85507579462103,0.197551724137931,3476.310218978102,0.19530170316301704,0.25154984423676013,5.138473520249221,,20951080.696551725,10118758.605172414,8705422.737676056,4702840.6882716045,65972.35818181818,49459.39,116.38850000000001,56.21213793103448,48.360721830985916,26.125339506172843,2747.545,19174.05,0.10657375,47.91413003663004,66.93899999999998,28.100000000000005,7.104000000000001,4.457999999999999,10581.936,3.600000000000001,140.44800000000004,5.549999999999998,2.0,12.3,80.635,1.5,77.00999999999999,0.7590000000000001,18001002.0,59638.50462746411,41.64655502392345,27.339234449760763,3317.685814426316
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,,,,,,,,,23.0,5.0,0.001,0.0,134.0,0.008,0.069,1.5,,17.0,17.0,1.0,6215.0,1.0,17.0,0.0,0.0,0.0,0.03,1.0,6.0,0.0,0.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,-403.69998,-8.92,-8.92,-22.952372
25%,,,,2021-02-26 06:00:00,273097.0,0.0,54.429,15513.0,0.0,0.0,15321.955,0.0,3.054,870.348,0.0,0.0,0.97,,,,,,,,,404525.25,1523.0,22.729,0.08574999999999999,2229.0,0.125,0.153,3.3,,4161026.75,2887955.0,1421591.25,1488365.75,16574.25,16130.5,23.1175,16.0425,7.8975,8.2675,895.75,642.0,0.004,23.65,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,40667.504,31.25,6.08,2285.1968
50%,,,,2022-04-20 12:00:00,866720.0,0.0,327.143,35527.0,0.0,2.143,48626.844,0.0,18.354,1993.222,0.0,0.12,1.03,,,,,,,,,1263977.5,3112.0,71.019,0.175,3273.5,0.184,0.2495,4.0,,24392331.0,13502743.5,11368080.0,5275140.0,40020.0,27713.5,135.505,75.01,63.15,29.305,1539.5,2746.5,0.0155,52.65,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,68236.9,41.64,12.21,3811.6545
75%,,,,2023-06-12 18:00:00,1062275.0,0.0,925.286,36019.0,0.0,23.714,59598.348,0.0,51.913,2020.826,0.0,1.33,1.08,,,,,,,,,1907260.0,4579.25,107.16324999999999,0.257,4250.25,0.239,0.29974999999999996,6.5,,34089644.0,15091476.25,13880803.0,7137776.75,84340.75,59810.0,189.38,83.835,77.1125,39.6525,3322.75,19487.0,0.10825,67.59,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,78953.28,53.46,32.79,4348.793
max,,,,2024-08-04 00:00:00,1077445.0,61722.0,8817.429,36050.0,8864.0,1266.286,60449.453,3462.878,494.697,2022.565,497.31,71.044,1.76,,,,,,,,,2870685.0,20964.0,161.295,1.178,13741.0,0.772,0.673,14.5,,39564195.0,15333873.0,14240587.0,10554926.0,429786.0,354692.0,219.79,85.18,79.11,58.64,19704.0,330279.0,1.835,93.52,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,85646.5,71.06,378.22,4708.3115
