,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,49.0,49.0,47.0,37.0,56,119.0,116.0,110.0,51.0,10.0,847.0,119.0,116.0,110.0,51.0,847.0,847.0,847.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,EGY,Africa,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,357023.49880525685,308.2574671445639,309.1809574595566,17869.695937873355,14.83273596176822,14.877201917315759,3170.2097072879337,2.737191158900836,2.7453714799281004,158.67482915173238,0.13171385902031063,0.1321276213301378,0.757158203125,,,,,,,,,7016298.333333333,,64.21533333333333,,109588.30612244898,1.0027755102040816,0.09152340425531914,223.3108108108108,,52148354.537815124,29174795.20689655,20986879.254545454,7330326.2549019605,215749.9,132974.41558441558,46.98478991596638,26.285689655172412,18.908818181818184,6.605098039215686,1198.0672963400236,67160.67886658796,0.06053364817001181,43.43154761904762,97.999,25.300000000000008,5.158999999999998,2.8909999999999996,10550.206000000002,1.3000000000000005,525.4319999999999,17.310000000000002,0.2,50.100000000000016,89.827,1.6,71.99000000000001,0.7070000000000001,110990096.0,229444.25239791666,18.666666666666668,16.422083333333337,2066.1510842700004
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,5997796.0,,54.894,,409.0,0.004,0.0,1.1,,0.0,0.0,235852.0,811171.0,29244.0,219.0,0.0,0.0,0.21,0.73,2.0,219.0,0.0,0.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,-1416.4,-2.42,-8.53,-13.18009
25%,,,,2021-02-26 06:00:00,177543.0,0.0,0.0,10298.0,0.0,0.0,1576.503,0.0,0.0,91.442,0.0,0.0,0.105,,,,,,,,,6003934.25,,54.9495,,4809.0,0.044,0.0021,13.5,,6114042.0,3873128.25,2952042.0,2933489.0,32175.0,25458.0,5.51,3.49,2.6624999999999996,2.645,229.0,9022.0,0.008,37.04,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,113991.825,17.365000000000002,4.15,1047.271825
50%,,,,2022-04-20 12:00:00,512845.0,0.0,7.0,24564.0,0.0,0.714,4553.836,0.0,0.062,218.117,0.0,0.006,0.97,,,,,,,,,6009955.5,,55.004999999999995,,168599.0,1.543,0.0027,255.4,,52819190.0,32600225.5,21728485.5,7981031.0,73449.5,77685.0,47.59,29.37,19.575,7.19,700.0,26594.0,0.024,40.74,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,290993.92,18.950000000000003,9.47,2642.15795
75%,,,,2023-06-12 18:00:00,516023.0,0.0,609.286,24830.0,0.0,25.714,4582.054,0.0,5.41,220.479,0.0,0.228,1.11,,,,,,,,,6094942.75,,55.78275,,194420.0,1.779,0.049049999999999996,371.0,,93648927.0,51475902.0,38800997.5,9938898.0,94384.0,196737.5,84.375,46.3825,34.96,8.955,1772.5,85689.5,0.077,70.37,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,330763.815,23.8725,23.895,2953.70645
max,,,,2024-08-04 00:00:00,516023.0,15872.0,2267.429,24830.0,622.0,88.857,4582.054,140.936,20.134,220.479,5.523,0.789,1.62,,,,,,,,,11954884.0,,109.415,,194420.0,1.779,0.9089,486.0,,112673535.0,56907319.0,42337175.0,15217352.0,975155.0,615408.0,101.52,51.27,38.15,13.71,5545.0,342648.0,0.309,87.96,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,357924.7,26.07,82.68,3175.439
std,,,,,190814.43087978225,1462.4897014124215,473.75414399636674,8950.648913962137,66.66242390096716,21.138157467406636,1694.3471119046874,12.986264680636475,4.206734526055964,79.47770323745058,0.5919426788548812,0.18770828849238122,0.4964935015075146,,,,,,,,,2419861.6807276127,,22.147421734067983,,90841.36721051247,0.8312367609298138,0.20391244627212154,195.64786647867552,,40500557.08749654,21312060.010751735,16329323.044887051,4259067.3575856425,341337.1742002164,136435.05190276026,36.49012838063401,19.201738291969384,14.712689195423597,3.8374404868604906,1229.2533931005848,85118.16571319556,0.07668178074137319,24.051246057624606,0.0,7.107550599052128e-15,1.776887649763032e-15,4.44221912440758e-16,1.819532953357345e-12,4.44221912440758e-16,1.1372080958483405e-13,3.553775299526064e-15,0.0,1.4215101198104257e-14,0.0,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,124327.8549441927,6.777735243830419,19.91220623812197,1104.5539287650136
