,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,655.0,655.0,655.0,800.0,800.0,655.0,649.0,807,186.0,183.0,169.0,74.0,93.0,592.0,186.0,183.0,169.0,74.0,592.0,592.0,592.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,8.0,8.0,8.0,8.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SLV,North America,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,129297.4504181601,120.62126642771804,120.98109766327141,3019.531063321386,2.5268817204301075,2.534478130617136,20587.729916965352,19.20623954599761,19.263524865188735,480.79288829151744,0.402347670250896,0.4035212702216896,0.62374749498998,,,,,,,,,813799.7389312977,2933.7786259541986,128.8847465648855,0.4646320610687023,2383.57375,0.37755000000000005,0.07135267175572518,56.984591679506934,,5511670.870967742,2893195.62295082,2508214.1065088757,951198.6756756756,53378.88172043011,19063.619932432433,86.98424731182796,45.65972677595628,39.58443786982249,15.011216216216217,3008.5591216216217,7863.613175675676,0.12409628378378379,41.561181318681314,307.81100000000004,27.600000000000005,8.272999999999998,5.417000000000001,7292.458,2.1999999999999997,167.29500000000002,8.870000000000001,2.5,18.800000000000008,90.65,1.3000000000000005,73.31999999999996,0.6729999999999999,6336393.0,-43.54999925000004,-2.3200000000000003,14.832500000000001,-6.920684750000021
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,405.0,405.0,0.064,0.064,17.0,0.003,0.0,4.9,,0.0,0.0,2367.0,5007.0,5512.0,529.0,0.0,0.0,0.04,0.08,83.0,207.0,0.003,0.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,-3808.6,-21.1,-45.19,-605.23773
25%,,,,2021-02-26 06:00:00,58546.0,0.0,0.0,1792.0,0.0,0.0,9322.143,0.0,0.0,285.336,0.0,0.0,0.16,,,,,,,,,361317.5,2439.0,57.2235,0.386,2118.5,0.33575,0.033,9.3,,1855613.5,1161123.5,1089023.0,445188.5,38541.0,4426.0,29.2875,18.325,17.19,7.0275,699.0,432.25,0.007,26.85,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,-1725.2,-9.245000000000001,-26.025,-274.157465
50%,,,,2022-04-20 12:00:00,162089.0,0.0,0.714,4124.0,0.0,0.143,25809.05,0.0,0.114,656.655,0.0,0.023,0.69,,,,,,,,,774374.0,2480.0,122.641,0.393,2462.0,0.39,0.064,15.6,,5651535.0,3383511.0,2927769.0,809494.0,47306.0,10075.0,89.19,53.4,46.21,12.774999999999999,1590.0,1799.5,0.0285,31.48,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,-322.899997,-2.94,-0.3999999999999999,-51.31315
75%,,,,2023-06-12 18:00:00,201787.0,0.0,170.143,4230.0,0.0,4.429,32130.07,0.0,27.091,673.533,0.0,0.705,1.04,,,,,,,,,1180518.5,3418.0,186.9635,0.5415000000000001,2541.5,0.40225,0.108,29.4,,9046034.5,4405559.5,4059302.0,1450704.0,71453.0,30790.0,142.7625,69.53,64.06,22.895,4859.5,10820.75,0.171,47.22,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,853.8499999999999,5.1899999999999995,52.222500000000004,135.688239
max,,,,2024-08-04 00:00:00,201920.0,12677.0,1811.0,4230.0,106.0,15.143,32151.248,2018.529,288.361,673.533,16.878,2.411,1.29,,,,,,,,,1921625.0,5498.0,304.335,0.871,4699.0,0.744,0.204,1000.0,,11289175.0,4652597.0,4344286.0,2292292.0,102028.0,72435.0,178.16,73.43,68.56,36.18,11432.0,44776.0,0.707,100.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,4739.0,16.28,117.72,753.09076
std,,,,,76749.11122121933,729.5922744652,252.41291222962278,1570.8097684576046,11.33981160118531,3.5935068635260037,12220.581029741757,116.17127601357491,40.191122756606106,250.11634326526405,1.8056076063880029,0.572196544195081,0.4532207093712139,,,,,,,,,531904.7579923061,1019.8018132854894,84.23990141084789,0.16151855029618795,1440.1507142172702,0.22798831843249576,0.048890027200548566,145.69854186546772,,3690289.38357466,1603513.0773006852,1541171.7770418383,644538.4456719888,23527.194242190693,18422.22039329392,58.23983062348327,25.306644013847823,24.322604195088534,10.172081177755942,2907.380556222109,11268.696609780472,0.17786626619302756,24.316339698442754,5.686040479241703e-14,3.553775299526064e-15,1.776887649763032e-15,8.88443824881516e-16,0.0,4.44221912440758e-16,2.8430202396208514e-14,1.776887649763032e-15,0.0,7.107550599052128e-15,0.0,4.44221912440758e-16,2.8430202396208514e-14,1.110554781101895e-16,0.0,2774.9336398922046,12.772739945457502,56.82794301347583,440.9742408162918
