,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1359,1359,1359,1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,1155.0,1359.0,1359.0,0.0,0.0,1354.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,825.0,826.0,826.0,557.0,808.0,904.0,825.0,826.0,826.0,557.0,904.0,911.0,911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_ENG,Europe,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1359,1359,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-01-28 00:00:00,,,,,,,,,,,,,,589.8701298701299,10.430939393939395,7136.741721854305,126.20232155997058,,,5676.9918759231905,100.38889143279174,,,,,,,,,,99893623.68242425,39567390.45520581,34039708.23002421,43445499.82764812,175814.43935643564,163279.05309734514,176.6464606060606,69.96884987893463,60.19381355932204,76.82648114901257,2887.329646017699,48248.201975850716,0.08531833150384194,,,,,,,,,,,,,,,,56550000.0,,,,
min,,,,2020-03-20 00:00:00,,,,,,,,,,,,,,50.0,0.884,451.0,7.975,,,316.0,5.588,,,,,,,,,,2333764.0,1959151.0,374613.0,863460.0,46.0,289.0,4.13,3.46,0.66,1.53,5.0,0.0,0.0,,,,,,,,,,,,,,,,56550000.0,,,,
25%,,,,2021-02-22 12:00:00,,,,,,,,,,,,,,148.5,2.626,2957.5,52.29900000000001,,,2307.5,40.8045,,,,,,,,,,72004716.0,39423064.0,32622703.0,31625320.0,30376.25,31256.5,127.33,69.7125,57.69,55.92,552.5,961.5,0.002,,,,,,,,,,,,,,,,56550000.0,,,,
50%,,,,2022-01-28 00:00:00,,,,,,,,,,,,,,264.0,4.668,5827.0,103.042,,,4621.0,81.715,,,,,,,,,,117226285.0,44255119.5,41140443.0,33242682.0,117275.5,102556.0,207.3,78.255,72.75,58.78,1813.5,6903.0,0.012,,,,,,,,,,,,,,,,56550000.0,,,,
75%,,,,2023-01-02 12:00:00,,,,,,,,,,,,,,778.5,13.7665,9272.5,163.97,,,7363.25,130.20775,,,,,,,,,,128789646.0,45260188.0,42688523.25,74340308.0,277406.25,285471.0,227.74,80.03750000000001,75.49,131.46,5048.5,34759.0,0.0615,,,,,,,,,,,,,,,,56550000.0,,,,
max,,,,2023-12-08 00:00:00,,,,,,,,,,,,,,3736.0,66.065,34336.0,607.179,,,26682.0,471.83,,,,,,,,,,149398324.0,45417090.0,42951064.0,77498574.0,922467.0,831591.0,264.19,80.31,75.95,137.04,14705.0,437575.0,0.774,,,,,,,,,,,,,,,,56550000.0,,,,
std,,,,,,,,,,,,,,,,,,730.7778461444316,12.922690591737178,5930.562849476751,104.87289836907459,,,4670.249414873404,82.58618499034031,,,,,,,,,,41710023.76143865,9793577.540665824,13751681.027963763,23625840.603990607,174715.06273490627,154486.84702708278,73.75776907626731,17.318314019955867,24.317503008957402,41.77836644799606,2731.8842543052233,90534.91498342429,0.1601178881766061,,,,,,,,,,,,,,,,0.0,,,,
