,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,11.0,78.0,11.0,333.0,333.0,332.0,308.0,340,80.0,79.0,75.0,5.0,1.0,495.0,80.0,79.0,75.0,5.0,495.0,495.0,495.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GNQ,Africa,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,12108.014336917562,10.297668858338314,10.328554556354915,139.38172043010752,0.10931899641577061,0.10966806470940683,6713.434384109916,5.709662283323371,5.726780575539568,77.28210035842294,0.06060752688172043,0.060772917914919115,0.6544252288911495,,,,,,,,,254301.7435897436,1583.6363636363637,155.58706410256409,0.9690000000000001,954.3753753753754,0.58393993993994,0.039619277108433736,659.5224025974026,,336032.125,193075.64556962025,139627.73333333334,3957.0,639.0,975.7434343434344,20.062624999999997,11.526962025316458,8.336133333333333,0.23399999999999999,582.6282828282829,535.3151515151516,0.03195353535353535,,45.193999999999996,22.4,2.8460000000000005,1.752,22604.872999999996,,202.81199999999995,7.780000000000001,,,24.639999999999997,2.1000000000000005,58.74000000000001,0.5919999999999999,1674916.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,,,,,,,,,163221.0,501.0,99.862,0.307,109.0,0.067,0.0,2.9,,6565.0,5765.0,800.0,3044.0,639.0,0.0,0.39,0.34,0.05,0.18,0.0,0.0,0.0,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
25%,,,,2021-02-26 06:00:00,5798.0,0.0,0.0,89.0,0.0,0.0,3214.771,0.0,0.0,49.347,0.0,0.0,0.47,,,,,,,,,206881.0,1408.5,126.57425,0.8615,221.0,0.135,0.002875,17.15,,265045.75,150486.0,112916.5,3862.0,639.0,196.0,15.825,8.985,6.745,0.23,117.0,84.0,0.005,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
50%,,,,2022-04-20 12:00:00,15907.0,0.0,0.714,183.0,0.0,0.0,8819.827,0.0,0.396,101.467,0.0,0.0,0.63,,,,,,,,,248436.0,1647.0,151.998,1.008,373.0,0.228,0.0112,77.85,,357036.0,204222.0,148062.0,3862.0,639.0,430.0,21.314999999999998,12.19,8.84,0.23,257.0,158.0,0.009,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
75%,,,,2023-06-12 18:00:00,17130.0,0.0,6.571,183.0,0.0,0.0,9497.935,0.0,3.644,101.467,0.0,0.0,0.82,,,,,,,,,275282.0,2012.5,168.4235,1.2315,658.0,0.403,0.05675,246.7,,441543.25,246119.5,193236.5,4420.0,639.0,1357.5,26.365000000000002,14.695,11.54,0.26,810.5,647.5,0.0385,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
max,,,,2024-08-04 00:00:00,17130.0,1161.0,165.857,183.0,42.0,6.0,9497.935,643.73,91.961,101.467,23.287,3.327,1.3,,,,,,,,,484554.0,2355.0,296.46,1.441,25377.0,15.526,0.3404,22202.1,,488738.0,270109.0,214032.0,4597.0,639.0,5013.0,29.18,16.13,12.78,0.27,2993.0,3393.0,0.203,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
