,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ERI,Africa,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6830.287933094385,6.086618876941458,6.104876572798083,63.730585424133814,0.061529271206690564,0.06172917914919112,2003.3389838709677,1.7852192353643965,1.7906117435590174,18.692261051373954,0.01804898446833931,0.01812702216896345,0.7646938775510205,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.30399999999999,19.300000000000008,3.607,2.1709999999999994,1510.4590000000003,,311.11000000000007,6.049999999999998,0.2,11.400000000000004,,0.7,66.31999999999996,0.4589999999999999,3684041.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
25%,,,,2021-02-26 06:00:00,2685.0,0.0,0.0,7.0,0.0,0.0,787.517,0.0,0.0,2.053,0.0,0.0,0.5,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
50%,,,,2022-04-20 12:00:00,9733.0,0.0,0.286,103.0,0.0,0.0,2854.711,0.0,0.084,30.21,0.0,0.0,0.77,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
75%,,,,2023-06-12 18:00:00,10189.0,0.0,4.571,103.0,0.0,0.0,2988.457,0.0,1.341,30.21,0.0,0.0,1.09,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
max,,,,2024-08-04 00:00:00,10189.0,573.0,81.857,103.0,6.0,0.857,2988.457,168.062,24.009,30.21,1.76,0.251,1.35,,,,,,,,,23693.0,,6.544,,,,,,,,,,,,,,,,,,,,0.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
std,,,,,4116.1746130162355,37.21498936598487,12.902079365078722,45.91040609645697,0.47196508038037355,0.16925470637143936,1207.283416653117,10.915237541441652,3.7842021736916744,13.465561655833948,0.1384464222182323,0.04968360971106037,0.3484000107327845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.4215101198104257e-14,7.107550599052128e-15,0.0,4.44221912440758e-16,2.274416191696681e-13,,5.686040479241703e-14,1.776887649763032e-15,0.0,3.553775299526064e-15,,0.0,2.8430202396208514e-14,1.110554781101895e-16,0.0,,,,
