,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,1.0,96.0,96.0,96.0,96.0,103,86.0,85.0,70.0,24.0,12.0,796.0,86.0,85.0,70.0,24.0,796.0,796.0,796.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SWZ,Africa,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,48553.68578255675,45.01553166069295,45.15037747153984,996.0442054958183,0.8524492234169654,0.855031755542241,39833.33279271206,36.9306421744325,37.041282204913124,817.1525686977301,0.6993434886499402,0.7014134212103056,0.8977175025588536,,,,,,,,,531786.96,333.0,446.02864,0.279,475.1666666666667,0.3985520833333333,0.08965624999999999,19.31458333333333,,395354.6976744186,274021.6352941177,233728.74285714285,140134.29166666666,9230.416666666666,1105.1871859296482,32.89953488372093,22.803882352941176,19.450714285714287,11.661666666666667,919.7336683417085,673.5062814070352,0.05599371859296482,48.76162087912088,79.492,21.5,3.1629999999999994,1.8449999999999998,7738.975000000001,,333.43600000000004,3.9399999999999995,1.6999999999999995,16.5,24.096999999999998,2.1000000000000005,60.19000000000002,0.6109999999999999,1201680.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,,,,,,,,,501428.0,333.0,420.565,0.279,234.0,0.196,0.0133,5.2,,0.0,0.0,8078.0,66331.0,253.0,0.0,0.0,0.0,0.67,5.52,0.0,0.0,0.0,0.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
25%,,,,2021-02-26 06:00:00,16764.0,0.0,0.714,645.0,0.0,0.0,13753.147,0.0,0.586,529.156,0.0,0.0,0.6,,,,,,,,,522740.0,333.0,438.441,0.279,348.25,0.2925,0.041575,7.475,,123610.5,65243.0,95329.75,126950.5,2471.75,221.0,10.2875,5.43,7.9325,10.567499999999999,184.0,0.0,0.0,23.15,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
50%,,,,2022-04-20 12:00:00,70098.0,0.0,5.571,1395.0,0.0,0.0,57508.24,0.0,4.571,1144.455,0.0,0.0,0.86,,,,,,,,,534073.0,333.0,447.946,0.279,404.5,0.3395,0.0898,11.15,,359633.5,302675.0,244857.0,164123.0,10795.0,604.5,29.93,25.19,20.375,13.655000000000001,503.0,198.0,0.016,58.73,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
75%,,,,2023-06-12 18:00:00,74882.0,0.0,27.714,1427.0,0.0,0.429,61433.023,0.0,22.737,1170.708,0.0,0.352,1.12,,,,,,,,,543830.0,333.0,456.13,0.279,500.25,0.4195,0.134575,24.025,,684707.75,410506.0,342088.0,170142.25,15061.5,1349.0,56.975,34.16,28.47,14.1575,1123.0,724.25,0.0605,64.81,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
max,,,,2024-08-04 00:00:00,75356.0,7540.0,1077.143,1427.0,104.0,14.857,61821.89,6185.799,883.686,1170.708,85.321,12.189,4.0,,,,,,,,,549656.0,333.0,461.016,0.279,1199.0,1.006,0.194,74.9,,870205.0,526050.0,427335.0,179450.0,17170.0,11049.0,72.42,43.78,35.56,14.93,9195.0,5801.0,0.483,89.81,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
