,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,3024,0,3024,3024,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1350.0,1350.0,1327.0,1322.0,1344.0,1344.0,1350.0,1350.0,1327.0,1322.0,1344.0,1344.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_EUN,,European Union (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,3024,,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-07-06 06:51:25.714285824,102348004.55376343,111005.12962962964,111324.51013301378,852482.2956989247,754.4097968936678,756.5915560215698,227888.97644623663,247.16500179211474,247.87617016177353,1898.1446589008362,1.6797741935483868,1.6846015578190532,,,,,,,,,,,,,,,,,,,747017383.742963,288581259.6651852,277387300.9148455,193531216.08320725,705578.9732142857,705995.2224702381,165.9497777777778,64.1079037037037,61.62239638281839,42.99226172465961,1568.3541666666667,250329.64732142858,0.05564285714285715,,,,,,,,,,,,,,,,450146793.0,,,,
min,,,,2020-01-05 00:00:00,1.0,0.0,0.0,3.0,0.0,0.0,0.002,0.0,0.0,0.007,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,450146793.0,,,,
25%,,,,2021-07-02 18:00:00,21289464.0,0.0,5772.714,552771.0,0.0,89.143,47403.31,0.0,12.854,1230.805,0.0,0.198,,,,,,,,,,,,,,,,,,,604128742.0,309235825.25,296722523.0,42887344.25,3990.0,5331.25,134.20499999999998,68.695,65.92,9.530000000000001,12.0,3401.0,0.001,,,,,,,,,,,,,,,,450146793.0,,,,
50%,,,,2022-07-15 12:00:00,132519718.0,0.0,34579.286,1078943.0,0.0,311.857,295069.6,0.0,76.995,2402.384,0.0,0.694,,,,,,,,,,,,,,,,,,,908837310.5,334960849.0,327156383.0,264692680.5,145482.5,162273.0,201.89499999999998,74.41,72.68,58.805,360.5,6439.0,0.001,,,,,,,,,,,,,,,,450146793.0,,,,
75%,,,,2023-07-28 06:00:00,183611282.0,0.0,133115.143,1241127.0,0.0,1032.286,408830.5,0.0,296.395,2763.504,0.0,2.298,,,,,,,,,,,,,,,,,,,945897301.0,335319937.0,327956379.5,279086869.75,837755.0,883435.75,210.13,74.49,72.86,62.0,1962.25,225810.75,0.05,,,,,,,,,,,,,,,,450146793.0,,,,
max,,,,2024-08-14 00:00:00,185822587.0,8867064.0,1266723.429,1262988.0,27862.0,3980.286,413754.22,19743.482,2820.497,2812.18,62.038,8.863,,,,,,,,,,,,,,,,,,,951113290.0,338119562.0,327967426.0,282438789.0,5259745.0,4206856.0,211.29,75.11,72.86,62.74,9346.0,2312268.0,0.514,,,,,,,,,,,,,,,,450146793.0,,,,
std,,,,,78189872.99241732,578290.8109762262,193089.4724586935,442093.80993877136,3184.5641824597,980.7869397733878,174098.26592630713,1287.627437820299,429.93473083262546,984.3699743805456,7.0907715815294505,2.183820494742863,,,,,,,,,,,,,,,,,,,308221770.9915049,99381455.94327888,101628600.95925519,116307740.40773512,1150922.878943683,1100272.1210008769,68.47149384585944,22.077285546790293,22.577267942272854,25.83733013620661,2444.26555235045,526164.4177931697,0.11688134952607032,,,,,,,,,,,,,,,,0.0,,,,
