,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,2068,2068,2068,2068,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,31.0,4.0,66.0,66.0,66.0,66.0,73,155.0,155.0,155.0,26.0,74.0,385.0,155.0,155.0,155.0,26.0,385.0,385.0,385.0,394.0,2068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,0.0,2068.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FRO,Europe,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,2068,2068,2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-03-03 20:51:59.535783424,19349.47670250896,20.703703703703702,20.76574116237268,16.09916367980884,0.016726403823178016,0.01678490113840623,358065.03126702504,383.1252234169654,384.27299400838825,297.9173010752689,0.30952329749103946,0.3104577591372079,,,,,,,,,,712331.4838709678,1765.0,13468.678838709679,33.3725,2458.560606060606,46.48615151515152,0.24301060606060604,10.680303030303032,,55561.43870967742,28410.92258064516,24074.612903225807,18337.115384615383,470.44594594594594,259.9064935064935,104.60212903225806,53.488129032258065,45.323741935483866,34.52269230769231,4893.153246753247,97.98961038961039,0.18445454545454545,34.918451776649746,35.308,,,,,,,,,,,,80.67,,53117.0,-48.137495020833335,-9.535416666666666,-2.5727083333333334,-909.6517347916666
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,605573.0,391.0,11450.102,7.393,539.0,10.191,0.0214,1.5,,3994.0,3993.0,1.0,11707.0,42.0,24.0,7.52,7.52,0.0,22.04,452.0,1.0,0.002,13.89,35.308,,,,,,,,,,,,80.67,,53117.0,-88.59999,-28.94,-53.12,-1674.3833
25%,,,,2021-04-02 00:00:00,661.0,0.0,0.0,1.0,0.0,0.0,12231.906,0.0,0.0,18.505,0.0,0.0,,,,,,,,,,656032.0,826.0,12404.175,15.61825,1346.75,25.464,0.065,2.3,,28163.5,19324.0,8839.5,16619.25,170.5,108.0,53.019999999999996,36.379999999999995,16.645,31.29,2033.0,20.0,0.038,27.78,35.308,,,,,,,,,,,,80.67,,53117.0,-63.64999125,-14.209999999999999,-13.2,-1202.872425
50%,,,,2021-12-16 12:00:00,34658.0,0.0,0.0,28.0,0.0,0.0,641351.6,0.0,0.0,518.144,0.0,0.0,,,,,,,,,,733561.0,1531.5,13870.084,28.9575,2585.5,48.885999999999996,0.15610000000000002,6.4,,62263.0,34399.0,27864.0,19183.5,356.0,197.0,117.22,64.76,52.46,36.114999999999995,3709.0,47.0,0.088,38.89,35.308,,,,,,,,,,,,80.67,,53117.0,-47.499996,-7.455,-6.545,-898.4853800000001
75%,,,,2023-03-06 06:00:00,34658.0,0.0,0.714,28.0,0.0,0.0,641351.6,0.0,13.218,518.144,0.0,0.0,,,,,,,,,,766387.5,2470.5,14490.763500000001,46.71175,3584.0,67.76575,0.44225000000000003,15.375,,75583.0,38744.5,36838.5,20889.0,687.25,338.0,142.295,72.94,69.355,39.325,6363.0,110.0,0.207,41.67,35.308,,,,,,,,,,,,80.67,,53117.0,-29.07499525,-2.7275,10.0175,-547.3764525
max,,,,2024-08-04 00:00:00,34658.0,4973.0,710.429,28.0,5.0,0.714,641351.6,92026.13,13146.59,518.144,92.526,13.218,,,,,,,,,,777845.0,3606.0,14707.401,68.182,4029.0,76.18,0.6621,46.6,,103894.0,41715.0,40895.0,21284.0,1442.0,1001.0,195.59,78.53,76.99,40.07,18845.0,688.0,1.295,59.26,35.308,,,,,,,,,,,,80.67,,53117.0,-10.599996,-0.91,42.86,-199.55939
