,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,476.0,582.0,476.0,868.0,868.0,0.0,0.0,875,105.0,104.0,95.0,55.0,1.0,775.0,105.0,104.0,95.0,55.0,775.0,775.0,775.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FJI,Oceania,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,43047.61170848268,41.27555289898386,41.39930095923261,548.4647550776583,0.5286738351254481,0.530284601557819,46819.99269414577,44.89264614465033,45.027214628297365,596.5282449223415,0.5750077658303465,0.5766968244457759,0.9583116883116882,,,,,,,,,125473.14604810996,844.7226890756302,135.70386597938145,0.9136029411764707,640.4596774193549,0.6926751152073732,,,,1194728.142857143,599991.1634615385,534234.9578947368,156971.9818181818,28295.0,2007.5987096774193,128.49761904761905,64.53115384615384,57.45831578947369,16.882545454545454,2159.24,919.6425806451613,0.09890322580645163,54.22163003663004,49.562,28.600000000000005,6.224000000000001,3.2839999999999994,8702.975000000002,1.4,412.81999999999994,14.490000000000002,10.200000000000001,34.800000000000004,,2.3000000000000003,67.44000000000001,0.7430000000000002,929769.0,657.679193,5.996666666666667,13.385416666666666,711.666718125
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,,,,,,,,,3.0,1.0,0.003,0.001,0.0,0.0,,,,0.0,0.0,2913.0,117528.0,28295.0,0.0,0.0,0.0,0.31,12.64,0.0,0.0,0.0,0.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,-49.8,-3.99,-6.05,-54.105145
25%,,,,2021-02-26 06:00:00,56.0,0.0,0.0,2.0,0.0,0.0,60.907,0.0,0.0,2.175,0.0,0.0,0.73,,,,,,,,,7644.25,49.75,8.26775,0.05375,71.0,0.077,,,,1090963.0,594514.5,571337.5,143858.0,28295.0,114.5,117.34,63.942499999999995,61.44499999999999,15.469999999999999,123.5,18.0,0.002,35.63,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,134.2,3.17,3.1575,145.801415
50%,,,,2022-04-20 12:00:00,64502.0,0.0,0.286,862.0,0.0,0.0,70154.484,0.0,0.311,937.539,0.0,0.0,0.87,,,,,,,,,26679.0,172.0,28.8545,0.186,176.0,0.19,,,,1437911.0,685089.5,634052.0,167300.0,28295.0,384.0,154.65,73.685,68.19,17.99,413.0,89.0,0.01,49.07,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,502.2,5.8149999999999995,9.07,544.278485
75%,,,,2023-06-12 18:00:00,69029.0,0.0,9.714,884.0,0.0,0.0,75078.2,0.0,10.566,961.467,0.0,0.0,1.3025,,,,,,,,,223127.75,1344.5,241.321,1.4545000000000001,872.0,0.943,,,,1544186.0,710433.25,639350.5,170597.5,28295.0,2336.5,166.08,76.41,68.765,18.345,2513.0,966.0,0.104,80.56,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,849.8250375,7.8725000000000005,14.8325,919.112345
max,,,,2024-08-04 00:00:00,69047.0,7274.0,1039.143,885.0,88.0,12.571,75097.78,7911.44,1130.206,962.555,95.712,13.673,1.95,,,,,,,,,558519.0,4556.0,604.059,4.927,4084.0,4.417,,,,1555182.0,712025.0,641194.0,172046.0,28295.0,17149.0,167.27,76.58,68.96,18.5,18444.0,11798.0,1.269,92.18,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,1953.1001,13.64,83.08,2112.3389
std,,,,,31136.058545441083,393.71085585795424,144.01312888466495,403.2456267802092,4.753777474021353,1.7311096138293736,33864.59736037249,428.212804808005,156.63338437413333,438.5832186116531,5.170371769384824,1.8828162379709625,0.4342002163699156,,,,,,,,,173083.49035085764,1199.5592202708267,187.19621259395376,1.2973856481043409,943.3056807677741,1.0202122143842816,,,,474791.6427469979,191705.21817898095,194247.87629200905,18206.69333828848,,3037.1196796598488,51.06623659756116,20.61860043971478,20.892302239770977,1.9578665809552878,3266.5062220050845,1801.4785558183687,0.19377582929252166,23.036734433563787,0.0,3.553775299526064e-15,8.88443824881516e-16,4.44221912440758e-16,1.819532953357345e-12,0.0,5.686040479241703e-14,1.776887649763032e-15,1.776887649763032e-15,7.107550599052128e-15,,4.44221912440758e-16,1.4215101198104257e-14,2.22110956220379e-16,0.0,677.1556050674639,4.990840886426173,20.264162622111044,732.1661319565255
