,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1027.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,845.0,845.0,845.0,845.0,838.0,838.0,839.0,839.0,845,183.0,110.0,134.0,151.0,44.0,1101.0,183.0,110.0,134.0,151.0,1101.0,1101.0,1101.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FIN,Europe,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,786097.8279569893,895.8853046594982,898.5692264829238,5115.427718040622,6.849462365591398,6.870002995805872,141148.42773118278,160.86141099163677,161.34333553025763,918.5047801672641,1.2298614097968936,1.2335224685440382,1.0193865628042844,25.85891089108911,4.667050742574258,379.490099009901,68.49080198019801,,,,,4744452.972781065,13063.775147928995,857.0194650887576,2.359786982248521,13159.508353221958,2.3770894988066824,0.09812514898688915,91.2206197854589,,9878247.797814207,3647038.0636363635,3325959.4104477614,2962902.1854304634,28509.18181818182,12116.287920072662,178.28398907103823,65.82227272727273,60.02701492537313,53.474503311258275,2186.7811080835604,4121.164396003633,0.07434877384196184,32.63842490842491,18.136,42.8,21.228000000000005,13.264000000000001,40585.721,,153.50700000000003,5.76,18.300000000000008,22.6,,3.2800000000000007,81.90999999999998,0.938,5540745.0,4756.961630311962,2.211770334928229,7.346937799043063,858.0710759631102
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,,,,,9.0,9.0,0.002,0.002,54.0,0.01,0.001,2.0,,67.0,67.0,5.0,1208.0,242.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-802.60004,-11.75,-11.75,-145.1496
25%,,,,2021-02-26 06:00:00,61230.0,0.0,23.429,791.0,0.0,0.429,10994.202,0.0,4.207,142.029,0.0,0.077,0.89,12.0,2.166,111.75,20.16875,,,,,1067577.0,6495.0,192.843,1.173,7953.75,1.4369999999999998,0.013,14.0,,8543599.5,3590044.5,3024170.5,2479882.0,5850.0,493.0,154.2,64.78999999999999,54.58,44.754999999999995,89.0,0.0,0.0,19.44,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,0.8000412,0.0,0.99,0.14451659
50%,,,,2022-04-20 12:00:00,1044993.0,0.0,198.714,4492.0,0.0,3.143,187634.56,0.0,35.68,806.565,0.0,0.564,1.05,22.0,3.971,261.5,47.196,,,,,4432908.0,12971.0,800.743,2.343,14015.5,2.532,0.027,37.0,,11405540.0,4343268.5,4202061.0,2895753.0,13230.5,4432.0,205.85,78.38999999999999,75.835,52.26,800.0,59.0,0.001,33.36,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,2990.2002,2.7,7.09,539.67474
75%,,,,2023-06-12 18:00:00,1481667.0,0.0,754.286,10057.0,0.0,10.857,266041.9,0.0,135.436,1805.793,0.0,1.949,1.17,35.0,6.317,668.0,120.561,,,,,7822538.0,18376.0,1413.033,3.319,17594.0,3.17825,0.0715,76.9,,12869509.5,4516489.5,4327146.25,4285871.0,40446.5,19345.0,232.26999999999998,81.515,78.1,77.355,3491.0,3348.0,0.06,47.69,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,10661.8,5.99,12.5,1922.6122
max,,,,2024-08-04 00:00:00,1499712.0,61448.0,8778.286,11466.0,255.0,36.429,269281.97,11033.346,1576.192,2058.787,45.787,6.541,1.92,83.0,14.98,1089.0,196.544,,,,,11038890.0,36048.0,1994.022,6.512,29585.0,5.344,0.509,1000.0,,13327120.0,4524288.0,4347113.0,4455719.0,151516.0,72110.0,240.53,81.65,78.46,80.42,13014.0,32289.0,0.583,71.3,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,16052.399,7.23,39.17,2894.6838
