,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1274.0,1269.0,1674.0,1274.0,1269.0,1674.0,1274.0,1269.0,1674.0,1274.0,1269.0,1038.0,1109.0,1109.0,1109.0,1109.0,1102.0,1102.0,1102.0,1102.0,767.0,767.0,767.0,767.0,760.0,760.0,761.0,761.0,767,926.0,926.0,925.0,907.0,925.0,925.0,926.0,926.0,925.0,907.0,925.0,925.0,925.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FRA,Europe,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,21073396.814814813,30610.274725274725,30730.882590228524,117994.49641577061,131.8563579277865,132.375902285264,327850.7408100358,476.22132417582424,478.09768321513,1835.707071087216,2.0513642072213503,2.059467297084318,1.0890173410404624,2046.5193868349866,30.178860234445445,17463.67177637511,257.52691614066725,996.2268602540835,14.690795825771326,6643.2722323049,97.96458620689656,108493422.25684485,362756.1929595828,1609.1694693611475,5.380370273794002,365077.13684210525,5.4147934210526305,0.08618134034165573,31.10078843626807,,111180043.2699784,44813310.17386609,41058451.917837836,26770866.626240354,167019.0810810811,167020.08756756756,163.95096112311018,66.0837796976242,60.546637837837835,39.47745314222712,2462.96,59112.19783783784,0.08720108108108109,42.427390109890105,122.57799999999999,42.0,19.717999999999996,13.079000000000004,38605.670999999995,,86.05999999999999,4.769999999999998,30.100000000000005,35.60000000000001,,5.980000000000002,82.65999999999998,0.9009999999999999,67813000.0,72458.74002440191,5.213014354066986,5.096698564593302,1120.7356028181816
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,344.0,5.073,2972.0,43.826,62.0,0.914,510.0,7.521,39556.0,6522.0,0.587,0.097,31374.0,0.465,0.007,3.2,,616.0,616.0,1.0,1.0,9.0,395.0,0.0,0.0,0.0,0.0,6.0,33.0,0.0,0.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,-9863.4,-7.51,-10.25,-152.96825
25%,,,,2021-02-26 06:00:00,3287522.0,0.0,3604.286,88382.0,0.0,27.286,51145.836,0.0,56.074,1375.009,0.0,0.424,0.84,953.0,14.053,10518.0,155.103,350.0,5.161,2493.0,36.7625,25264606.5,115053.5,374.72349999999994,1.7065000000000001,194418.25,2.8835,0.023,7.9,,81817408.25,46949260.5,35947725.0,175641.5,9598.0,21567.0,120.655,69.22999999999999,53.01,0.26,318.0,480.0,0.001,18.81,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,47362.797,5.14,-0.95,733.9491
50%,,,,2022-04-20 12:00:00,26826921.0,0.0,13274.143,144988.0,0.0,66.286,417361.56,0.0,206.513,2255.66,0.0,1.031,1.06,1445.0,21.309,17405.0,256.662,702.5,10.3595,5520.0,81.4,85621956.0,312928.0,1269.941,4.641,300931.5,4.4635,0.059,16.9,,142687756.0,54413336.0,52778024.0,36958857.0,52067.0,52096.0,210.41,80.24,77.83,54.5,768.0,1677.0,0.002,44.39,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,80079.41,6.08,3.48,1239.1086
75%,,,,2023-06-12 18:00:00,38978308.0,0.0,31840.714,167856.0,0.0,165.286,606407.56,0.0,495.364,2611.431,0.0,2.571,1.2575,2933.0,43.251,24693.0,364.134,1374.0,20.262,9615.75,141.79825,174319836.0,460797.5,2585.504,6.8345,449262.25,6.66375,0.127,43.5,,151573770.5,54625763.75,53127023.0,45072700.0,223642.0,262861.0,223.52,80.55,78.34,66.465,3876.0,52860.0,0.078,62.04,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,114740.23,6.48,8.76,1775.4327
max,,,,2024-08-04 00:00:00,38997490.0,2417043.0,345291.857,168091.0,5602.0,800.286,606706.0,37603.305,5371.901,2615.087,87.153,12.45,3.09,7019.0,103.505,33466.0,493.504,4838.0,71.343,25045.0,369.324,278234000.0,2222575.0,4126.754,32.965,1581849.0,23.462,0.309,142.9,,154493266.0,54677678.0,53192478.0,47705542.0,970640.0,734590.0,227.82,80.63,78.44,70.35,10833.0,411291.0,0.607,87.96,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,124352.03,7.7,61.08,1920.2994
