,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71.0,71.0,70.0,15.0,2.0,818.0,71.0,71.0,70.0,15.0,818.0,818.0,818.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,PYF,Oceania,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,49553.271804062126,47.42353643966547,47.541467345716,435.115890083632,0.38829151732377537,0.3894709406830438,176730.44187873357,169.13479091995222,169.55536668663868,1551.8292329749104,1.3848309438470732,1.3889484721390055,,,,,,,,,,,,,,,,,,,243403.53521126762,117569.5352112676,108485.2,93991.06666666667,427.5,612.9706601466993,79.46774647887325,38.38464788732394,35.417857142857144,30.686666666666667,2001.2432762836186,231.22616136919316,0.07555378973105135,,77.32399999999997,32.699999999999996,7.775000000000001,4.593000000000002,,,,22.629999999999995,,,,,77.65999999999998,,306292.0,77.20001004583334,0.35625000000000046,16.11,253.46397312500002
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2133.0,2133.0,415.0,84100.0,405.0,7.0,0.7,0.7,0.14,27.46,23.0,0.0,0.0,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,-89.8,-15.65,-20.66,-297.415
25%,,,,2021-02-26 06:00:00,18346.0,0.0,0.143,137.0,0.0,0.0,65430.527,0.0,0.509,488.607,0.0,0.0,,,,,,,,,,,,,,,,,,,90651.5,53731.0,41339.75,84100.0,416.25,61.25,29.6,17.54,13.495,27.46,199.75,2.0,0.001,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,-60.725,-4.715,-11.39,-200.75233500000002
50%,,,,2022-04-20 12:00:00,72596.0,0.0,3.714,648.0,0.0,0.0,258911.72,0.0,13.247,2311.075,0.0,0.0,,,,,,,,,,,,,,,,,,,290776.0,152157.0,140250.5,84100.0,427.5,336.5,94.93,49.68,45.79,27.46,1098.5,79.5,0.026,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,-21.4,-2.52,0.31,-70.8761825
75%,,,,2023-06-12 18:00:00,78596.0,0.0,18.857,649.0,0.0,0.0,280310.56,0.0,67.254,2314.641,0.0,0.0,,,,,,,,,,,,,,,,,,,364347.5,183932.5,180611.0,111840.0,438.75,744.75,118.955,60.05,58.965,36.51,2431.25,307.75,0.10075,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,13.924999249999999,0.7425,5.925,45.8001925
max,,,,2024-08-04 00:00:00,79387.0,8042.0,1148.857,650.0,128.0,18.286,283131.66,28681.582,4097.369,2318.208,456.509,65.216,,,,,,,,,,,,,,,,,,,502952.0,190908.0,186803.0,112237.0,450.0,12050.0,164.21,62.33,60.99,36.64,39342.0,1736.0,0.567,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,560.7001,18.78,276.24,1844.1776
