,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,409.0,521.0,409.0,819.0,819.0,819.0,810.0,826,59.0,62.0,50.0,30.0,4.0,853.0,59.0,62.0,50.0,30.0,853.0,853.0,853.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GHA,Africa,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,123056.14994026284,102.78494623655914,103.09288376273219,1029.6642771804063,0.8733572281959379,0.8759814260035951,3712.1960710872163,3.1006833930704905,3.1099754343918513,31.061712066905613,0.026349462365591398,0.026418813660874778,0.9509683794466404,,,,,,,,,918668.8809980806,3239.650366748166,27.980024952015356,0.09865770171149144,3004.006105006105,0.09147008547008548,0.064602442002442,41.08617283950617,,9424478.152542373,6128628.274193549,5223704.68,1616958.0,45237.5,30026.092614302463,28.15338983050847,18.30790322580645,15.6046,4.830666666666667,896.9941383352872,16332.030480656507,0.04887338804220398,42.737390109890114,126.71900000000002,21.099999999999998,3.384999999999999,1.9480000000000002,4227.629999999999,12.0,298.24499999999995,4.969999999999999,0.2999999999999999,7.700000000000002,41.04700000000001,0.9000000000000002,64.06999999999996,0.6109999999999999,33475870.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,,,,,,,,143.0,206.0,0.004,0.006,111.0,0.003,0.0,2.3,,0.0,0.0,376169.0,100169.0,33831.0,0.0,0.0,0.0,1.12,0.3,0.0,0.0,0.0,0.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
25%,,,,2021-02-26 06:00:00,81245.0,0.0,0.714,584.0,0.0,0.0,2450.892,0.0,0.022,17.617,0.0,0.0,0.84,,,,,,,,,446867.0,1981.0,13.61,0.06,1991.5,0.061,0.01795,11.225,,1230546.0,855264.75,840383.75,496847.75,37405.5,5527.0,3.675,2.5575,2.5124999999999997,1.4825,165.0,4000.0,0.012,38.89,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
50%,,,,2022-04-20 12:00:00,161117.0,0.0,17.143,1445.0,0.0,0.0,4860.366,0.0,0.517,43.591,0.0,0.0,0.98,,,,,,,,,726313.0,2929.0,22.121,0.089,3010.0,0.092,0.041,24.1,,7755231.0,6481655.5,5918915.0,1551954.0,43424.5,23383.0,23.17,19.365000000000002,17.68,4.640000000000001,699.0,6861.0,0.02,42.77,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
75%,,,,2023-06-12 18:00:00,171653.0,0.0,106.143,1462.0,0.0,0.429,5178.202,0.0,3.202,44.104,0.0,0.013,1.17,,,,,,,,,1309608.0,4322.0,39.887,0.132,3909.0,0.119,0.08845,54.275,,18396070.0,11134787.5,8244957.75,2306462.5,51256.5,34369.0,54.95,33.265,24.63,6.89,1027.0,19712.0,0.059,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
max,,,,2024-08-04 00:00:00,172062.0,7261.0,1037.286,1462.0,301.0,43.0,5190.54,219.04,31.291,44.104,9.08,1.297,1.52,,,,,,,,,2465238.0,12735.0,75.084,0.388,6766.0,0.206,0.4347,360.6,,25624828.0,13864186.0,10780003.0,4806017.0,60270.0,442283.0,76.55,41.42,32.2,14.36,13212.0,390369.0,1.166,84.26,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
