,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,1.0,23.0,23.0,23.0,23.0,30,260.0,257.0,241.0,111.0,184.0,705.0,260.0,257.0,241.0,111.0,705.0,705.0,705.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,13.0,13.0,13.0,13.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GIB,Europe,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,12186.902628434886,12.275985663082437,12.312790293588975,81.4163679808841,0.06750298685782556,0.06771420011983223,323852.7389318996,326.2200274790919,327.1973259436789,2163.545300477897,1.7938154121863799,1.7991803475134813,,,,,,,,,,524659.75,514.0,16059.374,15.733,561.4347826086956,17.18491304347826,0.08846086956521738,11.869565217391305,,73259.80384615385,33765.51361867704,33026.634854771786,20574.34234234234,501.2717391304348,191.7531914893617,224.19396153846154,103.33089494163424,101.06987551867222,62.96333333333334,5868.295035460993,63.33617021276596,0.19379716312056736,,3457.099999999999,,,,,,,,,,,,79.93000000000004,,32677.0,-13.815384307692305,-7.30076923076923,2.1799999999999993,-421.92777769230776
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,516965.0,514.0,15823.845,15.733,521.0,15.947,0.0574,6.8,,420.0,420.0,400.0,5.0,0.0,4.0,1.29,1.29,1.22,0.02,122.0,0.0,0.0,,3457.1,,,,,,,,,,,,79.93,,32677.0,-34.8,-14.97,-49.15,-1062.9524
25%,,,,2021-02-26 06:00:00,4220.0,0.0,0.0,88.0,0.0,0.0,112141.586,0.0,0.0,2338.498,0.0,0.0,,,,,,,,,,520566.5,514.0,15934.083,15.733,553.5,16.942,0.07815,10.100000000000001,,50867.5,29834.0,29446.0,11287.5,137.25,54.0,155.665,91.3,90.11,34.540000000000006,1653.0,0.0,0.0,,3457.1,,,,,,,,,,,,79.93,,32677.0,-23.599998,-11.42,-9.48,-720.8528
50%,,,,2022-04-20 12:00:00,17310.0,0.0,1.143,101.0,0.0,0.0,459993.1,0.0,30.37,2683.957,0.0,0.0,,,,,,,,,,523400.0,514.0,16020.814,15.733,568.0,17.386,0.0843,11.9,,78763.0,39523.0,39382.0,25089.0,490.5,54.0,241.03500000000003,120.95,120.52,76.78,1653.0,3.0,0.009,,3457.1,,,,,,,,,,,,79.93,,32677.0,-20.8,-9.85,-6.9,-635.3279
75%,,,,2023-06-12 18:00:00,20550.0,0.0,9.143,113.0,0.0,0.0,546092.3,0.0,242.961,3002.844,0.0,0.0,,,,,,,,,,529397.75,514.0,16204.4,15.733,576.0,17.6305,0.09925,12.8,,98572.75,40911.0,39870.0,30084.0,780.0,260.0,301.655,125.2,122.01,92.065,7957.0,16.0,0.049,,3457.1,,,,,,,,,,,,79.93,,32677.0,-3.0,-3.41,0.81,-91.633835
max,,,,2024-08-04 00:00:00,20550.0,1050.0,150.0,113.0,29.0,4.143,546092.3,27902.527,3986.075,3002.844,770.641,110.092,,,,,,,,,,533268.0,514.0,16322.865,15.733,585.0,17.906,0.1481,17.4,,132810.0,42175.0,41465.0,49170.0,1330.0,1068.0,406.43,129.07,126.89,150.47,32684.0,1040.0,3.183,,3457.1,,,,,,,,,,,,79.93,,32677.0,19.600002,5.77,157.23,599.4251
std,,,,,8701.533742386539,76.61266601884466,26.663134968515653,44.437715678536335,0.9510971933406981,0.3545047349731448,231233.11976257316,2035.8923643686137,708.5426049758668,1180.8806579174964,25.2742997081891,9.420843179177961,,,,,,,,,,5858.104050921986,,179.31144721166802,,19.75952264549591,0.6047990585192494,0.020972313765153138,2.575308416235845,,32881.201773439214,10884.432807807,11357.298993721177,11759.189470750482,392.34802782053566,249.37329703029582,100.62504430502615,33.3094451867496,34.75645441834423,35.985819084071366,7631.381770382769,167.06558034460622,0.511283828612867,,9.097664766786724e-13,,,,,,,,,,,,2.8430202396208514e-14,,0.0,14.769442038659886,6.00585750405172,50.68960133334383,451.2684026856171
