,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,0.0,0.0,0.0,0.0,199.0,199.0,169.0,169.0,682.0,597.0,682.0,597.0,835.0,835.0,835.0,835.0,842,1193.0,1193.0,1174.0,952.0,1129.0,1276.0,1193.0,1193.0,1174.0,952.0,1276.0,1276.0,1276.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GRC,Europe,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2798110.141577061,3389.2956989247314,3396.461459556621,22395.125448028673,23.451612903225808,23.5013457159976,268726.5543530466,325.50318339307046,326.1913858597963,2150.7962688172042,2.252262246117085,2.2570173756740566,1.0374634146341464,,,,,87.10552763819095,8.378572864321608,1453.4437869822484,139.96075147928994,15107963.278592376,81342.3701842546,1446.3796524926688,7.787408710217757,100780.16407185628,9.648317365269461,0.036571856287425146,63.3377245508982,,17583262.289186925,6811096.872590109,6535288.7879046,6041419.506302521,19066.405668733394,17609.190438871472,169.3144174350377,65.58630343671418,62.93055366269165,58.174516806722686,1695.6394984326018,6222.095611285266,0.05985344827586206,52.73704212454212,83.47900000000001,45.3,20.396000000000004,14.524,24574.382,1.5,175.695,4.549999999999998,35.300000000000004,52.0,,4.210000000000001,82.24,0.8880000000000001,10384972.0,21021.781494569375,6.373923444976077,7.888133971291865,2026.379894586603
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,,,,,0.0,0.0,181.0,17.4,570.0,176.0,0.055,0.017,179.0,0.017,0.0013,9.5,,447.0,447.0,2.0,1061.0,1.0,3.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,-411.6,-3.68,-18.13,-39.15439
25%,,,,2021-02-26 06:00:00,185310.0,0.0,340.143,6333.0,0.0,3.286,17796.912,0.0,32.667,608.212,0.0,0.316,0.91,,,,,17.0,1.625,728.0,70.078,1204189.25,10518.0,115.28425,1.007,14775.0,1.4144999999999999,0.0166,19.15,,13246810.0,6754519.0,6550863.25,5976739.25,149.0,248.75,127.56,65.04,63.08,57.555,24.0,10.0,0.0,24.07,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,4249.199,2.89,-0.56,406.80225
50%,,,,2022-04-20 12:00:00,3246541.0,0.0,1414.0,28685.0,0.0,13.0,311793.22,0.0,135.799,2754.867,0.0,1.249,1.05,,,,,37.0,3.537,1202.0,115.777,5847206.5,31904.0,559.79,3.054,43727.0,4.186,0.0316,31.7,,21337553.0,7926119.0,7637031.0,7023327.0,4151.0,4073.5,205.47,76.32,73.54,67.63,392.0,69.0,0.001,59.72,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,24444.398,8.02,5.45,2353.8242
75%,,,,2023-06-12 18:00:00,5332008.0,0.0,3839.286,37160.0,0.0,34.571,512078.53,0.0,368.72,3568.794,0.0,3.32,1.16,,,,,129.0,12.4285,1972.0,189.87,16410875.5,78691.0,1571.116,7.534,179764.5,17.21,0.05215,60.150000000000006,,22125684.0,7935676.0,7646124.0,7124085.0,27312.0,24097.75,213.05,76.41,73.63,68.6,2320.5,7960.25,0.0765,73.97,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,37936.7,9.88,14.86,3658.6897
max,,,,2024-08-04 00:00:00,5673681.0,241321.0,34474.429,39258.0,732.0,104.571,544892.3,23176.129,3310.876,3770.283,70.3,10.043,1.78,,,,,389.0,37.477,3964.0,381.748,84483362.0,650101.0,8088.12,62.238,414877.0,39.719,0.1054,760.6,,22467978.0,7938031.0,7647076.0,7461944.0,120023.0,109105.0,216.35,76.44,73.64,71.85,10506.0,64636.0,0.622,88.89,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,39313.895,10.74,61.1,3801.6484
std,,,,,2385328.6388681345,16398.31223107645,5350.859761453472,15140.262263200044,90.9755081583245,26.68328958968612,229083.6001996614,1574.870801330036,513.8890576454081,1454.0494495384496,8.737153099929989,2.5626239293300768,0.2207590883207745,,,,,101.5848847401755,9.787133699608246,940.1678729151321,90.53646049085242,21398071.60543626,125782.30344328505,2048.5709853059793,12.04192666098389,116398.67955433785,11.143562170383476,0.02457390235607078,95.3091726713423,,6999103.696029255,2218887.433962029,2197947.438873092,1993660.4066917486,29932.535682927955,27045.83733614318,67.39636180148955,21.366535570380428,21.16471006671519,19.19747935658234,2604.333155726264,11949.57967810585,0.11509938278510373,27.27693880554305,1.4215101198104257e-14,0.0,3.553775299526064e-15,0.0,0.0,0.0,0.0,1.776887649763032e-15,7.107550599052128e-15,0.0,,8.88443824881516e-16,0.0,1.110554781101895e-16,0.0,15843.051618791522,3.9489712528264387,11.974824226317319,1531.0089669495992
