,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.0,128.0,129.0,0.0,71.0,411.0,129.0,128.0,129.0,0.0,411.0,411.0,411.0,1092.0,1674.0,0.0,0.0,0.0,0.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GRL,North America,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6732.114695340501,7.151135005973716,7.172567405632115,11.302867383512545,0.012544802867383513,0.012586578789694427,120186.28294743129,127.6669229390681,128.04937267825042,201.78633632019114,0.2239587813620072,0.22462073097663274,,,,,,,,,,,,,,,,,,,47799.023255813954,27330.65625,20665.17054263566,,610.3661971830986,188.23114355231144,84.60852713178295,48.37828125,36.5793023255814,,3331.8637469586374,94.36009732360097,0.16709489051094892,30.853305860805857,0.137,,,,,,199.94099999999997,2.16,,,,,71.70000000000002,,56494.0,-79.03749929166668,-7.788541666666667,-6.622916666666666,-1399.0164949999998
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2584.0,2584.0,1203.0,,0.0,1.0,4.57,4.57,2.13,,18.0,0.0,0.0,0.0,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,-166.4,-21.97,-56.28,-2936.4531
25%,,,,2021-02-26 06:00:00,30.0,0.0,0.0,0.0,0.0,0.0,535.58,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,21694.0,13361.0,8340.0,,144.5,27.0,38.4,23.65,14.76,,478.0,5.0,0.009,11.11,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,-113.05000875,-7.592499999999999,-18.9975,-1994.988425
50%,,,,2022-04-20 12:00:00,11971.0,0.0,0.0,21.0,0.0,0.0,213714.42,0.0,0.0,374.906,0.0,0.0,,,,,,,,,,,,,,,,,,,50826.0,32051.5,18915.0,,463.0,95.0,89.97,56.735,33.48,,1682.0,35.0,0.062,33.23,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,-61.1,-7.074999999999999,-5.375,-1084.5677
75%,,,,2023-06-12 18:00:00,11971.0,0.0,0.0,21.0,0.0,0.0,213714.42,0.0,0.0,374.906,0.0,0.0,,,,,,,,,,,,,,,,,,,76405.0,39953.25,36482.0,,862.0,259.0,135.24,70.7225,64.58,,4585.0,127.5,0.226,38.86,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,-40.7,-5.4475,7.045,-726.15034
max,,,,2024-08-04 00:00:00,11971.0,3047.0,435.286,21.0,6.0,0.857,213714.42,54397.113,7771.016,374.906,107.116,15.302,,,,,,,,,,,,,,,,,,,79738.0,41227.0,38511.0,,2780.0,1128.0,141.14,72.98,68.17,,19967.0,725.0,1.283,77.78,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,-5.0,-3.4,38.42,-89.20766
std,,,,,5809.373903546964,105.78598533770621,39.488180696406246,10.340510063729868,0.21135794566405286,0.07914906685357635,103712.8875144178,1888.563317665167,704.9696061534854,184.60568274002003,3.7733000878530962,1.4130541303762307,,,,,,,,,,,,,,,,,,,25994.59892171867,13062.995565967864,13319.424466805538,,592.766763080113,241.62870650690763,46.01335847305607,23.123426070613114,23.5764424660125,,4277.05594161817,150.26497494950667,0.2659580074100736,16.735694794719475,0.0,,,,,,2.8430202396208514e-14,0.0,,,,,1.4215101198104257e-14,,0.0,47.54975097470446,3.7782974830692435,19.649543003546597,837.3383136909933
