,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,740.0,740.0,740.0,747.0,747.0,723.0,723.0,754,413.0,413.0,394.0,136.0,328.0,806.0,413.0,413.0,394.0,136.0,806.0,806.0,806.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,157.0,157.0,157.0,157.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GTM,North America,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,726452.4874551971,747.3986849970114,749.6386049160672,13554.283751493429,12.068697729988052,12.104849610545234,40702.459529868574,41.876056186491326,42.0015701438849,759.4338715651135,0.6761977299880525,0.678207309766327,1.0629689067201604,,,,,,,,,1323064.0108108108,5496.993243243243,75.13787702702702,0.3121702702702703,5399.029451137885,0.3066104417670683,0.19358381742738587,6.710235131396957,,7800883.714285715,4220358.046004843,2969556.378172589,2270234.470588235,41144.564024390245,25263.857320099254,43.71731234866828,23.65147699757869,16.641954314720813,12.722720588235296,1415.803970223325,11086.899503722085,0.06211910669975186,53.6533608058608,157.83400000000003,22.9,4.694000000000001,3.0159999999999996,7423.808000000001,8.700000000000001,155.89799999999997,10.180000000000001,,,76.66499999999999,0.5999999999999998,74.29999999999997,0.663,17843914.0,25754.683057643313,15.009936305732484,20.339617834394904,1450.6927747205732
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0331,1.9,,0.0,0.0,370.0,64020.0,1.0,248.0,0.0,0.0,0.0,0.36,14.0,42.0,0.0,0.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,-3109.5999,-9.05,-22.74,-179.09639
25%,,,,2021-02-26 06:00:00,170931.0,0.0,0.286,6249.0,0.0,0.0,9577.105,0.0,0.016,350.126,0.0,0.0,0.94,,,,,,,,,249337.0,1317.25,14.159749999999999,0.075,2776.0,0.1575,0.1332,3.9,,859739.0,707948.0,177207.25,976906.0,10471.75,3805.75,4.82,3.97,0.9975,5.4775,213.0,1164.75,0.007,39.81,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,7867.8,12.14,4.36,453.14337
50%,,,,2022-04-20 12:00:00,837377.0,0.0,475.714,17422.0,0.0,5.286,46917.457,0.0,26.654,976.138,0.0,0.296,1.02,,,,,,,,,936520.0,4316.5,53.185500000000005,0.2455,4822.0,0.274,0.1727,5.8,,7650606.0,4844170.0,3059136.5,2258592.0,36279.0,14500.0,42.88,27.15,17.145,12.655000000000001,812.5,4684.5,0.026,50.004999999999995,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,20258.502,15.67,13.35,1150.4967
75%,,,,2023-06-12 18:00:00,1250277.0,0.0,915.143,20199.0,0.0,18.857,70051.86,0.0,51.275,1131.731,0.0,1.057,1.16,,,,,,,,,2282218.25,7821.0,129.60875000000001,0.444,8046.5,0.457,0.25715,7.5,,12898674.0,6821249.0,5210134.25,3829408.75,66043.75,43492.75,72.29,38.23,29.195,21.46,2437.5,14661.75,0.082,59.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,48965.117,23.33,27.67,2744.0793
max,,,,2024-08-04 00:00:00,1250371.0,38239.0,5462.714,20203.0,462.0,66.0,70057.125,2142.496,306.071,1131.955,25.885,3.698,1.76,,,,,,,,,4067775.0,18328.0,231.012,1.041,13842.0,0.786,0.513,30.2,,20362104.0,8933623.0,7126305.0,4302176.0,132785.0,96711.0,114.11,50.07,39.94,24.11,5420.0,70569.0,0.395,96.3,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,52420.117,26.72,136.85,2937.703
std,,,,,498872.5495662536,3201.1235201588297,993.0096148091401,7623.239715569679,49.90143961739236,15.200936558914284,27951.366611974077,179.35598991610598,55.63738714996509,427.12299310500424,2.7959406010003858,0.8517720012590162,0.1873301427041858,,,,,,,,,1234147.840510295,4736.7614126746785,70.08825905639189,0.2690148130040867,3847.79407528265,0.21853133234211547,0.08889855699516488,4.215481337715253,,6726912.3052112255,3115459.4015583545,2529380.021879143,1501244.041545322,33880.15294143959,26111.169123043182,37.69841141990257,17.45948039956779,14.175099013721143,8.413154467803889,1463.3201494072432,14502.069932736751,0.08126659269279521,21.544200773134044,2.8430202396208514e-14,0.0,8.88443824881516e-16,4.44221912440758e-16,9.097664766786724e-13,1.776887649763032e-15,2.8430202396208514e-14,1.776887649763032e-15,,,1.4215101198104257e-14,2.22110956220379e-16,2.8430202396208514e-14,0.0,0.0,20442.646080947245,10.109434125075962,28.30563174201473,1145.6580181540012
