,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,23.0,1.0,96.0,96.0,96.0,96.0,103,59.0,58.0,54.0,14.0,1.0,886.0,59.0,58.0,54.0,14.0,886.0,886.0,886.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GNB,Africa,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6389.3918757467145,5.743130227001195,5.760354104254044,122.31302270011948,0.1057347670250896,0.10607789095266626,3034.5663817204295,2.7276350059737156,2.7358046734571606,58.091060334528066,0.050222222222222224,0.0504008388256441,0.5777505112474438,,,,,,,,,134547.91304347827,390.0,65.29169565217391,0.189,166.3125,0.08070833333333334,0.015256249999999999,144.19062499999998,,415099.5254237288,380073.9310344828,180759.5185185185,12991.857142857143,1658.0,1031.7325056433408,19.71440677966102,18.05103448275862,8.585,0.6185714285714285,489.9604966139955,837.9277652370204,0.039749435665914226,,66.19100000000002,19.400000000000002,3.002,1.565,1548.6749999999995,67.10000000000001,382.47400000000016,2.4200000000000004,,,6.403000000000002,,58.320000000000014,0.48000000000000015,2105580.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,125580.0,390.0,60.94,0.189,107.0,0.052,0.0006,22.5,,5889.0,5889.0,1028.0,20.0,1658.0,0.0,0.28,0.28,0.05,0.0,0.0,0.0,0.0,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
25%,,,,2021-02-26 06:00:00,3115.0,0.0,0.0,47.0,0.0,0.0,1479.433,0.0,0.0,22.322,0.0,0.0,0.17250000000000001,,,,,,,,,130460.0,390.0,63.308,0.189,137.75,0.06675,0.008575,47.775,,291889.5,266443.25,17807.75,414.25,1658.0,5.0,13.86,12.657499999999999,0.8425,0.0175,2.0,4.0,0.0,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
50%,,,,2022-04-20 12:00:00,8182.0,0.0,0.571,171.0,0.0,0.0,3885.944,0.0,0.271,81.214,0.0,0.0,0.63,,,,,,,,,135355.0,390.0,65.683,0.189,155.0,0.075,0.01485,67.5,,415874.0,391815.0,23720.0,951.0,1658.0,250.0,19.75,18.61,1.13,0.045,119.0,104.0,0.005,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
75%,,,,2023-06-12 18:00:00,9614.0,0.0,4.571,177.0,0.0,0.143,4566.056,0.0,2.171,84.064,0.0,0.068,0.89,,,,,,,,,138791.0,390.0,67.351,0.189,189.0,0.092,0.020925,116.94999999999999,,573039.5,529738.25,342346.25,1759.25,1658.0,718.0,27.215,25.1575,16.2575,0.08750000000000001,341.0,389.0,0.018,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
max,,,,2024-08-04 00:00:00,9614.0,430.0,61.429,177.0,14.0,2.0,4566.056,204.223,29.175,84.064,6.649,0.95,1.39,,,,,,,,,142948.0,390.0,69.368,0.189,241.0,0.117,0.0445,1685.3,,920752.0,747057.0,547637.0,76359.0,1658.0,17553.0,43.73,35.48,26.01,3.63,8336.0,16832.0,0.799,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
