,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,101.0,101.0,101.0,60.0,108,174.0,174.0,169.0,20.0,73.0,907.0,174.0,174.0,169.0,20.0,907.0,919.0,919.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GIN,Africa,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,27958.820788530466,23.041816009557945,23.11084601557819,316.1702508960573,0.27956989247311825,0.2804487717195926,1989.2243721624852,1.639389486260454,1.644291192330737,22.494862604540028,0.019883512544802865,0.019896944278010788,0.735234297108674,,,,,,,,,683095.7857142857,,50.480357142857144,,526.3465346534654,0.03873267326732674,0.011597029702970297,269.2266666666667,,2499199.643678161,1541692.9827586208,906028.124260355,177098.35,21731.602739726026,13198.487320837927,18.032528735632187,11.124022988505747,6.537396449704142,1.277,952.3175303197354,9444.383025027204,0.06817845484221981,52.953882783882776,51.755,19.0,3.134999999999999,1.7330000000000003,1998.926,35.300000000000004,336.7170000000001,2.4200000000000004,,,17.449999999999996,0.2999999999999999,61.600000000000016,0.47700000000000004,13859349.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,626043.0,,46.264,,127.0,0.009,0.0,18.2,,62645.0,25263.0,2652.0,273.0,79.0,0.0,0.45,0.18,0.02,0.0,0.0,34.0,0.0,0.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
25%,,,,2021-02-26 06:00:00,15395.0,0.0,0.0,86.0,0.0,0.0,1095.329,0.0,0.0,6.119,0.0,0.0,0.29,,,,,,,,,665876.5,,49.20825,,350.0,0.026,0.0,32.875,,541293.0,284402.75,149451.0,70189.75,2916.0,4339.5,3.905,2.0525,1.08,0.5075000000000001,313.0,1903.5,0.014,47.69,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
50%,,,,2022-04-20 12:00:00,36540.0,0.0,4.571,441.0,0.0,0.0,2599.761,0.0,0.325,31.376,0.0,0.0,0.92,,,,,,,,,693262.0,,51.2315,,385.0,0.028,0.0033,62.7,,1617802.0,820699.0,451633.0,195909.5,8529.0,8024.0,11.675,5.925,3.26,1.415,579.0,5918.0,0.043,57.6,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
75%,,,,2023-06-12 18:00:00,38563.0,0.0,30.714,468.0,0.0,0.286,2743.694,0.0,2.185,33.297,0.0,0.02,1.065,,,,,,,,,696434.75,,51.465999999999994,,385.0,0.028,0.0178,190.5,,3363656.0,1826547.0,925486.0,283666.5,24778.0,15040.5,24.27,13.1775,6.68,2.0425,1085.5,10678.5,0.077,64.81,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
max,,,,2024-08-04 00:00:00,38572.0,1806.0,258.0,468.0,34.0,4.857,2744.335,128.494,18.356,33.297,2.419,0.346,1.41,,,,,,,,,708410.0,,52.351,,5435.0,0.402,0.0549,4755.0,,12049511.0,8715641.0,5853990.0,425378.0,298940.0,172447.0,86.94,62.89,42.24,3.07,12443.0,130140.0,0.939,80.56,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
std,,,,,13407.465701990504,118.11390622328504,39.25107276952324,184.17738220599998,1.9049690096869427,0.6726690282930302,953.9192708849755,8.403627709166486,2.792647973112067,13.103833454347706,0.1355239379868052,0.047876241050063904,0.43535451397052316,,,,,,,,,23101.573466819467,,1.707058721316281,,658.0949085906009,0.048701106987235704,0.015320871094331057,766.3382255159961,,2637537.790921596,1856642.6371546339,1119293.6307650432,122656.88189128283,39957.72013354301,18909.074981508114,19.030945333160304,13.39631434601592,8.076121864586616,0.8843201373163216,1364.3610123097524,14565.130554472156,0.10507241373402017,18.707020100544067,0.0,0.0,8.88443824881516e-16,2.22110956220379e-16,0.0,7.107550599052128e-15,1.1372080958483405e-13,4.44221912440758e-16,,,3.553775299526064e-15,1.110554781101895e-16,1.4215101198104257e-14,5.552773905509475e-17,0.0,,,,
