,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,379.0,379.0,379.0,379.0,386,126.0,132.0,119.0,47.0,32.0,736.0,126.0,132.0,119.0,47.0,736.0,736.0,736.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,GUY,South America,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,44772.918757467145,44.47013142174433,44.60130557219892,842.074074074074,0.7777777777777778,0.7801372079089275,54492.40143189965,54.1238835125448,54.28356261234271,1024.874840501792,0.9466182795698924,0.9494835230677052,1.01770423991727,,,,,,,,,289503.0,,359.82466666666664,,1036.4643799472296,1.2882453825857516,0.10469815303430079,13.437203166226915,,575178.5714285715,345960.4621212121,232249.8151260504,52932.02127659575,4529.90625,1304.9673913043478,71.12150793650795,42.77871212121212,28.718151260504204,6.5444680851063834,1613.6847826086957,673.5815217391304,0.08333967391304348,52.39034798534799,3.9519999999999986,26.300000000000008,5.305,2.8370000000000006,7435.047000000002,,373.159,11.620000000000003,,,77.15899999999999,1.6,69.90999999999998,0.6820000000000002,808727.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,,,,,,,,,38548.0,,47.911,,955.0,1.187,0.0181,2.7,,0.0,0.0,600.0,5756.0,1018.0,84.0,0.0,0.0,0.07,0.71,104.0,21.0,0.003,0.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
25%,,,,2021-02-26 06:00:00,8357.0,0.0,1.857,189.0,0.0,0.0,10171.171,0.0,2.26,230.029,0.0,0.0,0.9,,,,,,,,,212907.0,,264.623,,955.0,1.187,0.0589,8.0,,390653.5,254406.75,146814.0,47291.5,2123.75,244.0,48.3025,31.46,18.15,5.845,302.0,66.0,0.008,25.84,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
50%,,,,2022-04-20 12:00:00,63364.0,0.0,8.143,1228.0,0.0,0.143,77119.305,0.0,9.911,1494.579,0.0,0.174,1.01,,,,,,,,,387266.0,,481.335,,955.0,1.187,0.0872,11.5,,618539.5,383478.0,247822.0,56848.0,2532.0,671.0,76.485,47.415,30.64,7.03,829.5,288.5,0.035500000000000004,60.19,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
75%,,,,2023-06-12 18:00:00,73278.0,0.0,55.0,1298.0,0.0,1.0,89185.48,0.0,66.94,1579.775,0.0,1.217,1.16,,,,,,,,,414980.5,,515.7814999999999,,955.0,1.187,0.1244,17.0,,787955.75,430981.75,321343.0,65935.5,2971.25,1944.0,97.42750000000001,53.292500000000004,39.735,8.149999999999999,2404.0,724.25,0.08925,71.99000000000001,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
max,,,,2024-08-04 00:00:00,74443.0,6572.0,938.857,1302.0,43.0,6.143,90603.38,7998.676,1142.668,1584.643,52.335,7.476,1.78,,,,,,,,,442695.0,,550.228,,2771.0,3.444,0.3698,55.2,,960133.0,495285.0,381984.0,82864.0,58394.0,9303.0,118.72,61.24,47.23,10.25,11503.0,5129.0,0.634,87.04,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
