,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,30.0,2.0,161.0,161.0,161.0,161.0,168,87.0,87.0,86.0,0.0,17.0,896.0,87.0,87.0,86.0,0.0,896.0,896.0,896.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,HTI,North America,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,23718.514336917564,20.583034647550775,20.64468603954464,604.2449223416966,0.5137395459976105,0.5152822049131216,2061.8333100358427,1.7892700119474314,1.7946590772917912,52.52652329749104,0.04466427718040621,0.04477231875374475,0.9222554067971163,,,,,,,,,191747.0,299.0,16.75,0.026000000000000002,320.1552795031056,0.02798757763975156,0.07515155279503105,47.14658385093168,,196540.8620689655,141304.2528735632,86974.18604651163,,2438.4117647058824,760.1941964285714,1.696896551724138,1.2204597701149427,0.750232558139535,,65.66071428571429,583.2366071428571,0.005035714285714287,44.31163919413919,398.44800000000004,24.300000000000008,4.799999999999998,2.954,1653.173,23.5,430.54799999999983,6.650000000000001,2.899999999999999,23.1,22.863,0.7,64.0,0.5099999999999999,11585003.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,,,,153254.0,263.0,13.387,0.023,152.0,0.013,0.0033,2.4,,38.0,38.0,341.0,,150.0,40.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
25%,,,,2021-02-26 06:00:00,12352.0,0.0,0.0,247.0,0.0,0.0,1073.75,0.0,0.0,21.472,0.0,0.0,0.87,,,,,,,,,185353.75,281.0,16.19175,0.0245,207.0,0.018,0.0169,11.8,,29152.0,26133.0,3703.5,,899.0,56.0,0.25,0.225,0.0325,,5.0,27.0,0.0,34.26,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
50%,,,,2022-04-20 12:00:00,30640.0,0.0,5.571,835.0,0.0,0.0,2663.513,0.0,0.484,72.586,0.0,0.0,0.97,,,,,,,,,196107.0,299.0,17.131,0.026000000000000002,313.0,0.027,0.0359,27.8,,158479.0,106997.0,59355.5,,1433.0,387.5,1.37,0.92,0.515,,33.0,290.0,0.0025,39.81,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
75%,,,,2023-06-12 18:00:00,34228.0,0.0,26.429,860.0,0.0,0.571,2975.415,0.0,2.297,74.759,0.0,0.05,1.09,,,,,,,,,200576.0,317.0,17.521,0.0275,468.0,0.041,0.0846,59.3,,279855.5,184322.5,129379.5,,2244.0,998.0,2.415,1.5950000000000002,1.1175000000000002,,86.0,817.0,0.007,50.93,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
max,,,,2024-08-04 00:00:00,34456.0,1340.0,191.429,860.0,41.0,5.857,2995.235,116.485,16.641,74.759,3.564,0.509,1.5,,,,,,,,,206594.0,335.0,18.047,0.029,468.0,0.041,0.424,303.3,,680104.0,521396.0,366339.0,,14852.0,7598.0,5.87,4.5,3.16,,656.0,7434.0,0.064,93.52,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
