,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.0,84.0,78.0,39.0,7.0,894.0,93.0,84.0,78.0,39.0,894.0,894.0,894.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,HND,North America,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,324848.651135006,282.494623655914,283.3404194128221,8006.8279569892475,6.639187574671445,6.659130617136009,31044.75786857826,26.99712425328554,27.07799640503295,765.1872526881723,0.6344898446833931,0.6364170161773519,0.9229633300297324,,,,,,,,,,,,,,,,,,7613653.3655913975,3709945.095238095,3514592.012820513,2703002.9487179485,32718.0,19088.950782997763,72.9774193548387,35.56023809523809,33.68782051282051,25.908717948717946,1829.6610738255033,7376.192393736018,0.07069127516778523,63.07791208791209,82.80500000000004,24.9,4.652,2.883,4541.794999999999,16.0,240.20800000000006,7.209999999999998,2.0,,84.16899999999997,0.7,75.26999999999998,0.6340000000000001,10432858.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,2684.0,2684.0,2639.0,212537.0,8704.0,276.0,0.03,0.03,0.03,2.04,26.0,0.0,0.0,0.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
25%,,,,2021-02-26 06:00:00,164077.0,0.0,0.571,3975.0,0.0,0.0,15680.319,0.0,0.055,379.878,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,822516.0,824520.75,519879.25,2033784.5,17346.0,1735.0,7.88,7.8999999999999995,4.98,19.490000000000002,166.0,434.0,0.004,30.49,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
50%,,,,2022-04-20 12:00:00,421659.0,0.0,69.857,10891.0,0.0,0.714,40296.617,0.0,6.676,1040.818,0.0,0.068,1.02,,,,,,,,,,,,,,,,,,7300131.0,4191904.5,4479909.5,2742949.0,25341.0,8429.5,69.97,40.18,42.94,26.29,808.0,1487.0,0.014,76.9,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
75%,,,,2023-06-12 18:00:00,472600.0,0.0,535.429,11114.0,0.0,11.143,45164.887,0.0,51.169,1062.13,0.0,1.065,1.05,,,,,,,,,,,,,,,,,,14215383.0,6324830.25,5599007.75,3464511.0,39612.0,26140.75,136.26,60.6225,53.665,33.21,2505.75,9224.75,0.088,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
max,,,,2024-08-04 00:00:00,472896.0,10595.0,1513.571,11114.0,352.0,50.286,45193.176,1012.531,144.647,1062.13,33.64,4.806,1.35,,,,,,,,,,,,,,,,,,17074861.0,6596213.0,5853689.0,4872295.0,81065.0,174517.0,163.66,63.23,56.11,46.7,16728.0,95569.0,0.916,100.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
