,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,842.0,842.0,842.0,842.0,837.0,837.0,0.0,0.0,844,142.0,142.0,139.0,56.0,47.0,454.0,142.0,142.0,139.0,56.0,454.0,454.0,454.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ISL,Europe,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,112157.13381123058,125.67144563918758,126.03406890353506,97.33333333333333,0.1111111111111111,0.1114631515877771,294864.8000471924,330.39436559139784,331.3476830437388,255.8924689366786,0.2921123058542413,0.29302696225284597,0.9515399610136454,,,,,,,11.956043956043956,31.86463736263736,487039.796912114,1631.5736342042755,1315.1330498812351,4.405684085510689,1639.463560334528,4.426980884109916,,,,365792.8450704225,185119.29577464788,154618.39568345324,138787.35714285713,5507.468085106383,1763.431718061674,98.09232394366197,49.642394366197195,41.46338129496404,37.21803571428571,4728.9118942731275,671.7466960352423,0.1801409691629956,30.726053113553114,3.4039999999999995,37.300000000000004,14.431000000000004,9.206999999999997,46482.95799999999,0.2,117.99199999999998,5.3100000000000005,14.300000000000002,15.199999999999998,,2.91,82.99,0.949,372903.0,214.12062253588516,3.799138755980861,7.653157894736842,572.0618065349282
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,0.0,0.0,13.0,7.0,0.035,0.019,48.0,0.13,,,,4875.0,4875.0,480.0,35954.0,152.0,61.0,1.31,1.31,0.13,9.64,164.0,8.0,0.002,0.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,-29.8,-1.69,-32.27,-81.269325
25%,,,,2021-02-26 06:00:00,6066.0,0.0,2.286,29.0,0.0,0.0,15947.714,0.0,6.009,76.242,0.0,0.0,0.72,,,,,,,1.0,2.658,123597.5,594.5,333.7455,1.60525,677.0,1.828,,,,75883.75,50852.75,25718.0,47193.75,1153.5,506.25,20.3525,13.6375,6.9,12.655,1357.75,56.0,0.01525,11.11,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,21.800003,0.72,-5.53,58.865154
50%,,,,2022-04-20 12:00:00,176839.0,0.0,8.0,105.0,0.0,0.0,464915.56,0.0,21.032,276.048,0.0,0.0,0.97,,,,,,,7.0,18.605,340023.0,1100.0,918.15,2.97,1161.0,3.135,,,,375824.0,254302.0,166490.0,145032.0,3161.0,1166.0,100.78,68.195,44.65,38.894999999999996,3127.0,144.5,0.039,35.19,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,61.800007,4.09,7.22,165.72676
75%,,,,2023-06-12 18:00:00,208707.0,0.0,53.286,186.0,0.0,0.0,548697.56,0.0,140.09,489.0,0.0,0.0,1.22,,,,,,,16.5,43.854,733238.75,2007.75,1979.9337500000001,5.42125,1973.0,5.328,,,,570038.25,282856.25,278056.5,220763.75,10106.5,2435.25,152.8675,75.8525,74.565,59.2025,6530.75,812.5,0.218,41.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,441.8001,6.32,18.94,1177.1229
max,,,,2024-08-04 00:00:00,210374.0,19640.0,2805.714,186.0,69.0,9.857,553080.2,51634.207,7376.315,489.0,181.403,25.915,2.08,,,,,,,80.0,215.284,1373785.0,9782.0,3709.574,26.414,7276.0,19.647,,,,805469.0,309770.0,290193.0,250542.0,21266.0,7546.0,216.0,83.07,77.82,67.19,20236.0,4811.0,1.29,65.74,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,681.20026,22.32,73.72,1814.9756
