,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1682,1682,1682,1682,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,795.0,810.0,795.0,824.0,824.0,816.0,816.0,831,1250.0,1245.0,1209.0,887.0,1220.0,1305.0,1250.0,1245.0,1209.0,887.0,1305.0,1305.0,1305.0,1092.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,1682.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IND,Asia,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1682,1682,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-24 12:00:00,31110803.585424133,26906.659498207886,26987.105870581185,380320.23178016726,318.77120669056154,319.72620371479934,21825.660833930706,18.876259856630824,18.932669862192927,266.81216367980886,0.2236338112305854,0.22430617136009584,1.035478515625,,,,,,,,,366022136.2728395,1055092.6264150944,260.0394444444445,0.7495836477987421,1040395.3919902913,0.7391456310679612,0.04831789215686275,59.4875,,1679698837.4264,837672768.2040161,727185927.3622829,178927959.21871477,1731265.6286885245,1691449.556321839,118.52388,59.109477911646586,51.31269644334161,12.625343855693348,1193.5134099616857,787672.4950191571,0.05555938697318009,58.077152014652015,450.4189999999999,28.199999999999992,5.989,3.414000000000001,6426.674,21.199999999999996,282.27999999999986,10.389999999999997,1.8999999999999995,20.599999999999998,59.54999999999998,0.5300000000000001,69.65999999999998,0.6449999999999999,1417173120.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,,,,,,,,,6500.0,157.0,0.005,0.0,1121.0,0.001,0.0021,4.4,,0.0,0.0,7668.0,3294338.0,2.0,7.0,0.0,0.0,0.0,0.23,0.0,2.0,0.0,0.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
25%,,,,2021-02-28 06:00:00,10991651.0,0.0,125.857,156302.0,0.0,1.286,7711.149,0.0,0.088,109.653,0.0,0.001,0.85,,,,,,,,,89231360.75,498525.5,63.39425,0.3545,503542.0,0.3575,0.016774999999999998,13.775,,1275045573.25,796283823.0,564955588.0,159491948.0,360.5,386.0,89.9675,56.19,39.86,11.254999999999999,0.0,75.0,0.0,37.04,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
50%,,,,2022-04-24 12:00:00,43042097.0,0.0,3286.571,521751.0,0.0,29.143,30196.012,0.0,2.306,366.032,0.0,0.02,0.95,,,,,,,,,297688454.0,1014079.0,211.492,0.72,1048927.5,0.7455,0.030850000000000002,32.45,,2195489745.5,1026754040.0,950118274.0,227230996.0,170174.5,195785.0,154.92000000000002,72.45,67.04,16.03,138.0,7780.0,0.001,61.57,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
75%,,,,2023-06-18 18:00:00,44992788.0,0.0,23022.571,531891.0,0.0,372.143,31564.512,0.0,16.151,373.146,0.0,0.261,1.2,,,,,,,,,637962419.0,1411203.5,453.23900000000003,1.0025,1479834.25,1.0514999999999999,0.07264999999999999,59.65,,2206740796.5,1027416842.0,951984576.0,227343092.0,2547824.0,2518423.0,155.71,72.5,67.17,16.04,1777.0,1097483.0,0.077,75.7925,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
max,,,,2024-08-12 00:00:00,45041748.0,2738957.0,391279.571,533623.0,28982.0,4140.286,31598.86,1921.504,274.501,374.361,20.332,2.905,2.67,,,,,,,,,858526354.0,35855632.0,609.938,25.474,5471529.0,3.887,0.2268,474.0,,2206868000.0,1027438924.0,951990552.0,227438524.0,18627269.0,10037995.0,155.72,72.5,67.18,16.05,7083.0,6785334.0,0.479,100.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
