,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,369.0,371.0,369.0,365.0,365.0,365.0,365.0,372,459.0,503.0,505.0,124.0,409.0,1045.0,459.0,503.0,505.0,124.0,1045.0,1045.0,1045.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IDN,Asia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4285480.050179211,4079.6887694145757,4091.8871126423,109340.34826762247,96.86969515839809,97.16006294964028,15369.47931600956,14.631430704898447,14.675197723187537,392.1391009557945,0.347415421398685,0.3484976019184653,1.0380547409579668,,,,,,,,,27321915.85714286,139644.92682926828,99.80491105121294,0.5101192411924119,140490.43561643836,0.5132164383561644,0.09787479452054794,162.03945205479454,,169822490.04793027,101183567.38170974,75005972.20396039,31807015.25,808177.9217603912,428936.58181818185,61.64089324618736,36.727097415506954,27.225267326732673,11.545483870967743,1556.8583732057416,195611.36267942583,0.07091483253588517,54.64804945054944,145.72499999999994,29.300000000000008,5.319000000000001,3.053,11188.744000000004,5.700000000000002,342.8639999999999,6.32,2.8,76.10000000000001,64.20399999999998,1.0399999999999998,71.72000000000001,0.718,275501344.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,,,,,,,,,7781193.0,15945.0,28.424,0.058,29073.0,0.106,0.0009,3.3,,0.0,0.0,5468.0,5548431.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,5.56,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
25%,,,,2021-02-26 06:00:00,1278653.0,0.0,85.571,34489.0,0.0,1.571,4585.771,0.0,0.307,123.692,0.0,0.006,0.85,,,,,,,,,12161034.0,70742.0,44.423500000000004,0.258,64650.0,0.236,0.0055,6.5,,25608308.5,17612533.5,11559138.0,14266942.5,236919.0,23519.0,9.295,6.390000000000001,4.2,5.18,85.0,1342.0,0.0,37.04,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
50%,,,,2022-04-20 12:00:00,6039873.0,0.0,679.571,155866.0,0.0,14.571,21661.447,0.0,2.437,558.999,0.0,0.052,1.03,,,,,,,,,23745215.0,145729.0,86.74,0.532,155428.0,0.568,0.104,9.6,,121542203.0,99373294.0,62166916.0,35085476.0,665613.0,110730.0,44.12,36.07,22.57,12.735,402.0,32858.0,0.012,61.114999999999995,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
75%,,,,2023-06-12 18:00:00,6810119.0,0.0,4381.429,161821.0,0.0,95.857,24423.865,0.0,15.714,580.356,0.0,0.344,1.17,,,,,,,,,40367229.5,185722.0,147.45850000000002,0.678,181606.0,0.663,0.1529,181.6,,334451430.5,187989730.0,139946128.0,37458813.0,1289730.0,838001.0,121.4,68.235,50.8,13.6,3042.0,220496.0,0.08,71.36,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
max,,,,2024-08-04 00:00:00,6829399.0,389727.0,55675.286,162059.0,12444.0,1777.714,24493.01,1397.72,199.674,581.21,44.629,6.376,2.36,,,,,,,,,59503735.0,358270.0,217.363,1.309,317986.0,1.162,0.3054,1125.7,,448199860.0,204419394.0,174965137.0,69356250.0,2952259.0,2125551.0,162.69,74.2,63.51,25.17,7715.0,1322730.0,0.48,80.09,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
