,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,305.0,470.0,305.0,781.0,781.0,781.0,781.0,788,189.0,191.0,188.0,128.0,83.0,1021.0,189.0,191.0,188.0,128.0,1021.0,1021.0,1021.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,144.0,144.0,144.0,144.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IRN,Asia,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,5076010.854838709,4556.6684587813625,4570.319351707609,104741.27060931899,87.71624850657109,87.97904493708806,56699.84456511349,50.89870430107528,51.05116776512882,1169.9765089605733,0.9798052568697729,0.9827932893948473,1.0218731988472622,,,,,,,,,18915977.180851065,59260.43278688525,215.14148510638296,0.6739770491803279,66548.23943661971,0.7568834827144686,0.13571715749039695,16.115108834827147,,114176286.34920634,52395094.53926702,46017582.81382979,21798103.5,248053.2891566265,152269.63858961803,128.93920634920633,59.16947643979058,51.967659574468094,24.616875,1719.6552399608227,63864.517140058764,0.0720871694417238,59.55408424908424,49.83100000000001,32.39999999999999,5.439999999999999,3.182,19082.619999999995,0.2,270.308,9.590000000000002,0.8,21.099999999999998,,1.5,76.68000000000004,0.7830000000000001,88550568.0,149152.1485798611,22.8125,25.61409722222222,1691.6108589166668
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,,,,,,,,,189790.0,9135.0,2.159,0.104,10514.0,0.12,0.0077,1.9,,0.0,0.0,100691.0,56539.0,3000.0,43.0,0.0,0.0,0.11,0.06,0.0,8.0,0.0,0.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,-2879.2,-6.9,-17.31,-32.984234
25%,,,,2021-02-26 06:00:00,1566081.0,0.0,49.714,59409.0,0.0,1.714,17493.373,0.0,0.555,663.608,0.0,0.019,0.8,,,,,,,,,2920496.75,25319.0,33.21625,0.288,28660.0,0.326,0.0794,6.4,,102145229.0,57358944.5,50043316.0,19559854.0,64449.5,2149.0,115.35,64.775,56.515,22.0925,24.0,263.0,0.0,53.94,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,52380.1305,19.4175,3.4924999999999997,600.068895
50%,,,,2022-04-20 12:00:00,7205064.0,0.0,1012.857,140800.0,0.0,24.714,80481.7,0.0,11.314,1572.758,0.0,0.276,0.97,,,,,,,,,10387796.5,51109.0,118.146,0.581,60700.0,0.69,0.1143,8.8,,140837463.0,62739635.0,55541429.5,25383649.0,197887.0,23335.0,159.05,70.85,62.725,28.665,264.0,3806.0,0.004,60.19,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,147646.58000000002,26.630000000000003,18.485,1679.26315
75%,,,,2023-06-12 18:00:00,7612001.0,0.0,6279.571,146273.0,0.0,130.857,85027.26,0.0,70.144,1633.893,0.0,1.462,1.12,,,,,,,,,35270832.0,101346.0,401.1535,1.153,102549.0,1.166,0.1573,12.6,,149057825.0,64372325.5,57636864.5,27089151.0,365212.0,113612.0,168.33,72.695,65.085,30.595,1283.0,44226.0,0.05,70.83,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,251659.47,29.36,39.3375,2861.92775
max,,,,2024-08-04 00:00:00,7627863.0,269975.0,38567.857,146837.0,4547.0,649.571,85204.44,3015.664,430.809,1640.192,50.791,7.256,4.82,,,,,,,,,52269202.0,215102.0,594.485,2.446,137782.0,1.567,0.5375,129.7,,155461757.0,65199831.0,58585264.0,31352288.0,1706088.0,1225502.0,175.56,73.63,66.16,35.41,13840.0,968166.0,1.093,83.33,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,271808.53,34.25,158.99,3069.529
