,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,497.0,563.0,497.0,771.0,771.0,771.0,771.0,778,89.0,80.0,73.0,32.0,2.0,672.0,89.0,80.0,73.0,32.0,672.0,672.0,672.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IRQ,Asia,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,1712432.8554360813,1472.8464755077657,1477.258844817256,19166.0,15.158303464755077,15.203723187537447,38856.61991875747,33.42019295101553,33.520319952067105,434.8934677419355,0.34395818399044203,0.3449670461354104,0.973970731707317,,,,,,,,,7718773.731793961,26149.599597585515,177.30615985790408,0.6006680080482898,24559.16861219196,0.564112840466926,0.10988482490272375,21.31543450064851,,12166258.561797753,7866965.6625,5850336.726027397,214197.3125,13414.0,29105.70386904762,27.3423595505618,17.680124999999997,13.147260273972602,0.48187500000000005,654.0967261904761,16868.761904761905,0.037889880952380946,58.59432234432234,88.125,20.0,3.186,1.9570000000000005,15663.986000000003,2.5,218.61200000000008,8.829999999999998,,,94.576,1.4,70.60000000000001,0.6740000000000002,44496124.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,26331.0,698.0,0.605,0.016,2038.0,0.047,0.0052,3.6,,0.0,0.0,166519.0,148708.0,9985.0,399.0,0.0,0.0,0.37,0.33,9.0,0.0,0.0,0.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
25%,,,,2021-02-26 06:00:00,664750.0,0.0,0.0,13245.0,0.0,0.0,15083.767,0.0,0.0,300.541,0.0,0.0,0.81,,,,,,,,,2048056.0,16531.0,47.045500000000004,0.38,13938.0,0.32,0.0368,5.7,,6672182.0,6020970.0,4723137.0,171973.5,11699.5,6237.0,14.99,13.5275,10.61,0.3875,140.0,3238.0,0.007,34.57,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
50%,,,,2022-04-20 12:00:00,2323040.0,0.0,99.571,25198.0,0.0,0.857,52711.836,0.0,2.259,571.765,0.0,0.019,0.96,,,,,,,,,6846243.0,23123.0,157.263,0.531,20624.0,0.474,0.1122,8.9,,14714511.0,9144329.5,6570825.0,220159.5,13414.0,11416.0,33.07,20.55,14.77,0.495,257.0,6397.5,0.014,64.28,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
75%,,,,2023-06-12 18:00:00,2465545.0,0.0,2269.714,25375.0,0.0,24.714,55945.402,0.0,51.502,575.781,0.0,0.561,1.12,,,,,,,,,13810022.5,38761.0,317.227,0.89,36907.5,0.848,0.1764,27.15,,18279217.0,10783099.25,7609777.0,250291.75,15128.5,41267.0,41.08,24.237499999999997,17.1,0.5625,927.25,27584.0,0.062,75.93,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
max,,,,2024-08-04 00:00:00,2465545.0,83098.0,11871.143,25375.0,708.0,101.143,55945.402,1885.567,269.367,575.781,16.065,2.295,2.16,,,,,,,,,19002710.0,60426.0,436.507,1.388,53147.0,1.221,0.2751,192.9,,19557364.0,11332925.0,7944775.0,275280.0,16843.0,435337.0,43.95,25.47,17.85,0.62,9784.0,101833.0,0.229,96.3,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
