,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1677,1677,1677,1677,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1044.0,1627.0,1627.0,1627.0,1627.0,1338.0,1338.0,1479.0,1479.0,849.0,847.0,849.0,847.0,843.0,843.0,842.0,842.0,850,1038.0,1038.0,1030.0,778.0,1021.0,1054.0,1038.0,1038.0,1030.0,778.0,1054.0,1054.0,1054.0,1092.0,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,1677.0,0.0,1677.0,1677.0,1677.0,1677.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,ITA,Europe,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1677,1677,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-22 00:00:00,14048205.96535245,15998.254480286738,16042.921017974835,135473.0310633214,117.86559139784946,118.21561593768725,235632.61662843486,268.34106929510153,269.0902744158178,2272.309013739546,1.9769743130227,1.9828370281605752,1.0682854406130269,695.0503995082975,11.773026429010448,8286.236631837739,140.3555377996312,303.8378176382661,5.146530642750374,3875.1818796484113,65.63937322515213,74616634.26266195,265312.68595041323,1259.558050647821,4.478587957497049,266011.2158956109,4.490378410438908,0.06721864608076009,51.52862232779097,,108187421.42967245,42458936.13680154,38745432.95145631,38302159.316195376,141626.90107737514,137204.31119544592,183.25201348747592,71.91905587668593,65.62773786407767,64.8775321336761,2324.0237191650854,48331.412713472484,0.08183491461100569,52.475540293040304,205.85899999999998,47.899999999999984,23.021000000000008,16.240000000000002,35220.08400000002,2.0,113.15100000000001,4.780000000000001,19.800000000000004,27.800000000000008,,3.18,83.51,0.8919999999999997,59037472.0,155551.58308516745,11.383397129186603,10.243062200956938,2634.531012741627
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,17.0,0.288,127.0,2.151,2.0,0.034,165.0,2.795,4324.0,964.0,0.073,0.016,2462.0,0.042,0.0037,3.7,,7191.0,7191.0,9.0,971.0,0.0,5.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,-9038.899,-12.37,-12.37,-151.91281
25%,,,,2021-02-27 00:00:00,2795796.0,0.0,990.0,95486.0,0.0,14.857,46894.297,0.0,16.605,1601.601,0.0,0.249,0.85,87.0,1.474,2014.5,34.1225,57.0,0.965,1295.5,21.9435,10679675.0,83997.5,180.277,1.418,93330.5,1.5755,0.015,8.8,,81209327.25,43974155.5,39601510.75,38773860.25,1826.0,2501.25,137.5575,74.4825,67.0825,65.675,42.0,49.5,0.0,22.52,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,102036.91,10.78,2.44,1722.4229
50%,,,,2022-04-22 00:00:00,15659835.0,0.0,4594.286,161602.0,0.0,49.286,262664.72,0.0,77.061,2710.574,0.0,0.827,0.99,248.0,4.201,4540.0,76.9,158.0,2.676,2453.0,41.55,56886535.0,211831.0,960.267,3.576,212352.0,3.585,0.04615,21.65,,137848849.5,50868106.5,47884988.0,43745241.5,42452.0,35887.0,233.495,86.16,81.11,74.095,608.0,506.5,0.001,56.365,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,168226.3,12.32,7.92,2849.4834
75%,,,,2023-06-15 00:00:00,25882296.0,0.0,19458.714,190655.0,0.0,136.0,434127.53,0.0,326.384,3197.884,0.0,2.281,1.22,638.0,10.807,10107.5,171.20499999999998,296.75,5.02675,5123.0,86.7755,114767310.0,334814.0,1937.317,5.651999999999999,323170.5,5.455500000000001,0.1141,66.675,,144497394.75,50933118.0,47943359.0,47728263.25,219897.0,213747.0,244.7575,86.27,81.21,80.84,3620.25,58239.25,0.09875,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,239462.11,13.59,13.22,4067.5896
max,,,,2024-08-07 00:00:00,26781078.0,1268153.0,181164.714,197307.0,5339.0,762.714,449202.94,21270.916,3038.702,3309.459,89.552,12.793,3.54,4068.0,68.905,38507.0,652.247,1892.0,32.047,18411.0,311.853,224876148.0,1481349.0,3795.998,25.006,1100837.0,18.583,0.2684,272.2,,144608839.0,50936719.0,47947097.0,47765365.0,724887.0,665295.0,244.94,86.28,81.21,80.91,11269.0,477692.0,0.809,93.52,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,260325.92,17.32,85.62,4421.9897
