,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,454.0,577.0,454.0,813.0,813.0,813.0,813.0,820,325.0,334.0,327.0,230.0,184.0,938.0,325.0,334.0,327.0,230.0,938.0,938.0,938.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,JAM,North America,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,96949.57945041815,93.89545997610514,94.17060515278611,2191.0286738351256,2.1571087216248506,2.163591372079089,34147.383868578254,33.07167204301076,33.16859316956261,771.719700716846,0.7597694145758661,0.7620395446375076,0.9596068548387098,,,,,,,,,403296.157712305,1216.0088105726873,142.62369844020796,0.4300308370044053,1380.2521525215252,0.4880971709717097,0.11024772447724475,26.194710947109474,,1207316.5815384616,701716.0419161677,584988.1620795107,35612.94782608696,3076.233695652174,1637.1716417910447,42.70095384615385,24.818532934131735,20.69012232415902,1.259913043478261,579.0597014925373,924.2963752665245,0.0326545842217484,54.177536630036634,266.8789999999999,31.399999999999995,9.683999999999997,6.39,8193.570999999996,,206.53699999999998,11.28,5.299999999999998,28.600000000000005,66.42499999999998,1.6999999999999995,74.47000000000001,0.734,2827382.0,2178.505388888889,2.8200000000000003,7.883333333333334,770.2641398333334
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,148.0,34.0,0.052,0.012,33.0,0.012,0.0063,2.4,,0.0,0.0,6999.0,3830.0,0.0,0.0,0.0,0.0,0.25,0.14,0.0,0.0,0.0,0.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,-1145.8,-10.12,-17.6,-406.24896
25%,,,,2021-02-26 06:00:00,20924.0,0.0,3.286,391.0,0.0,0.0,7369.808,0.0,1.157,137.717,0.0,0.0,0.82,,,,,,,,,72898.0,551.25,25.78,0.195,647.0,0.229,0.0323,6.7,,1086928.0,659496.0,518484.5,29826.25,795.75,116.0,38.44,23.325,18.335,1.0525,41.0,94.25,0.003,11.11,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,-655.6500625000001,-4.625,-6.239999999999999,-232.312015
50%,,,,2022-04-20 12:00:00,129203.0,0.0,20.571,2926.0,0.0,1.0,45507.617,0.0,7.246,1030.59,0.0,0.352,0.965,,,,,,,,,365701.0,870.5,129.328,0.308,1358.0,0.48,0.088,11.4,,1366010.0,771658.0,663195.0,39961.5,2012.0,493.0,48.31,27.295,23.46,1.415,174.5,255.5,0.009,71.3,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,868.7998749999999,2.84,1.8050000000000002,307.246015
75%,,,,2023-06-12 18:00:00,155125.0,0.0,97.286,3545.0,0.0,3.0,54637.812,0.0,34.266,1248.613,0.0,1.057,1.18,,,,,,,,,683089.0,1801.75,241.571,0.637,2001.0,0.708,0.1501,30.9,,1459394.0,816315.25,715080.0,44174.0,4230.75,2219.25,51.62,28.8725,25.29,1.56,785.25,797.0,0.028,75.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,5370.549675,10.31,11.309999999999999,1899.47795
max,,,,2024-08-04 00:00:00,157181.0,9194.0,1313.429,3611.0,112.0,16.0,55361.973,3238.292,462.613,1271.859,39.448,5.635,2.04,,,,,,,,,1124299.0,5408.0,397.603,1.913,3791.0,1.341,0.4219,159.3,,1528445.0,859773.0,760132.0,46065.0,29318.0,13772.0,54.06,30.41,26.88,1.63,4871.0,13076.0,0.462,89.81,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,5881.9995,12.84,159.73,2080.3696
