,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,184.0,272.0,184.0,832.0,832.0,827.0,827.0,839,291.0,239.0,259.0,89.0,209.0,759.0,291.0,239.0,259.0,89.0,759.0,759.0,759.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KEN,Africa,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,237047.88291517325,205.55913978494624,206.17495506291192,4079.4348864994026,3.398446833930705,3.408614140203715,4369.348462365591,3.7889390681003587,3.800286998202517,75.1936164874552,0.06264336917562724,0.06284062312762133,1.0176318407960199,,,,,,,,,939148.3602941176,3317.5652173913045,17.717897058823528,0.06255978260869566,4467.717548076923,0.08417307692307692,0.07473845223700121,47.875090689238206,,7099862.718213058,3576355.979079498,3179154.7683397685,420056.0224719101,53176.004784688994,31257.52700922266,13.141271477663231,6.61979079497908,5.884208494208494,0.777752808988764,578.5204216073781,19082.602108036892,0.035386034255599476,51.73836996336996,87.324,20.0,2.686,1.5280000000000002,2993.0279999999993,36.800000000000004,218.63700000000006,2.9200000000000004,1.1999999999999995,20.400000000000002,24.651000000000007,1.4,66.70000000000002,0.6010000000000001,54027484.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,,,,,,,,,31.0,21.0,0.001,0.0,7.0,0.0,0.0022,2.8,,0.0,0.0,203.0,5280.0,0.0,667.0,0.0,0.0,0.0,0.01,12.0,0.0,0.0,0.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
25%,,,,2021-02-26 06:00:00,103993.0,0.0,1.0,1817.0,0.0,0.0,1916.835,0.0,0.018,33.492,0.0,0.0,0.78,,,,,,,,,100122.0,1587.75,1.8885,0.02975,3420.75,0.065,0.02375,9.1,,1655214.5,1021051.0,741262.5,131383.0,12394.0,9202.5,3.065,1.89,1.375,0.24,170.5,2078.0,0.004,38.37,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
50%,,,,2022-04-20 12:00:00,323609.0,0.0,23.571,5649.0,0.0,0.0,5964.873,0.0,0.434,104.124,0.0,0.0,0.96,,,,,,,,,414942.0,3092.5,7.827999999999999,0.058,5164.5,0.097,0.0551,18.1,,4482179.0,2262968.0,1583965.0,244391.0,38374.0,19297.0,8.3,4.19,2.93,0.45,357.0,9389.0,0.017,51.85,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
75%,,,,2023-06-12 18:00:00,343312.0,0.0,239.429,5688.0,0.0,4.143,6328.046,0.0,4.413,104.843,0.0,0.076,1.23,,,,,,,,,1013039.5,4421.0,19.112,0.083,5431.0,0.102,0.10994999999999999,42.1,,11532539.0,4620988.5,5200310.0,285700.0,73793.0,37853.0,21.345,8.55,9.625,0.53,701.0,27740.5,0.0515,65.74,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
max,,,,2024-08-04 00:00:00,344106.0,19023.0,2717.571,5689.0,227.0,32.429,6342.68,350.638,50.091,104.862,4.184,0.598,2.87,,,,,,,,,3728165.0,19403.0,70.335,0.366,8890.0,0.168,0.3541,458.6,,23750431.0,14494372.0,11090440.0,2000636.0,282646.0,245551.0,43.96,26.83,20.53,3.7,4545.0,128174.0,0.237,88.89,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
