,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,103.0,188.0,103.0,385.0,385.0,385.0,385.0,392,465.0,446.0,454.0,299.0,390.0,686.0,465.0,446.0,454.0,299.0,686.0,686.0,686.0,1092.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_KOS,Europe,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,174810.66427718042,163.84647550776583,164.3373391252247,2359.9318996415773,1.918757467144564,1.9245470341521866,101755.3869665472,95.37324910394264,95.65897603355302,1373.6906326164874,1.116884109916368,1.1201845416417016,1.026782522343595,,,,,,,,,1251402.2127659575,4095.6796116504856,702.2005957446809,2.2982233009708737,3216.981818181818,1.8051558441558444,0.048324415584415574,78.24961038961038,,1569750.4731182796,804446.0067264574,715197.524229075,98944.0602006689,3413.9564102564104,2678.99416909621,88.08382795698925,45.13995515695068,40.13178414096917,5.552040133779264,1503.2682215743441,1322.4533527696792,0.07416472303206997,48.577490842490846,168.15499999999997,,,,9795.834000000003,0.5999999999999998,,,,,,,,,1782115.0,4145.2499938958335,20.859375,10.061458333333334,2493.955129366667
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,,,,,,,,,599859.0,868.0,336.599,0.487,167.0,0.094,0.0017,3.8,,0.0,0.0,17811.0,7886.0,1.0,3.0,0.0,0.0,1.0,0.44,2.0,1.0,0.0,0.0,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,-62.399998,-1.87,-19.71,-37.349567
25%,,,,2021-02-26 06:00:00,65939.0,0.0,0.571,1561.0,0.0,0.0,38382.375,0.0,0.333,908.641,0.0,0.0,0.76,,,,,,,,,807197.75,1859.5,452.94350000000003,1.0434999999999999,1096.0,0.615,0.0077,19.2,,1591886.0,842359.5,758471.0,100380.0,42.0,36.0,89.33,47.2675,42.5625,5.635,20.0,10.0,0.001,26.85,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,3583.000075,12.7175,-13.647499999999999,2153.20565
50%,,,,2022-04-20 12:00:00,227795.0,0.0,10.714,3128.0,0.0,0.143,132596.98,0.0,6.237,1820.775,0.0,0.083,0.94,,,,,,,,,1287185.0,2577.0,722.2795,1.446,1941.0,1.089,0.021,47.6,,1821176.0,901936.5,820532.0,103145.0,228.5,281.5,102.19,50.61,46.04,5.79,158.0,91.0,0.005,51.85,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,4824.8,21.83,-3.08,2901.5971
75%,,,,2023-06-12 18:00:00,273906.0,0.0,122.714,3208.0,0.0,1.286,159437.7,0.0,71.431,1867.342,0.0,0.748,1.26,,,,,,,,,1645337.25,5401.0,923.2495,3.0305,3682.0,2.066,0.052,130.2,,1834274.0,905669.75,824229.25,105177.5,3909.5,2688.75,102.93,50.82,46.25,5.9,1508.5,1079.5,0.06075,65.8125,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,5707.7747,32.4475,16.6525,3438.99655
max,,,,2024-08-04 00:00:00,274279.0,23466.0,3352.286,3212.0,183.0,26.143,159654.83,13659.304,1951.329,1869.67,106.522,15.217,2.33,,,,,,,,,1846365.0,14284.0,1036.053,8.015,13088.0,7.344,0.2611,595.3,,1837446.0,906858.0,825082.0,105506.0,22668.0,19287.0,103.1,50.89,46.3,5.92,10823.0,14906.0,0.836,92.59,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,6481.0,36.91,103.03,3904.873
