,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,656.0,663.0,656.0,735.0,735.0,735.0,732.0,742,142.0,134.0,133.0,106.0,8.0,1063.0,142.0,134.0,133.0,106.0,1063.0,1014.0,1014.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KWT,Asia,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,450006.0567502987,398.6200716845878,399.81423966446965,1932.569295101553,1.5352449223416966,1.539869982025165,98050.91688351255,86.8545256869773,87.11470641102457,421.08361170848264,0.3345131421744325,0.33551348112642293,0.9219335937500001,,,,,,,,,2716838.9698340874,11248.548780487805,639.2390980392157,2.646672256097561,10816.903401360545,2.5450802721088435,0.09237102040816325,101.46338797814207,,7357928.211267605,3326463.529850746,3176861.6917293235,1400338.6981132075,4651.75,7772.432737535278,172.36197183098594,77.92350746268657,74.41864661654135,32.80207547169811,1820.7215428033867,3300.7702169625245,0.07721794871794871,48.72013736263736,232.128,33.699999999999996,2.3449999999999998,1.1140000000000003,65530.537,,132.23500000000007,15.840000000000002,2.7,37.0,,2.0,75.49000000000001,0.806,4268886.0,5049.566684925,32.85208333333333,22.140416666666663,1178.7418949604169
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,,,,,,,,,227000.0,1990.0,53.41,0.468,2663.0,0.627,0.0,3.8,,2500.0,137000.0,38000.0,108687.0,39.0,0.0,0.06,3.21,0.89,2.55,0.0,0.0,0.0,0.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,-122.8,-17.01,-17.01,-28.162226
25%,,,,2021-02-26 06:00:00,183322.0,0.0,4.571,1039.0,0.0,0.0,39943.664,0.0,0.996,226.386,0.0,0.0,0.69,,,,,,,,,878965.5,4805.25,206.81,1.13075,5620.0,1.3225,0.0225,6.7,,7573706.25,3417564.75,3293862.0,1427878.25,94.75,24.0,177.41500000000002,80.055,77.16,33.449999999999996,6.0,9.0,0.0,11.11,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,3229.250375,25.41,-4.84,755.0245875
50%,,,,2022-04-20 12:00:00,630946.0,0.0,50.429,2555.0,0.0,0.0,137475.56,0.0,10.988,556.704,0.0,0.0,0.98,,,,,,,,,2142326.0,9439.0,504.063,2.2205,8830.0,2.078,0.0976,10.2,,8235156.0,3453309.0,3342147.0,1457472.0,689.0,2083.0,192.91,80.89500000000001,78.29,34.14,488.0,204.0,0.005,60.28,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,6526.1494,36.99,1.4649999999999999,1522.1742
75%,,,,2023-06-12 18:00:00,665955.0,0.0,540.857,2570.0,0.0,2.0,145103.6,0.0,117.846,559.972,0.0,0.436,1.06,,,,,,,,,4115106.5,14820.75,968.2345,3.48725,14386.0,3.385,0.1492,42.1,,8260033.75,3457004.5,3345706.0,1457523.75,6511.75,11408.5,193.49,80.98,78.37,34.14,2672.5,8291.0,0.194,74.07,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,6779.2243,43.6325,44.18,1572.866825
max,,,,2024-08-04 00:00:00,667290.0,40955.0,5850.714,2570.0,111.0,15.857,145394.48,8923.603,1274.8,559.972,24.186,3.455,1.93,,,,,,,,,8208880.0,37917.0,1931.449,8.921,35352.0,8.318,0.2627,924.9,,8261221.0,3457498.0,3346176.0,1457547.0,19007.0,40778.0,193.52,80.99,78.39,34.14,9552.0,12714.0,0.298,100.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,6950.4004,52.26,143.01,1628.1532
