,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,736.0,722.0,674.0,0.0,702.0,894.0,736.0,722.0,674.0,0.0,894.0,894.0,894.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,KGZ,Asia,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,55533.632616487455,53.13799283154122,53.29719053325344,641.6804062126643,0.6117084826762246,0.6135422408627921,7983.797190561528,7.639391875746715,7.662286399041342,92.25100418160095,0.08794205495818398,0.08820671060515278,0.8819563058589872,,,,,,,,,,,,,,,,,,2843820.335597826,1427708.389196676,1173026.8086053412,,4156.183760683761,4086.175615212528,42.8890625,21.532174515235457,17.69093471810089,,616.261744966443,1939.0805369127518,0.02924720357941835,46.18608974358975,32.33299999999999,26.300000000000008,4.488999999999998,2.8820000000000006,3393.474000000001,1.4,436.362,7.11,3.600000000000001,50.5,89.22000000000001,4.5,71.45000000000002,0.6969999999999998,6630621.0,10507.341322666665,15.094791666666666,11.193958333333333,1585.2664519041666
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,0.0,0.0,858.0,,12.0,72.0,0.0,0.0,0.01,,11.0,6.0,0.0,0.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,-1214.0,-11.19,-64.86,-188.95294
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,,,,,,,,,,,,,,,,,,2479334.25,1320639.5,1143444.0,,812.25,973.75,37.3925,19.919999999999998,17.244999999999997,,147.0,312.5,0.005,33.33,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,7523.0747,12.035,-0.36,1162.06595
50%,,,,2022-04-20 12:00:00,82870.0,0.0,0.286,1024.0,0.0,0.0,11913.812,0.0,0.041,147.215,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,3177434.0,1580696.0,1335301.0,,1951.5,1774.0,47.92,23.84,20.134999999999998,,268.0,673.5,0.01,47.22,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,13885.85,17.564999999999998,6.995,2061.6366
75%,,,,2023-06-12 18:00:00,88789.0,0.0,5.143,1024.0,0.0,0.0,12764.758,0.0,0.739,147.215,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,3428297.75,1652485.5,1373715.0,,5432.25,7609.75,51.7025,24.92,20.72,,1147.5,3325.25,0.05,57.41,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,14219.8,20.384999999999998,25.985,2132.862825
max,,,,2024-08-04 00:00:00,88953.0,10124.0,1446.286,1024.0,83.0,11.857,12788.335,1455.478,207.925,147.215,11.933,1.705,1.92,,,,,,,,,,,,,,,,,,3661335.0,1736541.0,1406016.0,,34472.0,22900.0,55.22,26.19,21.2,,3454.0,15714.0,0.237,92.13,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,16651.1,23.03,76.77,2511.243
std,,,,,39909.301498730754,549.7698997689525,202.16353962241536,467.94101146149325,5.119469915316543,1.852666263938215,5737.563954821135,79.03771470990803,29.06405355070112,67.27339298516453,0.7359996139855025,0.2663381958774185,0.3589030200633511,,,,,,,,,,,,,,,,,,838040.1189307945,355270.8210234462,332360.431044689,,5260.990198679911,4429.350325267938,12.63895920826542,5.357918490351691,5.012437237474895,,668.011368055831,2515.253772258236,0.037941936662231585,22.36148720032846,7.107550599052128e-15,7.107550599052128e-15,1.776887649763032e-15,4.44221912440758e-16,9.097664766786724e-13,0.0,0.0,0.0,8.88443824881516e-16,0.0,1.4215101198104257e-14,0.0,1.4215101198104257e-14,1.110554781101895e-16,0.0,5547.853584395888,7.628004671919301,25.542418098059926,830.1488180038746
