,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1018.0,151.0,151.0,0.0,0.0,199.0,199.0,199.0,199.0,845.0,845.0,845.0,845.0,838.0,838.0,838.0,838.0,845,574.0,574.0,560.0,554.0,567.0,584.0,574.0,574.0,560.0,554.0,584.0,584.0,584.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LVA,Europe,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,543921.2538829151,584.0890083632019,585.8388286399042,4535.137992831541,4.465352449223417,4.478766926303176,289157.0887729988,310.5109008363202,311.44113121629715,2410.9506577060934,2.373851851851852,2.380998202516477,1.052229862475442,38.78145695364238,20.95549668874172,,,47.78894472361809,25.803964824120605,260.10552763819095,140.54761306532666,2792620.3846153845,8595.936094674556,1490.2567467455622,4.5871455621301775,8660.687350835322,4.621689737470167,0.07966443914081146,122.3799522673031,,1609120.7909407665,828586.1445993031,776146.9803571429,180606.57761732853,5107.061728395061,4957.940068493151,86.94909407665506,44.77252613240418,41.93898214285715,9.758736462093863,2679.029109589041,2305.0102739726026,0.124597602739726,35.618663003663,31.211999999999996,43.899999999999984,19.753999999999998,14.135999999999997,25063.846,0.7,350.06000000000006,4.909999999999999,25.6,51.0,,5.57,75.28999999999999,0.8659999999999999,1850654.0,5466.466994499521,6.497846889952153,9.448421052631579,2965.247681266985
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,,,0.0,0.0,0.0,0.0,116.0,10.0,0.062,0.005,29.0,0.015,0.0002,2.1,,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,-812.8,-9.58,-17.35,-428.45312
25%,,,,2021-02-26 06:00:00,81517.0,0.0,3.429,1680.0,0.0,0.143,43335.72,0.0,1.823,893.114,0.0,0.076,0.87,3.0,1.621,,,2.0,1.066,38.5,20.7915,310832.0,2181.0,165.873,1.164,2239.25,1.19475,0.010025,11.1,,385943.75,311858.5,129083.75,9.0,437.5,572.0,20.8525,16.85,6.9725,0.0,309.0,72.0,0.004,11.11,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,729.40015,2.55,-0.65,389.23636
50%,,,,2022-04-20 12:00:00,813173.0,0.0,37.714,6317.0,0.0,1.429,432295.56,0.0,20.05,3358.216,0.0,0.759,1.02,7.0,3.782,,,11.0,5.864,154.0,83.166,2172755.0,5632.0,1159.471,3.005,7468.0,3.985,0.0419,23.9,,1611347.0,898359.5,868040.5,483.0,2852.0,4533.0,87.065,48.545,46.905,0.025,2449.0,1315.5,0.0715,41.67,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,7315.601,9.38,6.77,3952.9814
75%,,,,2023-06-12 18:00:00,975632.0,0.0,601.857,7363.0,0.0,6.0,518661.3,0.0,319.957,3914.286,0.0,3.19,1.22,80.0,43.228,,,87.5,47.181,384.0,207.38299999999998,5216557.0,12317.0,2783.769,6.573,12081.75,6.44725,0.090375,99.775,,2837494.0,1340691.0,1297067.0,490834.75,8054.5,8164.75,153.3225,72.4475,70.085,26.5225,4412.0,3608.0,0.19525,53.7,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,9890.2,11.92,14.35,5397.675
max,,,,2024-08-04 00:00:00,977765.0,68517.0,9788.143,7475.0,265.0,37.857,519795.25,36424.715,5203.531,3973.828,140.878,20.125,1.81,238.0,128.603,,,416.0,224.976,1191.0,643.474,7263566.0,54975.0,3876.137,29.337,35981.0,19.201,0.4668,5097.9,,2895716.0,1346184.0,1305976.0,529562.0,24836.0,17033.0,156.47,72.74,70.57,28.61,9204.0,11089.0,0.599,67.59,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,10519.402,12.99,79.74,5747.6353
