,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,23.0,1.0,99.0,99.0,99.0,71.0,106,29.0,26.0,24.0,12.0,0.0,740.0,29.0,26.0,24.0,12.0,740.0,740.0,740.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LSO,Africa,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,22854.914575866187,21.587813620071685,21.652484721390056,491.51075268817203,0.42353643966547194,0.424840023966447,9997.285541218638,9.443024492234171,9.471297783103656,214.9985304659498,0.1852610513739546,0.1857621330137807,0.562657111356119,,,,,,,,,440259.347826087,553.0,192.9730869565217,0.242,486.42424242424244,0.2132020202020202,0.032076767676767676,71.15492957746478,,726219.0,628321.7307692308,664564.1666666666,123392.33333333333,,1808.4675675675676,31.493793103448276,27.249615384615385,28.820833333333336,5.350833333333333,784.472972972973,1371.1486486486488,0.05961216216216216,44.05645604395604,73.562,22.199999999999992,4.506,2.647,2851.1529999999993,59.600000000000016,405.1260000000001,3.9399999999999995,0.4,53.899999999999984,2.1170000000000004,,54.330000000000005,0.527,2305826.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,408742.0,553.0,179.159,0.242,161.0,0.071,0.0,5.5,,0.0,0.0,122.0,26447.0,,266.0,0.0,0.0,0.01,1.15,115.0,0.0,0.0,0.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
25%,,,,2021-02-26 06:00:00,10461.0,0.0,0.0,285.0,0.0,0.0,4575.891,0.0,0.0,124.666,0.0,0.0,0.16,,,,,,,,,429296.5,553.0,188.16750000000002,0.242,300.0,0.1315,0.0,13.8,,201795.0,268051.25,514091.75,105398.5,,666.0,8.75,11.627500000000001,22.295,4.5725,289.0,121.0,0.005,32.24,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
50%,,,,2022-04-20 12:00:00,33010.0,0.0,0.857,697.0,0.0,0.0,14439.362,0.0,0.375,304.884,0.0,0.0,0.51,,,,,,,,,445669.0,553.0,195.344,0.242,375.0,0.164,0.0149,44.0,,857925.0,782175.0,801631.5,136272.5,,902.5,37.21,33.92,34.765,5.91,391.5,565.0,0.025,45.055,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
75%,,,,2023-06-12 18:00:00,34490.0,0.0,12.571,706.0,0.0,0.143,15086.75,0.0,5.499,308.821,0.0,0.062,0.96,,,,,,,,,452421.5,553.0,198.304,0.242,607.5,0.266,0.06105,75.7,,1246552.0,996740.25,925547.0,168646.25,,1796.0,54.06,43.2275,40.1375,7.3100000000000005,779.0,1399.0,0.061,60.19,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
max,,,,2024-08-04 00:00:00,36138.0,2654.0,379.143,709.0,55.0,7.857,15807.624,1160.923,165.846,310.134,24.058,3.437,1.5,,,,,,,,,459732.0,553.0,201.508,0.242,1216.0,0.533,0.181,481.9,,1339097.0,1014073.0,938088.0,177816.0,,17261.0,58.07,43.98,40.68,7.71,7486.0,8891.0,0.386,90.74,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
std,,,,,14488.03425360538,162.4679573749209,58.13640176139135,285.95600327288344,3.6247070631501295,1.3144218984139817,6337.4122258293155,71.06736598227134,25.430242780443585,125.08400776365038,1.585529189975927,0.5749655138062028,0.4355685639587479,,,,,,,,,16329.68503178044,,7.157558286766408,,276.271756587496,0.12109415966957787,0.041951200581888025,91.53053321742641,,509901.4182076207,401023.363762817,326456.15333012404,58048.97998216418,,2376.766359524942,22.11369394964401,17.39117902403842,14.157709197117482,2.5162542808827184,1030.7228807560343,2114.009559179899,0.09164421770866067,23.455081035544314,0.0,7.107550599052128e-15,0.0,0.0,4.548832383393362e-13,1.4215101198104257e-14,1.1372080958483405e-13,4.44221912440758e-16,0.0,1.4215101198104257e-14,4.44221912440758e-16,,7.107550599052128e-15,0.0,0.0,,,,
