,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,570.0,163.0,163.0,163.0,160.0,835,112.0,112.0,95.0,48.0,24.0,639.0,112.0,112.0,95.0,48.0,639.0,639.0,639.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LBY,Africa,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,338871.6935483871,303.02807646356035,303.9359023367286,4450.05376344086,3.8452807646356035,3.8568154583582985,46910.42260991637,41.94854181600956,42.0742360695027,616.0264545997611,0.5323034647550777,0.5339334931096464,0.8410537407797682,,,,,,,,,,3474.6263157894737,,0.5158824561403509,1276.644171779141,0.1895276073619632,0.08664171779141103,83.78375,,2463476.0803571427,1705690.7589285714,861684.3578947368,103980.47916666667,8360.625,5870.998435054773,36.16142857142857,25.038214285714282,12.648736842105265,1.5262499999999999,861.7683881064163,3645.037558685446,0.05353677621283255,56.98384615384615,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.508999999995,,341.862,10.430000000000001,,,,3.7000000000000006,72.90999999999998,0.7240000000000001,6812344.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,,1.0,,0.0,26.0,0.004,0.0,4.0,,750.0,750.0,52050.0,50165.0,602.0,130.0,0.01,0.01,0.76,0.74,19.0,0.0,0.0,0.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
25%,,,,2021-02-26 06:00:00,129325.0,0.0,0.0,2088.0,0.0,0.0,17902.617,0.0,0.0,289.044,0.0,0.0,0.52,,,,,,,,,,1352.75,,0.20125,136.0,0.02,0.022199999999999998,6.6,,1658914.75,1421786.25,612876.5,79192.75,3153.25,461.0,24.355,20.8675,8.995000000000001,1.165,68.0,135.5,0.002,42.28,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
50%,,,,2022-04-20 12:00:00,501862.0,0.0,4.0,6429.0,0.0,0.0,69473.37,0.0,0.554,889.974,0.0,0.0,0.97,,,,,,,,,,3499.5,,0.52,838.0,0.124,0.0608,14.850000000000001,,2892634.5,1970911.0,1072266.0,86803.5,6109.0,4127.0,42.465,28.935000000000002,15.74,1.275,606.0,2104.0,0.031,50.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
75%,,,,2023-06-12 18:00:00,507264.0,0.0,512.0,6437.0,0.0,8.429,70221.17,0.0,70.877,891.082,0.0,1.167,1.09,,,,,,,,,,4793.25,,0.71175,2457.5,0.365,0.1496,42.075,,3388080.5,2190316.75,1120665.0,120570.0,8136.0,9889.0,49.73,32.152499999999996,16.450000000000003,1.77,1451.5,5468.0,0.08,79.63,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
max,,,,2024-08-04 00:00:00,507269.0,26333.0,3761.857,6437.0,180.0,25.714,70221.87,3645.309,520.758,891.082,24.918,3.56,1.61,,,,,,,,,,16344.0,,2.427,3741.0,0.555,0.2478,965.0,,3739158.0,2316327.0,1236102.0,186729.0,48231.0,23862.0,54.89,34.0,18.15,2.74,3503.0,19296.0,0.283,100.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
