,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,864.0,0.0,0.0,928.0,928.0,0.0,0.0,37.0,37.0,598.0,598.0,598.0,598.0,591.0,591.0,592.0,543.0,598,420.0,420.0,0.0,196.0,285.0,898.0,420.0,420.0,0.0,196.0,898.0,898.0,898.0,1092.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,46.0,46.0,46.0,46.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LIE,Europe,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,11942.472520908004,12.89605734767025,12.93471240263631,61.70669056152927,0.05316606929510155,0.053345116836429,303601.59913918754,327.84362903225804,328.8258052726183,1568.7074874551972,1.3515878136200719,1.3556470940683043,1.061226851851852,,,2.466594827586207,62.67550538793103,,,1.027027027027027,26.12756756756757,36126.17725752509,151.55852842809364,925.3868428093647,3.8822324414715714,151.87478849407785,3.8903350253807107,0.06526520270270271,65.39318600368324,,44095.5,19507.883333333335,,15525.066326530612,208.74736842105264,82.77394209354121,112.04561904761906,49.568690476190476,,39.44887755102041,2103.2204899777284,29.7739420935412,0.0756826280623608,35.553360805860805,237.01200000000006,,,,,,,7.769999999999998,,,,2.3969999999999994,82.49,0.9190000000000003,39355.0,41.29565008586957,6.807391304347826,3.536304347826086,1050.4776950434782
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,,,0.0,0.0,,,0.0,0.0,15.0,1.0,0.384,0.026,22.0,0.564,0.0,2.9,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,-6.6,-25.78,-51.75,-170.17766
25%,,,,2021-02-26 06:00:00,2622.0,0.0,0.143,55.0,0.0,0.0,66656.5,0.0,3.632,1398.21,0.0,0.0,0.88,,,0.0,0.0,,,0.0,0.0,9649.25,83.0,247.1695,2.126,115.5,2.9585,0.01,6.9,,20055.25,12399.75,,13503.5,10.0,1.0,50.962500000000006,31.5075,,34.3125,25.0,0.0,0.0,11.11,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,32.94999725,4.6225,-14.254999999999999,831.77656
50%,,,,2022-04-20 12:00:00,16967.0,0.0,1.714,82.0,0.0,0.0,431335.16,0.0,43.581,2084.604,0.0,0.0,1.06,,,1.0,25.41,,,1.0,25.44,31128.0,137.5,797.3565000000001,3.5220000000000002,145.0,3.714,0.027,31.2,,48253.5,24840.0,,18323.5,138.0,22.0,122.61,63.120000000000005,,46.56,559.0,0.0,0.0,44.44,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,51.0999985,7.65,-1.135,1312.84925
75%,,,,2023-06-12 18:00:00,21471.0,0.0,13.0,87.0,0.0,0.0,545835.9,0.0,330.486,2211.714,0.0,0.0,1.22,,,3.0,76.229,,,2.0,50.88,59327.25,210.0,1519.692,5.379,198.0,5.072,0.1315,83.3,,70234.0,26709.0,,19797.5,299.0,107.25,178.4625,67.87,,50.302499999999995,2725.0,27.0,0.069,50.93,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,58.59999875,10.2275,17.7575,1486.72035
max,,,,2024-08-04 00:00:00,21588.0,1149.0,164.143,89.0,13.0,1.857,548810.25,29209.885,4172.841,2262.558,330.486,47.212,1.73,,,22.0,559.014,,,4.0,101.76,90632.0,859.0,2321.576,22.004,397.0,10.169,0.346,1000.0,,74337.0,26771.0,,22087.0,973.0,726.0,188.89,68.02,,56.12,18447.0,399.0,1.014,67.59,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,66.399994,18.72,132.14,1687.206
std,,,,,9308.988029439026,79.3095575947111,27.526388722037456,33.0337452222794,0.5000108903970811,0.1827119957444234,236653.14223199215,2016.2079879018881,699.7764680894863,839.7838710407868,12.7112768556746,4.644841266821491,0.253630646172561,,,3.7865036600095294,96.21404257254238,,,1.092562901481509,27.79480021368959,27369.112181068598,101.85717207618954,701.0710200985218,2.6091093793190514,70.28485303884811,1.800369798014189,0.07650718382132608,111.16977313559133,,25875.834811570894,9468.96037158124,,6868.635533569541,222.45531130998478,129.3276374332398,65.74960143329649,24.060078948271244,,17.452947521699187,3286.1769454444066,61.578394535979506,0.15645883608856048,19.724883393823838,5.686040479241703e-14,,,,,,,1.776887649763032e-15,,,,4.44221912440758e-16,0.0,2.22110956220379e-16,0.0,24.122786131903414,7.204194899819783,31.698900672048943,613.2268042845496
