,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1684,1684,1684,1684,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1013.0,589.0,589.0,614.0,614.0,63.0,63.0,0.0,0.0,822.0,822.0,822.0,822.0,815.0,815.0,816.0,816.0,822,1086.0,1086.0,1068.0,1033.0,956.0,1326.0,1086.0,1086.0,1068.0,1033.0,1326.0,1326.0,1326.0,1092.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,1684.0,0.0,1684.0,1684.0,1684.0,1684.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,LTU,Europe,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1684,1684,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-25 12:00:00.000000256,773621.8733572282,818.0137395459976,820.0499053325345,6331.041816009558,5.860215053763441,5.877793888556022,274633.7567198327,290.3927580645161,291.11558717795083,2247.5034629629627,2.0803679808841107,2.0866123427201915,1.0343336623889436,49.75551782682513,18.092550084889645,642.7605863192182,233.72617426710096,15.301587301587302,5.543666666666666,,,3667728.3284671535,10606.065693430657,1316.1778588807786,3.8060316301703163,10693.788957055214,3.837530061349694,0.10890931372549019,51.56985294117647,,3670868.667587477,1664255.285451197,1583394.116104869,672919.3010648596,4798.831589958159,3476.3748114630466,133.48333333333332,60.51750460405156,57.57638576779026,24.468789932236206,1264.0882352941176,1480.4562594268477,0.05380090497737558,36.15135531135532,45.135,43.5,19.002000000000002,13.778,29524.26500000001,0.7,342.98899999999986,3.6700000000000013,21.300000000000004,38.0,,6.560000000000001,75.93000000000004,0.8819999999999999,2750058.0,13834.475892770335,14.875311004784686,18.145933014354068,5042.328220153109
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,16.0,5.818,0.0,0.0,,,137.0,136.0,0.049,0.049,512.0,0.184,0.002,2.0,,2417.0,2417.0,1094.0,1.0,1.0,0.0,0.09,0.09,0.04,0.0,0.0,0.0,0.0,0.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,-568.4,-7.95,-28.88,-201.54106
25%,,,,2021-02-28 18:00:00,195471.0,0.0,31.714,3181.0,0.0,0.143,69391.695,0.0,11.258,1129.247,0.0,0.051,0.85,7.0,2.545,115.0,41.817,1.0,0.3565,,,783261.5,4392.25,281.07625,1.576,4996.0,1.7930000000000001,0.019,7.275,,3212410.75,1743803.75,1681902.5,107122.0,41.0,10.0,116.81,63.4125,61.162499999999994,3.9,4.0,1.0,0.0,11.11,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,6014.9,15.7,6.61,2158.4683
50%,,,,2022-04-25 12:00:00,1139638.0,0.0,243.857,9023.0,0.0,1.143,404568.53,0.0,86.569,3203.142,0.0,0.406,1.05,26.0,9.454,385.0,139.997,7.0,2.495,,,2978486.0,8505.5,1068.841,3.0525,9334.0,3.35,0.0685,14.6,,4488904.5,1952399.5,1876899.5,936955.0,546.0,211.5,163.23,70.995,68.25,34.07,77.0,16.0,0.001,35.125,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,16777.3,17.97,14.86,6100.708
75%,,,,2023-06-20 06:00:00,1320922.0,0.0,862.714,9687.0,0.0,8.571,468923.88,0.0,306.261,3438.86,0.0,3.043,1.2,92.0,33.454,1047.5,380.90125,20.5,7.305999999999999,,,6357056.5,15284.25,2281.2535000000003,5.485,15995.5,5.7405,0.13725,52.6,,4546019.0,1957161.0,1880552.0,944344.0,7308.25,5263.25,165.31,71.17,68.38,34.34,1914.25,1604.25,0.058499999999999996,54.17,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,23215.7,20.8,24.5,8540.358
max,,,,2024-08-14 00:00:00,1369355.0,88302.0,12614.571,9810.0,326.0,46.571,486117.47,31346.98,4478.14,3482.525,115.729,16.533,1.7,161.0,58.544,2571.0,934.889,129.0,47.042,,,8718186.0,35067.0,3128.553,12.584,29531.0,10.597,0.505,500.0,,4604865.0,1958300.0,1881106.0,948621.0,41195.0,27613.0,167.45,71.21,68.4,34.49,10041.0,16203.0,0.589,87.04,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,26043.703,22.37,86.61,9580.695
