,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,2724,0,2724,2724,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1050.0,1050.0,1006.0,710.0,1050.0,1050.0,1050.0,1050.0,1006.0,710.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_LIC,,Low-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,2724,,2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-05-27 02:51:16.651982336,1291193.622461171,1161.700716845878,1165.180965248652,30349.47192353644,26.003584229390682,26.081513481126425,1801.1650119474314,1.6205274790919952,1.6253882564409825,42.336327956989244,0.03627299880525687,0.03637986818454164,,,,,,,,,,,,,,,,,,,173252298.06190476,126500478.36190476,106642856.56361829,16408888.209859155,316919.7,314314.32380952383,23.488628571428574,17.14997142857143,14.45800198807157,2.2242394366197185,426.1304761904762,228037.37523809524,0.030921904761904765,,,,,,,,,,,,,,,,737604900.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,2652.0,763351.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,737604900.0,,,,
25%,,,,2021-07-01 18:00:00,515130.0,0.0,69.714,12938.0,0.0,0.429,718.586,0.0,0.097,18.048,0.0,0.001,,,,,,,,,,,,,,,,,,,38523161.5,25780207.5,19252914.5,7043847.0,70147.75,78229.0,5.2225,3.4925,2.6075,0.95,106.0,48280.5,0.007,,,,,,,,,,,,,,,,737604900.0,,,,
50%,,,,2022-06-07 00:00:00,1781042.0,0.0,318.571,42596.0,0.0,2.714,2484.484,0.0,0.444,59.42,0.0,0.004,,,,,,,,,,,,,,,,,,,195407564.0,126177667.0,122522898.0,12780369.0,250316.0,261418.5,26.490000000000002,17.11,16.61,1.73,354.0,177770.5,0.024,,,,,,,,,,,,,,,,737604900.0,,,,
75%,,,,2023-05-13 06:00:00,1924320.0,0.0,1580.429,43420.0,0.0,47.286,2684.352,0.0,2.205,60.569,0.0,0.066,,,,,,,,,,,,,,,,,,,291847773.0,213716958.0,183585149.0,29281109.0,432255.0,425756.5,39.57,28.97,24.89,3.97,577.25,319205.25,0.043,,,,,,,,,,,,,,,,737604900.0,,,,
max,,,,2024-08-04 00:00:00,1944334.0,102300.0,14614.286,43529.0,1842.0,263.143,2712.27,142.705,20.386,60.721,2.57,0.367,,,,,,,,,,,,,,,,,,,333448906.0,241619542.0,204944352.0,30288516.0,3388175.0,3330163.0,45.21,32.76,27.79,4.11,4515.0,1355938.0,0.184,,,,,,,,,,,,,,,,737604900.0,,,,
std,,,,,747720.0360133975,5563.965379816257,1808.5388509285162,16700.548596441502,119.53003703685302,38.25534491418115,1043.040427605101,7.761513240545657,2.5228399477422974,23.296599579079533,0.16675100399655451,0.05335318030505463,,,,,,,,,,,,,,,,,,,122178100.90812902,89326663.10416542,77094052.64295217,10366754.35093837,381617.6269012819,340560.519759742,16.56456987210355,12.110267122566968,10.452239069984739,1.405284976944404,461.6978583623279,215164.696923703,0.0291592320920293,,,,,,,,,,,,,,,,0.0,,,,
