,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,2983,0,2983,2983,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1309.0,1309.0,1293.0,1101.0,1305.0,1305.0,1309.0,1309.0,1293.0,1101.0,1305.0,1305.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983.0,0.0,0.0,0.0,0.0
unique,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,OWID_LMC,,Lower-middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,2983,,2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-07-13 02:17:05.812939776,60258700.73237754,54969.95878136201,55134.33103834632,827846.0722819594,709.7108721624851,711.8370335530257,18735.811219832736,17.091423536439667,17.14252546434991,257.3963195937873,0.22066845878136201,0.22132834032354703,,,,,,,,,,,,,,,,,,,3607898242.1871657,1754064744.8579068,1509405867.9048724,473598234.17711174,3796180.9057471263,3792247.688888889,105.12187165775401,51.10817417876242,43.97911832946636,13.799336966394186,1104.929501915709,1746096.6888888888,0.05087432950191571,,,,,,,,,,,,,,,,3432097300.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,5468.0,12457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,
25%,,,,2021-07-17 00:00:00,18812650.0,0.0,819.0,342946.0,0.0,8.714,5849.284,0.0,0.255,106.63,0.0,0.003,,,,,,,,,,,,,,,,,,,2471740912.0,1499534719.0,1071770032.0,232785247.0,135390.0,135732.0,72.02,43.69,31.23,6.78,40.0,50969.0,0.001,,,,,,,,,,,,,,,,3432097300.0,,,,
50%,,,,2022-07-25 00:00:00,85909928.0,0.0,13297.0,1153725.0,0.0,127.0,26711.365,0.0,4.134,358.72,0.0,0.039,,,,,,,,,,,,,,,,,,,4662039088.0,2162107366.0,1948725627.0,631921646.0,1385832.0,1605715.0,135.84,63.0,56.78,18.41,468.0,634654.0,0.018,,,,,,,,,,,,,,,,3432097300.0,,,,
75%,,,,2023-08-01 12:00:00,91811106.0,0.0,80556.429,1185070.0,0.0,1274.571,28546.178,0.0,25.047,368.465,0.0,0.396,,,,,,,,,,,,,,,,,,,4941693241.0,2278886868.0,2050444957.0,676039806.0,5189294.0,5049249.0,143.98,66.4,59.74,19.7,1471.0,2403523.0,0.07,,,,,,,,,,,,,,,,3432097300.0,,,,
max,,,,2024-08-12 00:00:00,91954400.0,3156093.0,450870.429,1188026.0,37243.0,5320.429,28590.73,981.302,140.186,369.385,11.58,1.654,,,,,,,,,,,,,,,,,,,4954377376.0,2281867638.0,2053053994.0,681863964.0,24966004.0,17055076.0,144.35,66.49,59.82,19.87,4969.0,10376094.0,0.302,,,,,,,,,,,,,,,,3432097300.0,,,,
std,,,,,36193361.85243812,266902.8962674864,87171.37813258634,456191.0080350589,3266.9095266607565,1046.1549719241,11253.345781243135,82.98622775499206,27.103595814917657,141.84027183017224,1.0157620940928784,0.32526601368414626,,,,,,,,,,,,,,,,,,,1769713835.4673991,768757559.6466281,753508471.0677168,260303701.4749141,5011705.10968855,4815694.843218562,51.563203847958135,22.399524844381013,21.95478303908428,7.58451668119067,1403.1487157980941,2519392.0739903646,0.07340332834410557,,,,,,,,,,,,,,,,0.0,,,,
