,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,795,795,795,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,448.0,400.0,392.0,211.0,362.0,794.0,448.0,400.0,392.0,211.0,794.0,736.0,736.0,692.0,795.0,795.0,795.0,795.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,795.0,26.0,26.0,26.0,26.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MAC,Asia,Macao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,795,795,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-03-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857793.4174107143,438873.105,390679.9846938776,244897.55924170616,2538.207182320442,2271.777078085642,123.39136160714284,63.130750000000006,56.19869897959183,35.227867298578204,3267.9080604534006,871.1847826086956,0.12532065217391306,35.93757225433526,20546.766,39.19999999999999,9.798,4.990999999999999,104861.85100000002,,,,,,,,84.24000000000001,,695180.0,172.46539412307692,2.175,23.074999999999996,245.14772476153848
min,,,,2021-02-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,41117.0,17559.0,69132.0,57.0,71.0,0.0,5.91,2.53,9.94,102.0,8.0,0.001,20.37,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,-55.899998,-1.54,-9.32,-81.41377
25%,,,,2021-08-25 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254389.25,267462.25,179494.5,180731.0,1270.5,1123.0,36.5925,38.47,25.82,25.994999999999997,1615.0,187.25,0.027,23.15,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,-36.2,-1.0950000000000002,0.33,-52.722335
50%,,,,2022-03-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000912.5,509313.5,477050.0,265807.0,1997.5,2053.5,143.97500000000002,73.265,68.625,38.24,2953.5,405.5,0.058499999999999996,32.41,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,-5.9499979,-0.125,3.395,-8.6019916
75%,,,,2022-09-26 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408854.5,610693.0,579549.5,286627.0,3411.75,3300.75,202.66000000000003,87.845,83.365,41.230000000000004,4747.75,1140.5,0.164,39.81,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,74.0750015,1.2175,8.9575,106.5551405
max,,,,2023-04-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802985.0,679703.0,642266.0,481016.0,7758.0,6788.0,259.36,97.77,92.39,69.19,9764.0,5740.0,0.826,78.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,1262.6001,17.63,265.97,1793.0713
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568349.6912166608,203024.61193313604,213197.02542834263,99738.13091581874,1760.467400053711,1649.4829498802194,81.755547704535,29.204643963075892,30.66765769057511,14.346890942487848,2372.7341782883454,1057.6492988123805,0.15213032510911617,13.728770150411073,0.0,1.4219800800265085e-14,0.0,8.887375500165678e-16,2.9122152038942894e-11,,,,,,,,1.4219800800265085e-14,,0.0,423.16735693332805,5.94709424845445,70.86414163736127,601.7545989543173
