,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,208.0,311.0,208.0,809.0,809.0,807.0,807.0,816,282.0,279.0,221.0,20.0,199.0,921.0,282.0,279.0,221.0,20.0,921.0,921.0,921.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MWI,Africa,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,59782.43070489845,53.35086670651524,53.510773980815344,1853.7903225806451,1.6045400238948626,1.6093750748951468,2906.471490442055,2.5937842199641366,2.60158273381295,90.12679928315411,0.07801075268817205,0.07827920910724985,0.9584453781512605,,,,,,,,,141852.3729903537,400.1442307692308,7.13191961414791,0.020105769230769233,727.1495673671199,0.03654264524103833,0.09755291201982652,51.62912019826518,,1483590.6063829786,1085113.0394265233,750230.5972850679,571290.85,6316.547738693467,9236.57654723127,7.270780141843972,5.317777777777778,3.676425339366516,2.7984999999999998,452.6069489685125,5905.819761129207,0.028913137893593916,39.12467948717949,197.51900000000003,18.099999999999998,2.9789999999999996,1.7830000000000001,1095.0419999999995,71.39999999999999,227.34900000000002,3.9399999999999995,4.3999999999999995,24.699999999999992,8.704000000000004,1.3000000000000005,64.25999999999999,0.48299999999999993,20405318.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,18.0,1.0,0.001,0.0,12.0,0.001,0.0016,1.3,,5417.0,5417.0,19.0,740.0,7.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
25%,,,,2021-02-26 06:00:00,30528.0,0.0,0.714,1004.0,0.0,0.0,1484.195,0.0,0.035,48.812,0.0,0.0,0.68,,,,,,,,,12348.0,112.25,0.6205,0.00575,341.0,0.017,0.01675,8.0,,426627.0,384538.5,452402.0,37788.0,1560.5,2337.0,2.09,1.8849999999999998,2.22,0.19,115.0,772.0,0.004,28.7,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
50%,,,,2022-04-20 12:00:00,85727.0,0.0,4.429,2631.0,0.0,0.0,4167.831,0.0,0.215,127.913,0.0,0.0,0.85,,,,,,,,,48816.0,294.5,2.454,0.015,492.0,0.025,0.0423,23.6,,1143852.5,883863.0,574069.0,659378.5,4388.0,5273.0,5.605,4.33,2.81,3.23,258.0,2814.0,0.014,38.79,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
75%,,,,2023-06-12 18:00:00,88662.0,0.0,20.857,2686.0,0.0,0.571,4310.524,0.0,1.014,130.587,0.0,0.028,1.19,,,,,,,,,199257.0,495.25,10.018,0.025,1138.0,0.057,0.12495,59.8,,1812372.0,1494459.0,759160.0,1027390.0,9277.5,12481.0,8.885,7.32,3.72,5.0325,612.0,8210.0,0.04,50.93,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
max,,,,2024-08-04 00:00:00,89168.0,6656.0,950.857,2686.0,193.0,27.571,4335.124,323.598,46.228,130.587,9.383,1.34,2.53,,,,,,,,,589303.0,3225.0,29.628,0.162,2935.0,0.148,0.7944,612.8,,8503954.0,5433538.0,4288014.0,1232829.0,55787.0,74568.0,41.68,26.63,21.01,6.04,3654.0,64387.0,0.316,64.81,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
