,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,1.0,96.0,96.0,96.0,96.0,103,81.0,81.0,77.0,0.0,0.0,775.0,81.0,81.0,77.0,0.0,775.0,775.0,775.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MLI,Africa,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,21613.4743130227,19.81242532855436,19.871834032354705,541.3381123058542,0.44384707287933095,0.44518993409227087,936.7578739545999,0.8586995221027479,0.8612684242061115,23.46244623655914,0.019235364396654717,0.019255242660275614,0.9930150753768845,,,,,,,,,680773.2,605.0,31.078519999999997,0.028,651.4166666666666,0.029697916666666668,0.012076041666666667,140.57083333333333,,1907077.3086419753,1406435.851851852,1106976.2987012987,,,7625.8748387096775,8.440617283950617,6.2253086419753085,4.8990909090909085,,337.5690322580645,5608.772903225807,0.02481677419354839,37.67977106227105,15.196,16.400000000000002,2.5189999999999992,1.4860000000000004,2014.3060000000003,,268.02399999999994,2.4200000000000004,1.6,23.0,52.23199999999998,0.1,59.30999999999998,0.4340000000000001,22593598.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,642113.0,605.0,29.314,0.028,384.0,0.018,0.0025,29.7,,0.0,0.0,13064.0,,,0.0,0.0,0.0,0.06,,0.0,156.0,0.001,0.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
25%,,,,2021-02-26 06:00:00,8292.0,0.0,0.0,347.0,0.0,0.0,359.387,0.0,0.0,15.039,0.0,0.0,0.785,,,,,,,,,666071.0,605.0,30.407,0.028,544.0,0.025,0.004975,55.275,,370529.0,284052.0,231811.0,,,2205.0,1.64,1.26,1.03,,98.0,1935.0,0.009,24.5,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
50%,,,,2022-04-20 12:00:00,30651.0,0.0,3.429,729.0,0.0,0.0,1328.457,0.0,0.149,31.596,0.0,0.0,1.04,,,,,,,,,682967.0,605.0,31.179,0.028,621.0,0.0285,0.0085,117.7,,1587503.0,1077715.0,881628.0,,,5570.0,7.03,4.77,3.9,,247.0,4413.0,0.02,40.74,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
75%,,,,2023-06-12 18:00:00,33150.0,0.0,15.0,743.0,0.0,0.429,1436.767,0.0,0.65,32.203,0.0,0.019,1.19,,,,,,,,,698038.0,605.0,31.867,0.028,750.25,0.034,0.018125000000000002,200.25,,3126178.0,2283516.0,1841252.0,,,10792.0,13.84,10.11,8.15,,477.5,8030.5,0.035500000000000004,47.22,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
max,,,,2024-08-04 00:00:00,33166.0,3819.0,545.571,743.0,33.0,4.714,1437.46,165.521,23.646,32.203,1.43,0.204,2.02,,,,,,,,,708110.0,605.0,32.326,0.028,993.0,0.045,0.0337,405.9,,5922585.0,4354292.0,3633589.0,,,58966.0,26.21,19.27,16.08,,2610.0,30919.0,0.137,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
