,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1015.0,195.0,195.0,0.0,0.0,87.0,87.0,192.0,192.0,703.0,702.0,703.0,702.0,696.0,696.0,695.0,695.0,703,769.0,768.0,762.0,23.0,700.0,1157.0,769.0,768.0,762.0,23.0,1157.0,1157.0,1157.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MLT,Europe,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,70292.33273596177,73.35483870967742,73.53348891551826,564.9581839904421,0.5507765830346476,0.5519616536848412,133080.52041995223,138.878591995221,139.21687657279807,1069.6035597371565,1.0427383512544806,1.0448100659077293,0.9960295566502463,2.7435897435897436,5.144574358974359,,,3.0689655172413794,5.890574712643677,25.130208333333332,47.27740104166667,1041775.8762446657,2616.863247863248,1977.750051209104,4.967951566951567,2628.228448275862,4.989544540229885,0.048224604316546765,91.38115107913669,,985118.1716514955,397884.0690104167,379694.9002624672,488844.0869565217,1920.5142857142857,1210.7424373379429,184.72361508452533,74.60897135416667,71.19822834645667,91.66521739130435,2270.3656006914434,407.07087294727745,0.07634312878133105,40.04717948717949,1454.037,42.399999999999984,19.425999999999995,11.324000000000002,36513.32299999999,0.2,168.711,8.829999999999998,20.900000000000002,30.199999999999992,,4.484999999999999,82.52999999999999,0.8949999999999997,533293.0,431.52351148803825,3.773971291866029,4.924784688995215,810.0266794736843
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,1.0,1.919,0.0,0.0,113820.0,650.0,216.081,1.234,971.0,1.843,0.0006,4.0,,11705.0,11705.0,1198.0,470445.0,2.0,0.0,2.19,2.19,0.22,88.22,0.0,0.0,0.0,0.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,-107.799995,-27.87,-27.87,-209.17253
25%,,,,2021-02-26 06:00:00,21279.0,0.0,6.571,325.0,0.0,0.0,40286.336,0.0,12.441,615.304,0.0,0.0,0.73,0.0,0.0,,,1.0,1.919,7.0,13.436,548590.0,1839.0,1041.4654999999998,3.491,1858.75,3.5285,0.01635,15.850000000000001,,751546.0,398004.5,385636.75,489361.5,352.25,22.0,140.93,74.6275,72.31,91.765,41.0,0.0,0.0,13.89,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,253.29999,4.57,-6.25,480.87234
50%,,,,2022-04-20 12:00:00,88946.0,0.0,19.571,696.0,0.0,0.143,168396.45,0.0,37.053,1317.698,0.0,0.27,0.95,1.0,1.875,,,2.0,3.839,16.5,31.6715,1001347.0,2472.5,1900.998,4.694,2498.0,4.7425,0.036,27.8,,1233343.0,468181.5,460995.5,492142.0,1061.0,401.0,231.27,87.78999999999999,86.445,92.28,752.0,12.0,0.002,43.52,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,508.7,5.71,3.74,953.88464
75%,,,,2023-06-12 18:00:00,118847.0,0.0,79.857,860.0,0.0,0.714,225006.34,0.0,151.189,1628.19,0.0,1.352,1.18,3.0,5.625,,,4.0,7.678,33.5,62.38375,1528768.0,3182.75,2902.276,6.04225,3170.25,6.0184999999999995,0.06315000000000001,61.150000000000006,,1334062.0,477653.75,470565.75,492595.0,2944.0,1800.0,250.16,89.57,88.24,92.37,3375.0,281.0,0.053,52.78,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,689.4001,6.49,14.06,1292.7229
max,,,,2024-08-04 00:00:00,122796.0,8118.0,1159.714,922.0,26.0,3.714,232482.77,15369.353,2195.622,1745.571,49.224,7.032,3.62,27.0,50.629,,,14.0,26.873,127.0,238.017,1950858.0,8190.0,3703.589,15.548,7156.0,13.585,0.2502,1677.0,,1408793.0,478953.0,471565.0,492656.0,17371.0,8191.0,264.17,89.81,88.43,92.38,15359.0,4398.0,0.825,87.04,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,766.60016,7.13,84.21,1432.6993
