,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,379.0,379.0,206.0,9.0,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MHL,Oceania,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6786.44623655914,9.735364396654719,9.764538645895746,7.265232974910394,0.01015531660692951,0.010187537447573397,169263.38934408603,242.8135,243.54090473337328,181.2051612903226,0.2532873357228196,0.2540425404433793,0.3777397260273973,,,,,,,,,312.3636363636364,144.72727272727272,7.428318181818182,3.441954545454546,8.068601583113457,0.1918364116094987,0.0013349514563106798,33.67777777777778,,,,,,,,,,,,,,,,295.15000000000003,,,,3819.202,,557.7929999999999,30.52999999999999,,,82.502,2.7,73.70000000000003,0.7040000000000001,41593.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,0.024,0.024,0.0,0.0,0.0,30.3,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
25%,,,,2021-02-26 06:00:00,4.0,0.0,0.0,0.0,0.0,0.0,99.766,0.0,0.0,0.0,0.0,0.0,0.0625,,,,,,,,,9.75,1.0,0.2315,0.024,0.0,0.0,0.0,30.3,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
50%,,,,2022-04-20 12:00:00,7.0,0.0,0.0,0.0,0.0,0.0,174.59,0.0,0.0,0.0,0.0,0.0,0.21,,,,,,,,,56.5,2.0,1.3435000000000001,0.048,13.0,0.309,0.0,30.3,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
75%,,,,2023-06-12 18:00:00,16098.0,0.0,0.0,17.0,0.0,0.0,401506.47,0.0,0.0,424.004,0.0,0.0,0.33,,,,,,,,,79.25,11.0,1.8845,0.262,13.0,0.309,0.0,30.3,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
max,,,,2024-08-04 00:00:00,16297.0,9086.0,1298.0,17.0,9.0,1.286,406469.78,226617.45,32373.921,424.004,224.472,32.067,2.39,,,,,,,,,3184.0,2698.0,75.719,64.162,14.0,0.333,0.033,45.5,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
std,,,,,7860.8798856873145,252.96300754015076,95.32605138517962,8.382953006623683,0.25738043042147996,0.09697968927750522,196061.25572290402,6309.24848654866,2377.5640801501104,209.08267767384243,6.419415745480601,2.4184886423006895,0.5610688943472649,,,,,,,,,868.7297538828662,576.2309541790622,20.659379360489172,13.703485147520382,6.1747515338566625,0.14674941620824172,0.006333761010191134,6.702569988030296,,,,,,,,,,,,,,,,5.686040479241703e-14,,,,0.0,,1.1372080958483405e-13,1.0661325898578192e-14,,,0.0,0.0,2.8430202396208514e-14,1.110554781101895e-16,0.0,,,,
