,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MTQ,North America,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,123196.97550776583,137.6069295101553,138.0191467944877,656.8195937873357,0.6594982078853047,0.6614937088076692,352534.26834946225,393.7690621266428,394.9487321749551,1879.5219253285543,1.887190561529271,1.8928687837028162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543000000000003,,,,,,,,,82.53999999999999,,367512.0,685.5612704330143,5.493875598086125,8.988612440191387,1866.3314985933016
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543,,,,,,,,,82.54,,367512.0,-107.199974,-23.77,-29.44,-289.41757
25%,,,,2021-02-26 06:00:00,6593.0,0.0,0.0,45.0,0.0,0.0,18866.197,0.0,0.0,128.77,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543,,,,,,,,,82.54,,367512.0,-49.099968,-1.37,-7.58,-133.13477
50%,,,,2022-04-20 12:00:00,149259.0,0.0,12.429,918.0,0.0,0.0,427112.03,0.0,35.565,2626.902,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543,,,,,,,,,82.54,,367512.0,948.1,9.62,4.17,2570.7769
75%,,,,2023-06-12 18:00:00,229975.0,0.0,90.714,1102.0,0.0,0.571,658084.9,0.0,259.583,3153.428,0.0,1.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543,,,,,,,,,82.54,,367512.0,1279.7,12.85,16.99,3482.063
max,,,,2024-08-04 00:00:00,230354.0,13686.0,1955.143,1104.0,133.0,19.0,659169.44,39163.168,5594.738,3159.151,380.586,54.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.543,,,,,,,,,82.54,,367512.0,1387.2999,13.97,199.18,3780.3044
std,,,,,103181.71028139695,900.3121997391647,315.9047326564362,477.12379804353526,5.143831662413345,1.848149132331613,295259.59327199816,2576.288082779324,903.9770737005606,1365.313441259354,14.719330735532068,5.288603327083361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.553775299526064e-15,,,,,,,,,1.4215101198104257e-14,,0.0,627.2274690129204,8.162295692096617,32.32227589045206,1707.418121849606
