,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,79.0,167.0,79.0,806.0,806.0,805.0,785.0,813,83.0,93.0,87.0,35.0,5.0,968.0,83.0,93.0,87.0,35.0,968.0,968.0,968.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MRT,Africa,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,41716.93727598566,38.252241482367005,38.36691187050359,729.6117084826762,0.5955794504181601,0.5974032354703416,8556.18835483871,7.845574417214584,7.869099520383694,149.64420310633216,0.12215471923536438,0.12253565008987419,0.9596450939457202,,,,,,,,,267483.39520958083,572.2151898734177,57.95988622754491,0.12401265822784811,1235.606699751861,0.2677754342431762,0.054112422360248456,134.06025477707004,,1678791.253012048,1105647.322580645,800337.0804597702,235212.17142857143,4931.8,4211.334710743801,35.44626506024096,23.345268817204303,16.898850574712643,4.967142857142857,889.1363636363636,2173.9638429752067,0.045928719008264465,36.39782967032966,4.2890000000000015,20.300000000000008,3.1379999999999995,1.7920000000000005,3597.6330000000007,6.0,232.3470000000001,2.4200000000000004,,,15.949999999999998,,64.91999999999999,0.5460000000000003,4736146.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,63.0,1.0,0.014,0.0,20.0,0.004,0.0,1.7,,0.0,0.0,6273.0,29136.0,2532.0,0.0,0.0,0.0,0.13,0.62,0.0,0.0,0.0,0.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
25%,,,,2021-02-26 06:00:00,17083.0,0.0,0.143,434.0,0.0,0.0,3503.742,0.0,0.029,89.014,0.0,0.0,0.67,,,,,,,,,12602.0,127.0,2.731,0.0275,543.25,0.118,0.0161,13.1,,190013.0,200929.0,21545.0,44646.0,2591.0,2.0,4.01,4.24,0.45,0.945,0.0,25.0,0.001,21.3,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
50%,,,,2022-04-20 12:00:00,58681.0,0.0,3.571,982.0,0.0,0.0,12035.536,0.0,0.733,201.409,0.0,0.0,0.905,,,,,,,,,68872.0,340.0,14.924,0.074,1275.0,0.2765,0.0309,31.0,,1705013.0,1110533.0,723706.0,294569.0,3777.0,689.5,36.0,23.45,15.28,6.22,145.5,228.0,0.005,37.04,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
75%,,,,2023-06-12 18:00:00,63700.0,0.0,36.429,997.0,0.0,0.429,13064.938,0.0,7.472,204.486,0.0,0.088,1.2,,,,,,,,,508742.5,740.5,110.237,0.1605,1786.0,0.387,0.0749,57.1,,2953208.5,1927038.0,1334870.5,382966.0,5374.0,3541.25,62.355,40.69,28.185000000000002,8.09,747.75,1963.0,0.041,48.15,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
max,,,,2024-08-04 00:00:00,63872.0,6288.0,898.286,997.0,149.0,21.286,13100.216,1289.676,184.239,204.486,30.56,4.366,2.86,,,,,,,,,998154.0,4097.0,216.286,0.888,5366.0,1.163,0.5763,3398.6,,4075874.0,2103754.0,1540597.0,383937.0,10385.0,71816.0,86.06,44.42,32.53,8.11,15163.0,37869.0,0.8,77.78,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
