,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,99.0,99.0,88.0,74.0,106,70.0,68.0,63.0,40.0,1.0,916.0,70.0,68.0,63.0,40.0,916.0,916.0,916.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MUS,Africa,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,161323.798088411,196.03763440860214,196.62492510485316,604.7401433691756,0.6409796893667862,0.6429346914319952,126416.03281541217,153.61837455197133,154.07859796285197,473.88445818399043,0.5022891278375149,0.5038196524865188,0.5482755203171457,,,,,,,,,974974.3333333334,,750.6066666666667,,8987.363636363636,6.918919191919192,0.0526,36.61486486486487,,1933863.1142857142,865932.2058823529,855301.0476190476,615128.825,35153.0,2856.0502183406115,148.8187142857143,66.6375,65.82,47.3365,2197.947598253275,1226.825327510917,0.09430240174672488,34.43179487179488,622.9619999999998,37.399999999999984,10.944999999999999,5.8839999999999995,20292.744999999995,0.5,224.64400000000003,22.020000000000007,3.2,40.699999999999996,,3.399999999999999,74.99000000000001,0.8040000000000002,1299478.0,397.4278644444444,0.08444444444444422,5.385000000000001,305.7335917222222
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,359627.0,,276.867,,12.0,0.009,0.0,3.4,,0.0,0.0,8464.0,412802.0,35153.0,9.0,0.0,0.0,0.65,31.77,7.0,0.0,0.0,0.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,-742.99994,-4.15,-8.79,-572.01276
25%,,,,2021-02-26 06:00:00,603.0,0.0,2.571,10.0,0.0,0.0,472.521,0.0,2.015,7.836,0.0,0.0,0.25,,,,,,,,,821070.5,,632.12,,11119.0,8.56,0.0121,12.7,,1571584.0,809963.75,785508.5,626136.0,35153.0,28.0,120.94,62.332499999999996,60.445,48.185,22.0,0.0,0.0,16.67,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,-396.349985,-3.69,-4.655,-305.3245675
50%,,,,2022-04-20 12:00:00,220114.0,0.0,20.429,990.0,0.0,0.0,172485.02,0.0,16.008,775.781,0.0,0.0,0.45,,,,,,,,,1282514.0,,987.373,,11119.0,8.56,0.0272,27.1,,2451095.0,977014.5,945621.0,637902.5,35153.0,1584.5,188.625,75.185,72.77,49.09,1219.5,253.0,0.019,30.83,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,-150.3,-2.8600000000000003,-1.0050000000000001,-115.808695
75%,,,,2023-06-12 18:00:00,307485.0,0.0,198.143,1052.0,0.0,0.143,240950.4,0.0,155.268,824.365,0.0,0.112,0.78,,,,,,,,,1282648.0,,987.4765,,11119.0,8.56,0.0789,68.3,,2611062.5,1123773.0,1088142.0,639949.75,35153.0,3305.0,200.935,86.48,83.74,49.25,2543.0,1595.5,0.123,49.07,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,1606.875125,5.415,8.825,1236.5543
max,,,,2024-08-04 00:00:00,328167.0,19687.0,2812.429,1073.0,126.0,18.0,257157.16,15427.063,2203.866,840.821,98.736,14.105,1.56,,,,,,,,,1282782.0,,987.58,,11119.0,8.56,0.2934,83.8,,2616012.0,1123773.0,1088142.0,654507.0,35153.0,20570.0,201.31,86.48,83.74,50.37,15829.0,19835.0,1.526,97.22,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,1957.4003,6.24,89.84,1506.2974
