,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,494.0,447.0,447.0,447.0,447.0,540,295.0,136.0,264.0,15.0,209.0,1023.0,295.0,136.0,264.0,15.0,1023.0,1023.0,1023.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MDA,Europe,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,396240.1863799283,380.8363201911589,381.59563571000604,8317.456391875747,7.314814814814815,7.335730976632715,130342.72413440859,125.27564097968936,125.52543858597963,2736.017099761051,2.406204301075269,2.413114439784302,0.976256157635468,,,,,,,,,,5182.868421052632,,1.692917004048583,5009.140939597315,1.6361700223713644,0.16428165548098433,19.184116331096195,,1274656.7457627119,401661.5882352941,700928.9772727273,373201.4,6394.712918660287,2239.355816226784,38.94457627118644,12.271985294117647,21.415681818181817,11.402,684.1906158357772,1082.4672531769306,0.03306353861192571,41.31335164835164,123.65499999999999,37.600000000000016,10.864000000000003,6.954999999999999,5189.972000000002,0.2,408.502,5.719999999999999,5.9,44.600000000000016,86.97900000000003,5.799999999999998,71.89999999999999,0.75,3272993.0,9661.255151444444,13.152499999999998,17.568055555555556,3031.7743620555557
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,,,,,,,,,,620.0,,0.203,1971.0,0.644,0.0091,2.2,,3849.0,3849.0,7997.0,82869.0,59.0,17.0,0.12,0.12,0.24,2.53,5.0,3.0,0.0,0.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,-1475.6,-11.32,-21.81,-478.33798
25%,,,,2021-02-26 06:00:00,176245.0,0.0,35.857,3947.0,0.0,0.286,57975.58,0.0,11.795,1298.361,0.0,0.094,0.85,,,,,,,,,,3153.5,,1.03025,3359.0,1.0975000000000001,0.050949999999999995,3.8499999999999996,,567180.0,127566.5,286061.75,385770.0,2195.0,75.0,17.33,3.8975,8.7425,11.785,23.0,13.5,0.0,11.11,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,2456.475,8.515,3.54,796.3033875
50%,,,,2022-04-20 12:00:00,516431.0,0.0,119.714,11481.0,0.0,2.0,169879.34,0.0,39.38,3776.661,0.0,0.658,1.02,,,,,,,,,,4845.5,,1.5825,4808.0,1.57,0.1347,7.4,,1520548.0,379427.5,908259.0,397541.0,4785.0,583.0,46.46,11.594999999999999,27.75,12.15,178.0,102.0,0.003,45.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,10394.35,18.21,13.545,3395.1721
75%,,,,2023-06-12 18:00:00,620685.0,0.0,506.714,12124.0,0.0,10.857,204173.58,0.0,166.683,3988.175,0.0,3.571,1.12,,,,,,,,,,6442.5,,2.1045,5822.5,1.9015,0.2607,19.65,,1924452.5,503908.5,1016992.25,402657.5,8416.0,3869.0,58.795,15.395,31.072499999999998,12.3,1182.0,1452.0,0.0445,57.41,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,17362.22425,19.55,29.61,5304.69345
max,,,,2024-08-04 00:00:00,637520.0,31246.0,4463.714,12245.0,479.0,68.429,209711.42,10278.333,1468.333,4027.978,157.566,22.509,1.65,,,,,,,,,,19808.0,,6.47,12754.0,4.166,0.447,109.7,,2293086.0,1109524.0,1078961.0,406022.0,45233.0,16176.0,70.06,33.9,32.97,12.41,4942.0,11739.0,0.359,87.04,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,18179.2,22.66,64.34,5554.304
