,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,24.0,24.0,1.0,0.0,356.0,26.0,24.0,24.0,1.0,356.0,292.0,292.0,1092.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,1674.0,1674.0,0.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MCO,Europe,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,9290.18100358423,10.263440860215054,10.294181545835828,42.52927120669056,0.04002389486260454,0.04017974835230676,238521.68220250896,263.5097389486261,264.2991677651288,1091.9220238948626,1.0276027479091996,1.0307112043139606,1.0062054054054055,,,,,,,,,,,,,,,,,,33357.846153846156,19238.583333333332,16357.5,10598.0,,182.7865168539326,91.41423076923078,52.72125,44.82666666666666,29.04,5009.157303370786,70.58904109589041,0.19339383561643833,36.9354761904762,19347.5,,,,,,,5.459999999999999,,,,13.800000000000002,86.75,,36491.0,109.6444464988889,11.358055555555556,15.53111111111111,2996.355379722222
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,0.0,8449.0,7163.0,10598.0,,82.0,0.0,23.15,19.63,29.04,2247.0,23.0,0.063,0.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,-11.4,-12.21,-25.93,-308.5835
25%,,,,2021-02-26 06:00:00,1692.0,0.0,0.429,22.0,0.0,0.0,43441.42,0.0,11.003,564.841,0.0,0.0,0.87,,,,,,,,,,,,,,,,,,24568.5,13772.75,11956.0,10598.0,,158.0,67.33,37.74,32.7625,29.04,4330.0,23.0,0.063,18.69,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,24.9999995,6.369999999999999,2.39,676.718165
50%,,,,2022-04-20 12:00:00,11897.0,0.0,2.571,56.0,0.0,0.0,305450.72,0.0,66.02,1437.778,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,35287.0,20010.0,17230.5,10598.0,,162.5,96.69999999999999,54.84,47.22,29.04,4453.0,64.0,0.175,33.05,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,130.500005,15.17,17.395,3554.5993
75%,,,,2023-06-12 18:00:00,16814.0,0.0,11.714,67.0,0.0,0.0,431692.72,0.0,300.76,1720.198,0.0,0.0,1.15,,,,,,,,,,,,,,,,,,43746.5,24679.25,19944.5,10598.0,,202.25,119.8825,67.6275,54.6575,29.04,5542.75,93.0,0.255,50.93,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,170.825,16.1775,28.65,4681.2916000000005
max,,,,2024-08-04 00:00:00,17181.0,949.0,135.571,67.0,8.0,1.143,441115.3,24365.195,3480.742,1720.198,205.397,29.342,1.43,,,,,,,,,,,,,,,,,,65140.0,28875.0,25667.0,10598.0,,313.0,178.51,79.13,70.34,29.04,8577.0,219.0,0.6,76.85,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,217.79999,18.99,67.45,5968.5947
std,,,,,7305.882139176194,58.368344261452705,19.930415588340747,26.234961430536323,0.31148411593450664,0.11195915042641767,187575.6020246921,1498.5838811961637,511.70597381028307,673.5720240039082,7.997246677980381,2.872725542276409,0.19152492681057887,,,,,,,,,,,,,,,,,,15026.410330327886,6011.800670107206,5224.509280056004,,,54.78721386973575,41.17813693435651,16.475457191650648,14.317014707854689,,1501.4189543876146,48.3882027076503,0.13260736697598208,19.376211611147895,0.0,,,,,,,8.88443824881516e-16,,,,1.776887649763032e-15,0.0,,0.0,77.72051930595734,7.442858828412812,23.04383484675336,2129.5013343513633
