,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,698.0,750.0,698.0,850.0,850.0,828.0,828.0,857,288.0,271.0,271.0,51.0,149.0,836.0,288.0,271.0,271.0,51.0,836.0,814.0,814.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MAR,Africa,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,868960.9599761051,764.1069295101553,766.3960317555423,11828.44145758662,9.740143369175627,9.769340922708208,23278.398698327357,20.469490442054962,20.530769322947876,316.86950059737165,0.26092891278375147,0.26170521270221686,1.0310826771653543,,,,,,,,,5200850.776,15025.365329512893,140.27319333333332,0.4052478510028653,13784.37411764706,0.3717964705882353,0.07998707729468599,37.741062801932365,,28336336.173611112,15280362.339483395,13245279.937269373,6581908.62745098,183955.42953020133,66420.5466507177,75.64850694444445,40.7930258302583,35.36025830258303,17.572352941176472,1773.1937799043062,28143.78746928747,0.07507862407862408,53.992646520146515,80.08000000000003,29.600000000000005,6.769000000000001,4.209000000000001,7485.013000000001,1.0,419.1460000000001,7.14,0.8,47.100000000000016,,1.0999999999999999,76.68000000000004,0.686,37457976.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,,,,,,,,,9.0,1.0,0.0,0.0,0.0,0.0,0.0039,3.8,,0.0,2357283.0,4867.0,5239799.0,686.0,40.0,0.0,6.29,0.01,13.99,1.0,7.0,0.0,0.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
25%,,,,2021-02-26 06:00:00,480948.0,0.0,13.143,8548.0,0.0,0.0,12884.008,0.0,0.352,228.99,0.0,0.0,0.78,,,,,,,,,1918307.25,9019.75,51.739,0.243,7855.25,0.212,0.02135,8.0,,8934579.0,6105773.0,4475812.0,6302463.0,59919.0,1133.25,23.8525,16.305,11.95,16.825000000000003,30.0,167.5,0.0,27.31,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
50%,,,,2022-04-20 12:00:00,1164345.0,0.0,75.571,16062.0,0.0,0.429,31191.377,0.0,2.024,430.281,0.0,0.011,1.01,,,,,,,,,5262163.0,14237.5,141.927,0.384,12357.5,0.3335,0.0504,19.85,,23234906.0,15342370.0,11069848.0,6816077.0,129027.0,14646.0,62.03,40.96,29.55,18.2,391.0,1096.0,0.003,64.81,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
75%,,,,2023-06-12 18:00:00,1275003.0,0.0,537.0,16297.0,0.0,6.429,34155.766,0.0,14.386,436.577,0.0,0.172,1.21,,,,,,,,,8572483.75,21167.5,231.2105,0.571,20017.5,0.54,0.1245,46.825,,51722003.5,24787206.5,23218173.0,6880142.5,260065.0,99919.25,138.0825,66.175,61.985,18.37,2667.5,28860.5,0.077,71.3,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
max,,,,2024-08-04 00:00:00,1279115.0,64784.0,9254.857,16305.0,744.0,106.286,34265.92,1735.484,247.926,436.791,19.931,2.847,2.28,,,,,,,,,11738659.0,51434.0,316.606,1.387,41809.0,1.128,0.2653,253.6,,55389602.0,25020168.0,23521989.0,6925973.0,898916.0,401310.0,147.87,66.8,62.8,18.49,10714.0,294508.0,0.786,93.52,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
