,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,482.0,542.0,482.0,803.0,803.0,803.0,803.0,810,57.0,56.0,53.0,19.0,1.0,937.0,57.0,56.0,53.0,19.0,937.0,937.0,937.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,MMR,Asia,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,419278.8273596177,384.0412186379928,385.1783786698623,13081.757467144564,11.64516129032258,11.680064110245654,7799.551034050179,7.144050179211471,7.165189334931097,243.35077120669052,0.21662724014336918,0.2172768124625524,0.9773684210526316,,,,,,,,,2198966.3136531366,9660.70539419087,40.87443911439114,0.17956224066390042,10355.667496886676,0.19248443337484433,0.05652914072229142,184.54109589041096,,35483817.84210526,19620171.589285713,16346094.339622641,2842368.8421052634,3800.0,99715.2166488794,65.4940350877193,36.214107142857145,30.170000000000005,5.246315789473685,1840.6969050160085,44380.49413020277,0.08182710779082177,63.96792124542126,81.721,29.100000000000005,5.732000000000001,3.12,5591.596999999999,6.4,202.10399999999998,4.609999999999999,6.299999999999998,35.199999999999996,79.28700000000002,0.9000000000000002,67.13,0.5830000000000002,54179312.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,,,,,,,,,1183.0,63.0,0.022,0.001,62.0,0.001,0.0004,2.6,,0.0,0.0,40000.0,986406.0,3800.0,3800.0,0.0,0.0,0.07,1.82,70.0,2982.0,0.006,0.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
25%,,,,2021-02-26 06:00:00,141750.0,0.0,3.857,3196.0,0.0,0.0,2636.876,0.0,0.072,59.453,0.0,0.0,0.77,,,,,,,,,144332.25,1451.25,2.683,0.027,1449.0,0.027,0.00755,12.7,,15797703.0,12096501.0,8247188.0,1146511.0,3800.0,36236.0,29.16,22.325,15.22,2.12,669.0,17540.0,0.032,54.63,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
50%,,,,2022-04-20 12:00:00,612565.0,0.0,15.143,19434.0,0.0,0.0,11395.118,0.0,0.282,361.517,0.0,0.0,0.88,,,,,,,,,1931144.5,5804.0,35.896,0.108,9974.0,0.185,0.0231,43.3,,41602977.0,22599766.0,20616499.0,1369249.0,3800.0,78317.0,76.79,41.71,38.05,2.53,1446.0,17540.0,0.032,70.37,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
75%,,,,2023-06-12 18:00:00,639662.0,0.0,266.857,19494.0,0.0,1.571,11899.186,0.0,4.964,362.633,0.0,0.029,1.12,,,,,,,,,3127746.0,17007.25,58.139,0.316,18574.0,0.345,0.0788,132.45,,50579710.0,27601216.75,22238845.0,1831439.5,3800.0,133100.0,93.36,50.945,41.05,3.38,2457.0,49251.0,0.091,78.7,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
max,,,,2024-08-04 00:00:00,642885.0,40004.0,5714.857,19494.0,2620.0,374.286,11959.141,744.166,106.309,362.633,48.738,6.963,2.38,,,,,,,,,8332037.0,83383.0,154.876,1.55,34298.0,0.638,0.3826,2531.5,,93477104.0,41551927.0,35937796.0,15987381.0,3800.0,366806.0,172.53,76.69,66.33,29.51,6770.0,287725.0,0.531,90.74,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
