,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,565.0,647.0,565.0,806.0,806.0,806.0,767.0,813,185.0,189.0,178.0,33.0,109.0,969.0,185.0,189.0,178.0,33.0,969.0,969.0,969.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NAM,Africa,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,114963.79569892473,103.0663082437276,103.3750772917915,2734.6702508960575,2.4540023894862606,2.4613954463750747,39784.43035304659,35.66717861409796,35.773976033553026,946.3614127837515,0.8492281959378735,0.8517351707609346,0.8119652551574377,,,,,,,,,401652.28438948997,1499.2407079646018,158.74635085007728,0.5925380530973451,1307.3151364764267,0.516698511166253,0.11593300248138959,29.837548891786177,,351005.5945945946,231464.05820105821,179466.3988764045,200793.81818181818,2153.293577981651,1038.2218782249743,13.674054054054054,9.016666666666667,6.990955056179776,7.822121212121212,404.374613003096,650.0175438596491,0.02531372549019608,35.44659340659341,3.0780000000000003,22.0,3.5520000000000005,2.0850000000000004,9541.808000000003,13.400000000000004,243.81100000000004,3.9399999999999995,9.700000000000001,34.199999999999996,44.600000000000016,,63.71000000000001,0.646,2567024.0,260.83341025,-0.5216666666666665,7.73125,100.97951920833333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,,,,,306.0,15.0,0.121,0.006,9.0,0.004,0.0,1.5,,0.0,0.0,128.0,24989.0,7.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,-1414.5999,-8.2,-20.42,-568.31805
25%,,,,2021-02-26 06:00:00,37483.0,0.0,0.714,409.0,0.0,0.0,12971.387,0.0,0.247,141.539,0.0,0.0,0.66,,,,,,,,,112768.5,955.0,44.57,0.377,891.5,0.35224999999999995,0.0403,6.4,,76578.0,67864.0,14278.25,101806.0,564.0,98.0,2.98,2.64,0.5525,3.97,38.0,73.0,0.003,23.15,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,-1001.499925,-6.5675,-9.3225,-397.47643
50%,,,,2022-04-20 12:00:00,158086.0,0.0,8.857,4022.0,0.0,0.143,54707.324,0.0,3.065,1391.855,0.0,0.049,0.86,,,,,,,,,339579.0,1381.0,134.213,0.546,1303.0,0.515,0.09815,9.6,,169988.0,136194.0,45846.0,294173.0,1976.0,255.0,6.62,5.31,1.79,11.46,99.0,278.0,0.011,37.035,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,-323.39995,-1.71,2.93,-129.07848
75%,,,,2023-06-12 18:00:00,171310.0,0.0,97.429,4091.0,0.0,1.286,59283.63,0.0,33.716,1415.734,0.0,0.445,1.11,,,,,,,,,680440.0,1875.0,268.9325,0.741,1569.5,0.62075,0.152675,21.15,,661079.0,434330.0,393339.5,298376.0,3219.0,1443.0,25.75,16.92,15.3225,11.62,562.0,1243.0,0.048,50.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,1693.350225,5.637499999999999,12.315,669.2687000000001
max,,,,2024-08-04 00:00:00,172533.0,11967.0,1709.571,4108.0,513.0,73.286,59706.86,4141.306,591.615,1421.617,177.529,25.361,1.54,,,,,,,,,1056045.0,7602.0,417.384,3.005,4295.0,1.698,0.6535,937.1,,1005937.0,629767.0,550978.0,298560.0,9823.0,16348.0,39.19,24.53,21.46,11.63,6368.0,3006.0,0.117,87.04,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,3101.6,8.12,101.47,1225.8562
std,,,,,69629.00931891026,681.0584522969958,239.35694217067444,1774.0570589142897,21.618920868079726,7.859376137174679,24095.850860960953,235.6874341526087,82.83196703691432,613.9311288770409,7.481454557089569,2.7198288506054964,0.41423704472954415,,,,,,,,,318154.7336971972,939.3212307730823,125.74534874891644,0.37124224191778893,768.1284086130578,0.30358039801655906,0.1063700351382932,62.4616977004621,,367574.1987626784,214956.19168642643,214372.67661839488,107927.16945886893,1762.414690883948,1737.634512688482,14.318857143234812,8.37347744178517,8.351226215874116,4.204900978007507,676.9404882282994,710.4990117982397,0.027664919223290316,21.787605284232473,4.44221912440758e-16,0.0,4.44221912440758e-16,4.44221912440758e-16,1.819532953357345e-12,3.553775299526064e-15,2.8430202396208514e-14,4.44221912440758e-16,1.776887649763032e-15,7.107550599052128e-15,1.4215101198104257e-14,,7.107550599052128e-15,0.0,0.0,1597.675357234733,6.3243316654404484,25.42201824035699,633.423334031824
