,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,18.0,12.0,5.0,1.0,683.0,18.0,18.0,12.0,5.0,683.0,683.0,683.0,0.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NRU,Oceania,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2357.015531660693,3.2216248506571086,3.2312738166566812,0.45639187574671447,0.0005973715651135006,0.0005997603355302576,199392.22647431298,272.53403524492234,273.3504865188736,38.60847072879331,0.05053464755077658,0.050686039544637504,0.12112244897959185,,,,,,,,,,,,,,,,,,13727.666666666666,7361.333333333333,7253.583333333333,5510.2,168.0,47.23279648609078,108.16888888888889,58.00555555555556,57.155833333333334,43.416,3721.8653001464127,19.554904831625183,0.15405270863836018,,682.4499999999999,,,,12895.635000000002,,,24.069999999999997,43.0,36.899999999999984,,5.0,59.96000000000001,,12691.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1814.0,4927.0,168.0,2.0,0.0,0.0,14.29,38.82,158.0,0.0,0.0,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,7450.0,7450.0,7175.5,4927.0,168.0,2.0,58.705,58.705,56.5375,38.82,158.0,2.0,0.016,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
50%,,,,2022-04-20 12:00:00,3.0,0.0,0.0,0.0,0.0,0.0,253.786,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,14631.0,7531.0,7519.0,4927.0,168.0,12.0,115.285,59.345,59.25,38.82,946.0,10.0,0.079,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
75%,,,,2023-06-12 18:00:00,5393.0,0.0,0.0,1.0,0.0,0.0,456221.97,0.0,0.0,84.595,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,21438.0,9385.5,8585.0,5065.0,168.0,55.0,168.92249999999999,73.95249999999999,67.65,39.91,4334.0,13.0,0.102,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
max,,,,2024-08-04 00:00:00,5393.0,2055.0,293.571,1.0,1.0,0.143,456221.97,173843.16,24834.737,84.595,84.595,12.085,2.05,,,,,,,,,,,,,,,,,,32157.0,13106.0,11346.0,7705.0,168.0,560.0,253.38,103.27,89.4,60.71,44126.0,239.0,1.883,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
std,,,,,2567.708884255267,65.09728237685047,24.45879599448672,0.498243541829897,0.024441185836892212,0.009244307338462205,217215.8747906908,5506.9182999804725,2069.100535346068,42.148912421100135,2.0676021158718974,0.7812409383588514,0.35857948417027136,,,,,,,,,,,,,,,,,,9283.56270987789,3647.2783728983127,2546.7599543638808,1228.384793132836,,78.7738325465656,73.15042590756063,28.739289815250608,20.069197319788504,9.679154405215366,6206.982579194789,45.36445265422068,0.35739146190385235,,1.1372080958483405e-13,,,,1.819532953357345e-12,,,3.553775299526064e-15,0.0,1.4215101198104257e-14,,0.0,7.107550599052128e-15,,0.0,,,,
