,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105.0,102.0,100.0,47.0,0.0,826.0,105.0,102.0,100.0,47.0,826.0,826.0,826.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,45.0,45.0,45.0,45.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NCL,Oceania,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,41778.362007168456,47.88709677419355,48.03059856201318,190.44623655913978,0.1875746714456392,0.18814439784301976,145502.794692951,166.77787156511351,167.27754883163573,663.2732389486259,0.653274193548387,0.6552612342720192,,,,,,,,,,,,,,,,,,,321396.9809523809,142942.6568627451,134919.24,96751.74468085106,,580.8426150121065,110.84219047619048,49.297843137254915,46.53060000000001,33.36765957446809,2003.1549636803875,231.79661016949152,0.07990314769975787,,15.342000000000006,33.39999999999999,9.954000000000004,6.489,,,,23.360000000000003,,,,,77.54999999999997,,289959.0,161.84220628888892,2.413333333333333,8.259777777777776,554.2419555111112
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1118.0,1118.0,272.0,90752.0,,1.0,0.39,0.39,0.09,31.3,3.0,0.0,0.0,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,-152.2,-6.64,-24.74,-528.82294
25%,,,,2021-02-26 06:00:00,55.0,0.0,0.0,0.0,0.0,0.0,191.55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,139022.0,71468.75,66818.25,93080.0,,28.0,47.95,24.65,23.044999999999998,32.105000000000004,97.0,3.0,0.001,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,-66.4,-4.93,-3.45,-231.83386
50%,,,,2022-04-20 12:00:00,60521.0,0.0,0.0,312.0,0.0,0.0,210778.36,0.0,0.0,1086.612,0.0,0.0,,,,,,,,,,,,,,,,,,,366169.0,186660.5,178452.5,93895.0,,116.0,126.28,64.375,61.545,32.38,400.0,53.0,0.018,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,191.4,5.9,5.6,665.02435
75%,,,,2023-06-12 18:00:00,80064.0,0.0,9.714,314.0,0.0,0.0,278841.38,0.0,33.832,1093.578,0.0,0.0,,,,,,,,,,,,,,,,,,,469512.0,191592.25,184056.0,102668.0,,652.75,161.92,66.0775,63.4725,35.41,2251.25,270.0,0.093,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,390.09995,8.01,10.43,1339.4996
max,,,,2024-08-04 00:00:00,80163.0,9263.0,1323.286,314.0,67.0,9.571,279186.16,32260.535,4608.648,1093.578,233.343,33.335,,,,,,,,,,,,,,,,,,,480702.0,192375.0,184816.0,103511.0,,12978.0,165.78,66.35,63.74,35.7,44758.0,3736.0,1.288,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,520.0999,8.46,130.32,1775.0729
std,,,,,37052.79588561702,471.13886999953775,172.70139089409795,149.37927286461218,2.8238906441456417,1.054602370371126,129044.91976844378,1640.8498707402869,601.4724989495865,520.248005415455,9.834862483169161,3.673018902235077,,,,,,,,,,,,,,,,,,,169618.10689321495,67516.86398204674,65930.03492578748,4892.773031052535,,1252.3344569920762,58.496594197061405,23.284843905380228,22.738146865316153,1.6871125484555967,4319.012923449854,482.99499944774317,0.1665829641397797,,5.330662949289096e-15,7.107550599052128e-15,3.553775299526064e-15,0.0,,,,3.553775299526064e-15,,,,,2.8430202396208514e-14,,0.0,233.22213292307785,6.095024423845464,26.856760828927644,801.2557230873238
