,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,29.0,4.0,89.0,89.0,89.0,89.0,96,42.0,43.0,41.0,0.0,0.0,854.0,42.0,43.0,41.0,0.0,854.0,854.0,854.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NER,Africa,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6675.063321385902,5.685782556750299,5.702793888556021,233.49223416965353,0.1881720430107527,0.1887567405632115,263.7116702508961,0.22463739545997613,0.22530856800479326,9.22466129032258,0.0074456391875746715,0.007503295386458957,0.7922808764940238,,,,,,,,,237662.6551724138,428.25,9.411379310344827,0.017,336.7865168539326,0.013337078651685394,0.011380898876404496,173.46966292134832,,2454251.5476190476,2023081.3255813953,1646352.0731707318,,,8631.992974238876,9.363809523809524,7.7195348837209306,6.280975609756099,,329.3711943793911,7316.096018735363,0.027832552693208428,21.428800366300365,16.95499999999999,15.099999999999996,2.5530000000000004,1.378,926.0,44.5,238.33899999999994,2.4200000000000004,0.1,15.400000000000004,8.977999999999996,0.2999999999999999,62.419999999999995,0.394,26207982.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,222655.0,327.0,8.817,0.013,143.0,0.006,0.0009,25.2,,0.0,0.0,5948.0,,,0.0,0.0,0.0,0.02,,0.0,0.0,0.0,0.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
25%,,,,2021-02-26 06:00:00,4733.0,0.0,0.0,170.0,0.0,0.0,186.987,0.0,0.0,6.716,0.0,0.0,0.65,,,,,,,,,229113.0,362.25,9.073,0.014499999999999999,260.0,0.01,0.005,61.5,,495985.25,405011.0,127921.0,,,235.0,1.8900000000000001,1.545,0.49,,9.0,221.0,0.001,10.94,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
50%,,,,2022-04-20 12:00:00,8871.0,0.0,1.143,308.0,0.0,0.0,350.466,0.0,0.045,12.168,0.0,0.0,0.83,,,,,,,,,235633.0,403.5,9.331,0.016,335.0,0.013,0.0068,147.5,,1822407.5,1474560.0,1541167.0,,,1436.0,6.955,5.63,5.88,,54.5,1064.0,0.004,22.22,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
75%,,,,2023-06-12 18:00:00,9514.0,0.0,5.571,315.0,0.0,0.143,375.87,0.0,0.22,12.445,0.0,0.006,1.08,,,,,,,,,249026.0,469.5,9.861,0.018500000000000003,408.0,0.016,0.0163,198.4,,4155538.5,3475001.5,2861058.0,,,3693.0,15.854999999999999,13.260000000000002,10.92,,141.0,3262.0,0.012,27.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
max,,,,2024-08-04 00:00:00,9518.0,523.0,74.714,315.0,57.0,8.143,376.028,20.662,2.952,12.445,2.252,0.322,1.52,,,,,,,,,254538.0,579.0,10.08,0.023,528.0,0.021,0.0396,1157.3,,7372208.0,6248483.0,5483001.0,,,178386.0,28.13,23.84,20.92,,6807.0,161635.0,0.617,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
std,,,,,3443.4219322180506,35.00769893655603,12.152938817074055,102.58497097334501,1.7649922754753107,0.644824001993694,136.03924371213793,1.383050794741917,0.4801379760773243,4.052930212033909,0.06974651205124915,0.025497392915528324,0.36780759848637673,,,,,,,,,10590.34594833515,109.45737374278019,0.4193986693378562,0.004320493798938574,99.71612798226413,0.003962734995110182,0.009269842065003716,184.70468592058364,,2306829.828943167,1942351.6930575327,1716925.3761354391,,,25499.206000786085,8.802005301559843,7.411111334144662,6.550607530938657,,972.9903865400687,22959.900079081664,0.08761763524486864,12.276490477720785,7.107550599052128e-15,3.553775299526064e-15,4.44221912440758e-16,0.0,0.0,0.0,5.686040479241703e-14,4.44221912440758e-16,0.0,3.553775299526064e-15,3.553775299526064e-15,1.110554781101895e-16,7.107550599052128e-15,0.0,0.0,,,,
