,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,162.0,287.0,162.0,799.0,799.0,798.0,798.0,806,137.0,137.0,93.0,28.0,49.0,976.0,137.0,137.0,93.0,28.0,976.0,976.0,976.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NGA,Africa,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,193878.94444444444,159.610513739546,160.0886746554823,2396.072879330944,1.8847072879330944,1.8903858597962853,868.8242807646355,0.7152556750298686,0.7173888556021569,10.73730465949821,0.008440860215053763,0.008480527261833435,1.0092765113974234,,,,,,,,,1137039.2961672475,4333.672839506173,5.32816724738676,0.020277777777777777,6563.170212765957,0.030757196495619518,0.062463408521303256,128.44273182957392,,21528411.912408758,14853030.437956205,14889614.17204301,5971994.25,64496.489795918365,136248.46926229508,9.85087591240876,6.796423357664233,6.813010752688173,2.7332142857142854,623.4723360655738,96081.6137295082,0.0440891393442623,40.93056776556777,209.58800000000002,18.099999999999998,2.7510000000000003,1.4469999999999996,5338.454,,181.01299999999992,2.4200000000000004,0.5999999999999998,10.8,41.94900000000001,,54.69,0.5389999999999999,218541216.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,,,,,,,,,5000.0,504.0,0.023,0.002,206.0,0.001,0.0002,3.4,,0.0,0.0,8815.0,776835.0,2096.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
25%,,,,2021-02-26 06:00:00,151553.0,0.0,0.0,1831.0,0.0,0.0,679.15,0.0,0.0,8.205,0.0,0.0,0.9,,,,,,,,,200556.5,1950.0,0.94,0.009,3888.0,0.018,0.0107,10.75,,1767488.0,1767488.0,1780853.0,942369.0,10414.0,55927.25,0.81,0.81,0.81,0.43,256.25,29047.25,0.013,16.46,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
50%,,,,2022-04-20 12:00:00,255648.0,0.0,22.571,3143.0,0.0,0.0,1145.628,0.0,0.101,14.085,0.0,0.0,1.0,,,,,,,,,564936.0,3023.0,2.647,0.014,5644.0,0.026,0.0365,27.4,,6552979.0,4685526.0,4244751.0,3558069.5,16063.0,94105.0,3.0,2.14,1.94,1.63,431.0,60186.0,0.028,41.67,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
75%,,,,2023-06-12 18:00:00,266675.0,0.0,168.286,3155.0,0.0,2.0,1195.043,0.0,0.754,14.138,0.0,0.009,1.17,,,,,,,,,1286466.5,4429.25,6.028499999999999,0.02075,8650.0,0.0405,0.092875,93.45,,20617588.0,14834559.0,16817979.0,10031478.25,31545.0,205727.0,9.43,6.79,7.7,4.5875,941.0,130593.0,0.06,54.63,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
max,,,,2024-08-04 00:00:00,267188.0,12531.0,1790.143,3155.0,161.0,23.0,1197.342,56.155,8.022,14.138,0.721,0.103,1.52,,,,,,,,,5279608.0,29602.0,24.74,0.139,25678.0,0.12,0.2977,4575.4,,133048021.0,93829435.0,81297808.0,16826715.0,797209.0,491996.0,60.88,42.93,37.2,7.7,2251.0,417290.0,0.191,85.65,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
